#ID	Ca	Cb	Cc	Cd	Ce	Ch1a	Ch1b	Ch1c	Ch1d	Ch1e	Ch2a	Ch2b	Ch2c	Ch2d	Ch2e	Ch3a	Ch3b	Ch3c	Ch3d	Ch3e	Ch4a	Ch4b	Ch4c	Ch4d	Ch4e	Ch5a	Ch5b	Ch5c	Ch5d	Ch5e	E1a	E1b	E1c	E1d	E1e	Ra	Rb	Rc	Rd	Re	Wa	Wb	Wc	Wd	We	taxonomy
246665	0	0	814	0	0	17	835	15	7	17	11	11	17	11	7	7	7	17	17	7	7	7	7	7	15	7	7	0	7	7	0	0	0	0	0	7	7	7	0	7	11	15	24	7	7	Unassignable
101302	0	0	814	0	814	17	24	15	7	17	11	11	17	11	7	7	7	17	17	7	7	7	7	7	15	7	7	0	7	7	0	0	0	0	0	7	7	7	0	7	11	15	24	7	7	Root; k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
58657	0	0	0	0	0	17	24	15	7	17	11	11	17	11	7	7	7	17	17	7	7	7	7	7	15	7	7	0	7	7	0	0	0	0	0	7	7	7	0	7	11	15	835	7	820	Root; k__Bacteria; p__Firmicutes
533497	0	1152	0	0	0	17	24	15	7	17	11	11	17	11	7	7	7	17	17	7	7	7	7	7	15	7	7	0	7	7	0	0	0	0	0	7	7	7	0	7	11	15	24	7	7	Root; k__Bacteria; p__Bacteroidetes; c__Flavobacteria; o__Flavobacteriales; f__Cryomorphaceae
342034	0	0	0	0	0	17	24	15	1156	17	11	11	17	11	7	7	7	17	17	7	7	7	7	7	15	7	7	0	7	7	0	0	0	0	0	7	7	7	0	7	11	15	24	7	7	Unassignable
131943	0	0	0	0	0	17	24	15	7	17	11	11	17	11	7	7	7	17	17	7	7	7	7	7	15	7	7	1152	7	7	0	0	0	0	0	7	7	7	0	7	11	15	24	7	7	Root; k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Haptophyceae; f__
292646	0	0	0	0	0	17	24	15	7	17	11	11	17	824	7	7	7	17	17	820	7	7	7	7	15	7	7	0	7	7	0	0	0	0	0	7	7	7	0	7	11	15	24	7	7	Unassignable
290762	0	0	0	0	0	17	835	15	7	17	11	11	17	11	7	7	7	17	829	7	7	7	7	7	15	7	7	0	7	7	0	0	0	0	0	7	7	7	0	7	11	15	24	7	7	Unassignable
268361	0	0	0	0	0	17	24	15	7	17	11	11	17	11	7	7	7	17	17	7	7	7	7	7	15	7	7	0	7	7	0	0	0	0	814	7	7	7	0	7	824	15	24	7	7	Root; k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
264786	0	0	0	0	0	17	24	15	7	17	11	11	17	11	7	7	7	17	17	7	7	7	7	7	15	7	7	0	7	7	0	0	0	1152	0	7	7	7	0	7	11	15	24	7	7	Root; k__Bacteria
327521	0	0	0	0	0	17	24	15	7	17	11	11	17	11	7	7	7	17	17	7	7	7	7	7	15	7	7	0	7	7	0	0	814	814	0	7	7	7	0	7	11	15	24	7	7	Root; k__Bacteria; p__Planctomycetes; c__agg27; o__CL500-15; f__
269541	0	0	0	0	0	17	24	15	7	17	11	11	17	11	7	7	7	17	17	7	7	7	7	7	15	7	7	0	7	7	0	0	0	0	0	7	7	7	0	7	1159	15	24	7	7	Root; k__Bacteria; p__Firmicutes; c__Bacilli
557968	0	0	0	0	0	17	835	15	820	17	11	11	17	11	7	7	7	17	17	7	7	7	7	7	15	7	7	0	7	7	0	0	0	0	0	7	7	7	0	7	11	15	24	7	7	Unassignable
244965	814	0	0	0	0	17	24	15	7	17	11	11	17	11	7	820	7	17	17	7	7	7	7	7	15	7	7	0	7	7	0	0	0	0	0	7	7	7	0	7	11	15	24	7	7	Root; k__Bacteria; p__Bacteroidetes; c__Sphingobacteria; o__Sphingobacteriales; f__Balneolaceae
533060	0	0	0	0	0	17	24	15	7	17	11	11	17	11	7	7	7	17	17	7	7	7	7	7	15	7	1156	0	7	7	0	0	0	0	0	7	7	7	0	7	11	15	24	7	7	Root; k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
