	Stool.1	Stool.106	Stool.107	Stool.109	Stool.110	Stool.111	Stool.113	Stool.116	Stool.120	Stool.128	Stool.129	Stool.131	Stool.137	Stool.14	Stool.143	Stool.145	Stool.153	Stool.158	Stool.17	Stool.170	Stool.173	Stool.176	Stool.2	Stool.201	Stool.203	Stool.206	Stool.22	Stool.24	Stool.25	Stool.28	Stool.29	Stool.3	Stool.30	Stool.31	Stool.34	Stool.39	Stool.4	Stool.40	Stool.45	Stool.46	Stool.52	Stool.55	Stool.6	Stool.61	Stool.66	Stool.8	Stool.81	Stool.90	Stool.92	Stool.94	Supragingival_plaque.101	Supragingival_plaque.104	Supragingival_plaque.115	Supragingival_plaque.116	Supragingival_plaque.118	Supragingival_plaque.119	Supragingival_plaque.12	Supragingival_plaque.130	Supragingival_plaque.14	Supragingival_plaque.141	Supragingival_plaque.145	Supragingival_plaque.159	Supragingival_plaque.16	Supragingival_plaque.161	Supragingival_plaque.162	Supragingival_plaque.17	Supragingival_plaque.170	Supragingival_plaque.18	Supragingival_plaque.2	Supragingival_plaque.20	Supragingival_plaque.217	Supragingival_plaque.221	Supragingival_plaque.23	Supragingival_plaque.3	Supragingival_plaque.32	Supragingival_plaque.33	Supragingival_plaque.35	Supragingival_plaque.38	Supragingival_plaque.49	Supragingival_plaque.5	Supragingival_plaque.50	Supragingival_plaque.51	Supragingival_plaque.52	Supragingival_plaque.53	Supragingival_plaque.57	Supragingival_plaque.61	Supragingival_plaque.68	Supragingival_plaque.71	Supragingival_plaque.77	Supragingival_plaque.79	Supragingival_plaque.8	Supragingival_plaque.80	Supragingival_plaque.81	Supragingival_plaque.83	Supragingival_plaque.84	Supragingival_plaque.86	Supragingival_plaque.87	Supragingival_plaque.9	Supragingival_plaque.91	Supragingival_plaque.92	Tongue_dorsum.10	Tongue_dorsum.102	Tongue_dorsum.112	Tongue_dorsum.113	Tongue_dorsum.12	Tongue_dorsum.120	Tongue_dorsum.123	Tongue_dorsum.128	Tongue_dorsum.147	Tongue_dorsum.149	Tongue_dorsum.158	Tongue_dorsum.166	Tongue_dorsum.169	Tongue_dorsum.17	Tongue_dorsum.174	Tongue_dorsum.18	Tongue_dorsum.198	Tongue_dorsum.21	Tongue_dorsum.212	Tongue_dorsum.213	Tongue_dorsum.238	Tongue_dorsum.25	Tongue_dorsum.26	Tongue_dorsum.29	Tongue_dorsum.3	Tongue_dorsum.30	Tongue_dorsum.31	Tongue_dorsum.32	Tongue_dorsum.34	Tongue_dorsum.35	Tongue_dorsum.37	Tongue_dorsum.38	Tongue_dorsum.43	Tongue_dorsum.45	Tongue_dorsum.50	Tongue_dorsum.51	Tongue_dorsum.53	Tongue_dorsum.54	Tongue_dorsum.56	Tongue_dorsum.58	Tongue_dorsum.61	Tongue_dorsum.65	Tongue_dorsum.67	Tongue_dorsum.71	Tongue_dorsum.77	Tongue_dorsum.78	Tongue_dorsum.80	Tongue_dorsum.87	Tongue_dorsum.9	Tongue_dorsum.90
16S_rRNA_modification_within_P_site_of_ribosome	15.4447066778116	15.4910539071235	15.5249021392224	15.468076450177	15.6186716199781	15.4458441159126	15.4629191620004	15.4464144092592	15.4006262868121	15.4220858569221	15.5237413751877	15.3510549200897	15.4617261884963	15.3463358618148	15.5698370066885	15.464578101092	15.4639073673696	15.2728922626118	15.4077214810664	15.3343359611607	15.4700100024636	15.3905584429832	15.4220504343986	15.402739431062	15.3945487535328	15.4840974886452	15.3268880275425	15.312565954976	15.3840173910134	15.4258447327817	15.4310441602062	15.5765930658924	15.3942970358819	15.418390044562	15.6637849269339	15.6154076601477	15.5200269754638	15.7224853104679	15.506117745507	15.2773759451104	15.5034581819338	15.3871212702912	15.5244581536867	15.5543316115552	15.3675177880074	15.3208675616789	15.5010825303326	15.492611315537	15.4505828996176	15.4853033589944	14.9183347483401	11.5053911047742	14.159371595855	14.1511089806807	14.1210571498173	14.07475326936	11.5558355656448	11.559121358392	11.560286148119	11.5705397109444	11.5591672621253	14.4239188462519	14.786624294762	15.3321942337885	14.4224408664998	11.4934890034631	15.2969500887002	14.7869458444343	11.4960779677805	14.6910322669034	14.7273168926453	14.6993936721117	11.5385223224766	11.6014624385221	11.5617197569298	11.5001858319321	15.3203780285272	11.5001858319321	11.6179184322526	11.5596121910698	11.5265770713539	15.313798618778	11.533693725174	14.2219268578915	14.2180044736772	11.536025061037	11.5544307469719	11.5558355656448	14.2168053786813	15.831332478102	11.5156716269232	14.2379478745881	15.8029292519668	15.3629298919184	11.5705397109444	15.3241023909988	11.5023116949559	11.53220117761	11.5080028643462	14.8832635012712	15.1591637348551	15.8502711305038	15.8170950329177	15.8907539246358	15.3930046069029	15.7107202807067	14.4004451389376	14.4201927123164	15.7352300232611	15.5554226266583	14.3428180607818	15.6216082884273	15.5857085061598	15.6502910380415	15.637142514937	15.4111205257994	15.6754852739067	15.6761260609756	15.6342396662186	15.9804407324939	16.0051342027958	15.1895974926263	15.4959542367691	15.1990504321201	15.3860793642521	14.3927038532704	15.4040688325524	15.4074277559347	14.3823651724851	15.1955501262086	15.2526980192663	14.481413749742	15.4354650377263	15.2565760624019	15.7467967446403	15.6970250500636	15.3141550259524	15.6014437862737	15.8247750369797	15.5346740929261	15.2837914753306	15.290353364592	15.544329629799	15.6699784666202	14.5673571889982	15.6774967843049	15.6422087032711	15.6674096987609	15.1865741235147	15.6271022376635
2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone_and_other_bacterial_morphogens	11.5295704714017	11.5512667275171	11.5474754032322	11.5579083349724	11.5073636976892	11.5657892741821	11.5657882270359	11.5398600156142	11.5677890718111	11.5451121462251	11.538987259742	11.5138290865844	11.5632245923501	11.5089687558944	11.5187138048851	11.5723565954586	11.5678499727449	11.5297150166639	11.5272431174098	11.5080028643462	11.5730602887396	11.5328501402582	11.5117090310993	11.5263123801824	11.5433532922227	11.5606568447384	11.5657882270359	11.5156716269232	11.5512667275171	11.559121358392	11.4960779677805	11.5294185323029	11.5504288083225	11.5621181617338	11.5223125386154	11.5512667275171	11.5555773458835	11.5027854321377	11.55936274826	11.5106207255441	11.5466131444012	11.4996419497486	11.5609228947538	11.5488941997987	11.4986679725886	11.5527081839862	11.5407165837442	11.5641992084062	11.5579024884576	11.5734726978816	11.5189596205576	11.5053911047742	11.509088633391	11.5189596205576	11.5784944694318	11.5705397109444	11.5558355656448	11.559121358392	11.560286148119	11.5705397109444	11.5591672621253	11.5598137145985	11.5227808006669	11.5080028643462	11.5558355656448	11.4934890034631	11.5069181463479	11.5306620717093	11.4960779677805	11.5568103131499	11.4986679725886	11.5001858319321	11.5385223224766	11.6014624385221	11.5617197569298	11.5001858319321	11.4960779677805	11.5001858319321	11.6179184322526	11.5596121910698	11.5265770713539	11.4960779677805	11.533693725174	11.5509177668652	11.5611809405558	11.536025061037	11.5544307469719	11.5558355656448	11.4960779677805	11.42949800186	11.5156716269232	11.4960779677805	11.4739915265594	11.4960779677805	11.5705397109444	11.5035601137504	11.5023116949559	11.53220117761	11.5080028643462	11.5195845926769	11.3695652471651	11.3312202433138	11.3489927464461	11.1924260438716	11.388933481654	11.279472465361	11.4307253974794	11.4075456333363	11.4178941612423	11.3445380056429	11.4028990929194	11.4294830984337	11.3642710585385	11.3289743245942	11.4396670074846	11.4033855874302	11.3962119305988	11.3483282210909	11.403360306706	11.4034204716158	11.4891050725856	11.3652475438186	11.3173796276976	11.3512564819843	11.4145421445568	11.4033927056338	11.37722085045	11.4084440014802	11.3832108552357	11.3103814394652	11.3120321309372	11.4777401708863	11.2882140428692	11.3152154763295	11.3323765225704	11.3297004509639	11.3329659978519	11.3771329773343	11.2922198670001	11.3440416478025	11.4028288985975	11.3487944625937	11.351148685043	11.3193292524909	11.4960779677805	11.3183823780011	11.3314461609121	11.1889664154936	11.3761104460449	11.327001558673
2-Ketogluconate_Utilization	11.5295704714017	11.5512667275171	11.5474754032322	11.5579083349724	11.5073636976892	11.5657892741821	11.5657882270359	11.5398600156142	11.5677890718111	11.5451121462251	11.538987259742	11.5138290865844	11.5632245923501	11.5089687558944	11.5187138048851	11.5723565954586	11.5678499727449	11.5297150166639	11.5272431174098	11.5080028643462	11.9460103512512	11.5328501402582	11.5117090310993	11.5263123801824	11.5433532922227	11.5606568447384	11.5657882270359	11.5156716269232	11.5512667275171	11.559121358392	12.3194170062845	11.5294185323029	11.5504288083225	11.5621181617338	11.5223125386154	11.5512667275171	11.5555773458835	11.5027854321377	11.55936274826	11.5106207255441	11.5466131444012	11.4996419497486	11.5609228947538	11.5488941997987	11.4986679725886	11.5527081839862	11.5407165837442	11.5641992084062	11.5579024884576	11.5734726978816	11.5189596205576	11.5053911047742	11.509088633391	11.5189596205576	11.5784944694318	11.5705397109444	11.5558355656448	11.559121358392	11.560286148119	11.5705397109444	11.5591672621253	11.5598137145985	11.5227808006669	11.5080028643462	11.5558355656448	11.4934890034631	11.5069181463479	11.5306620717093	11.4960779677805	11.5568103131499	11.4986679725886	11.5001858319321	11.5385223224766	11.6014624385221	11.5617197569298	11.5001858319321	11.4960779677805	11.5001858319321	11.6179184322526	11.5596121910698	11.5265770713539	11.4960779677805	11.533693725174	11.5509177668652	11.5611809405558	11.536025061037	11.5544307469719	11.5558355656448	11.4960779677805	11.42949800186	11.5156716269232	11.4960779677805	11.4739915265594	11.4960779677805	11.5705397109444	11.5035601137504	11.5023116949559	11.53220117761	11.5080028643462	11.5195845926769	11.3695652471651	11.3312202433138	11.3489927464461	11.1924260438716	11.388933481654	11.279472465361	11.4307253974794	11.4075456333363	11.4178941612423	11.3445380056429	11.4028990929194	11.4294830984337	11.3642710585385	11.3289743245942	11.4396670074846	11.4033855874302	11.3962119305988	11.3483282210909	11.403360306706	11.4034204716158	11.4891050725856	11.3652475438186	11.3173796276976	11.3512564819843	11.4145421445568	11.4033927056338	11.37722085045	11.4084440014802	11.3832108552357	11.3103814394652	11.3120321309372	11.4777401708863	11.2882140428692	11.3152154763295	11.3323765225704	11.3297004509639	11.3329659978519	11.3771329773343	11.2922198670001	11.3440416478025	11.4028288985975	11.3487944625937	11.351148685043	11.3193292524909	11.4960779677805	11.3183823780011	11.3314461609121	11.1889664154936	11.3761104460449	11.327001558673
2-methylcitrate_to_2-methylaconitate_metabolism_cluster	11.5295704714017	11.5512667275171	11.5474754032322	11.5579083349724	11.5073636976892	11.5657892741821	11.5657882270359	11.5398600156142	11.5677890718111	11.5451121462251	11.538987259742	11.5138290865844	11.5632245923501	11.5089687558944	11.8224260577089	11.5723565954586	11.5678499727449	11.5297150166639	11.5272431174098	11.5080028643462	11.5730602887396	11.5328501402582	11.5117090310993	11.5263123801824	11.5433532922227	11.5606568447384	11.5657882270359	11.5156716269232	11.5512667275171	11.559121358392	11.4960779677805	11.5294185323029	11.5504288083225	11.5621181617338	11.5223125386154	11.5512667275171	11.5555773458835	11.5027854321377	11.55936274826	11.5106207255441	11.5466131444012	11.4996419497486	11.5609228947538	11.5488941997987	11.4986679725886	11.5527081839862	11.5407165837442	11.5641992084062	11.5579024884576	11.5734726978816	11.5189596205576	11.5053911047742	11.509088633391	11.5189596205576	11.5784944694318	11.5705397109444	11.5558355656448	11.559121358392	11.560286148119	11.5705397109444	11.5591672621253	11.5598137145985	11.5227808006669	11.5080028643462	11.5558355656448	11.4934890034631	11.5069181463479	11.5306620717093	11.4960779677805	11.5568103131499	11.4986679725886	11.5001858319321	11.5385223224766	11.6014624385221	11.5617197569298	11.5001858319321	11.4960779677805	11.5001858319321	11.6179184322526	11.5596121910698	11.5265770713539	11.4960779677805	11.533693725174	11.5509177668652	11.5611809405558	11.536025061037	11.5544307469719	11.5558355656448	11.4960779677805	11.42949800186	11.5156716269232	11.4960779677805	11.4739915265594	11.4960779677805	11.5705397109444	11.5035601137504	11.5023116949559	11.53220117761	11.5080028643462	11.5195845926769	11.3695652471651	11.3312202433138	11.3489927464461	11.1924260438716	11.388933481654	11.279472465361	11.4307253974794	11.4075456333363	11.4178941612423	11.3445380056429	11.4028990929194	11.4294830984337	11.3642710585385	11.3289743245942	11.4396670074846	11.4033855874302	11.3962119305988	11.3483282210909	11.403360306706	11.4034204716158	11.4891050725856	11.3652475438186	11.3173796276976	11.3512564819843	11.4145421445568	11.4033927056338	11.37722085045	11.4084440014802	11.3832108552357	11.3103814394652	11.3120321309372	11.4777401708863	11.2882140428692	11.3152154763295	11.3323765225704	11.3297004509639	11.3329659978519	11.3771329773343	11.2922198670001	11.3440416478025	11.4028288985975	11.3487944625937	11.351148685043	11.3193292524909	11.4960779677805	11.3183823780011	11.3314461609121	11.1889664154936	11.3761104460449	11.327001558673
2-phosphoglycolate_salvage	13.6860801732574	11.5512667275171	11.5474754032322	11.5579083349724	11.5073636976892	11.5657892741821	11.5657882270359	11.5398600156142	11.5677890718111	11.5451121462251	11.538987259742	13.5243399106542	13.6078378425791	13.5878812172907	11.5187138048851	11.5723565954586	13.6137314101582	13.4878223400865	11.5272431174098	13.6028088928575	11.5730602887396	11.5328501402582	13.6676709156692	11.5263123801824	11.5433532922227	11.5606568447384	13.6023140972856	13.5934505910363	11.5512667275171	12.0291488241451	12.3875239379001	11.5294185323029	11.5504288083225	11.5621181617338	11.5223125386154	11.5512667275171	11.5555773458835	11.5027854321377	11.55936274826	13.6033524416771	11.5466131444012	12.4688859944192	11.5609228947538	11.5488941997987	12.4670989969467	13.5954036227221	11.5407165837442	11.5641992084062	11.5579024884576	11.5734726978816	13.5873096806346	11.5053911047742	13.6206834146075	13.6003812259009	13.6901186403864	13.7562202965264	11.5558355656448	12.9031475566146	11.560286148119	11.5705397109444	11.5591672621253	13.7842623207926	13.6123107321534	13.6026818168554	13.7811903353445	11.4934890034631	13.5831236643783	13.626338918412	11.4960779677805	11.5568103131499	13.7573655789513	13.7470162831923	11.5385223224766	11.6014624385221	11.5617197569298	11.5001858319321	13.8618768923787	11.5001858319321	11.6179184322526	11.5596121910698	11.5265770713539	13.8568162721632	11.533693725174	11.5509177668652	11.5611809405558	11.536025061037	11.5544307469719	11.5558355656448	13.9243496057027	13.8678378926911	11.5156716269232	13.9161527461544	13.8381305875429	13.7396761675547	11.5705397109444	13.729233539186	11.5023116949559	11.53220117761	13.5957954464294	13.5728830123764	13.8536206106187	13.8075768383982	13.8205952848926	13.7662170214903	13.8654465471943	13.8224042709487	13.8404378723489	13.8651181119605	13.8847330409673	13.7062805414598	13.958239723991	13.8498170339038	13.7198786753809	13.725032213212	13.8604354375667	13.8088520088069	13.8027115926948	13.7540796434269	13.7920482427695	13.9502228862601	13.8919018059909	13.8421279691341	13.7003710997676	13.8725135595132	13.7411729940717	13.8340386235185	13.5703247696278	13.8634321742689	11.3832108552357	13.6022288967272	13.657675433965	11.4777401708863	13.6928851960663	13.6656330459193	13.7309640469753	13.7295061071887	13.8421036547182	13.8691086982083	13.6780941154463	13.944776535467	13.700246745589	13.7232194243655	13.8195005531033	13.6623506190259	11.4960779677805	13.6667337751093	13.7547331851416	13.9310838768027	13.7814424931876	13.746932540368
4-Hydroxyphenylacetic_acid_catabolic_pathway	12.8082134118905	12.8489244342668	12.8505322126863	12.7950993097877	12.9812837046866	12.8232421623547	12.8847829105949	12.829760807655	12.8441210679438	12.8365473675668	12.8742738327052	12.9626157849037	11.5632245923501	12.8032665190083	12.8696945588598	12.832254058032	11.5678499727449	12.9464017648674	12.6177151644801	13.034446159598	12.9289220930682	12.7357549006325	12.8198905434347	12.6691476354723	12.6810917408845	12.7978908160462	12.8582657632666	12.8065533462136	12.7800485603032	12.8358246389167	13.2087516399396	12.7784108983767	12.7751006242981	12.8210298053678	12.9378070904903	12.8877500669932	12.7705718291228	12.9528785322926	12.787090169793	11.5106207255441	12.8811033082576	13.2842310254874	12.7592088525638	12.8252308242265	13.1687656243467	12.8719764603375	12.943150535194	12.8612276484375	12.8014384686163	12.9086427581438	12.9218469832934	12.9915561738417	12.6413929679688	12.6208332824125	12.9214564541462	12.8840514330837	12.7228476424559	13.0926080908216	12.507483113077	12.4830725512926	13.0710308502946	13.062691808537	11.5227808006669	11.9790435111997	13.0840362148004	13.1675733752684	11.5069181463479	11.5306620717093	11.4960779677805	12.3916829096325	11.4986679725886	11.5001858319321	12.7371068334635	12.6092819925968	11.5617197569298	12.5090878232291	12.7507891546187	11.5001858319321	11.6179184322526	12.0545241773348	12.9181590661446	12.734579581979	12.9238249842988	12.7376852297819	12.7288882432525	13.1126175959569	12.3638112371819	13.0955399409845	13.0735405931309	12.7717071429179	11.5156716269232	13.085199645465	12.563573538728	12.9052038566569	11.5705397109444	12.8840993691618	12.9908832194442	11.53220117761	12.7029597558513	12.8996228730612	12.7485238713975	12.2249287826276	12.1441232860716	12.2206330178209	12.6223499746556	12.8933977047211	12.6358987442755	12.6480871642777	12.6662963280042	12.6683928378224	12.5114221608422	12.6746961479511	12.686370459446	12.7738487179058	12.6754221108551	12.7996020552001	12.7127411755354	12.7841500679873	12.6999176311436	12.2495401579605	12.0106649042204	12.7900946033691	12.7758849738113	12.824246101797	12.755477040235	12.8061396515155	12.9059609139779	12.5735456090421	12.7649777763104	12.7084847050695	12.6041378414129	12.6630787929749	12.6811265786299	12.6308935401674	12.5572384310559	11.3297004509639	12.636580915966	12.6139597165878	12.3978793297045	12.681331679265	12.7586306173086	12.7755859100025	12.6913208325685	12.7748834045911	11.4960779677805	12.7765870594111	12.2739890857562	11.1889664154936	12.8205344313879	11.327001558673
5-FCL-like_protein	16.6813120187949	16.657110330178	16.7270178492354	16.6562655107817	16.8220751181433	16.4929753918227	16.6832505754297	16.7498998700428	16.6059437458518	16.7518470489715	16.7216943596308	16.6618864403667	16.6736409506978	16.6007894153323	16.9043035829726	16.7676432680669	16.6799007089262	16.5232223050846	16.5834431422413	16.4683940335536	16.4635981989013	16.3839293644459	16.7272654766963	16.6394568836252	16.5063917161097	16.7588108996272	16.686335810079	16.5689093571498	16.567746755737	16.601496177685	16.7114480707129	16.5908094446517	16.5206060790919	16.6108123250386	16.5547020220813	16.7449009420198	16.7201403630257	16.8997968515784	16.6814252613073	16.4961153216913	16.6030614530247	16.4874120912808	16.7212304054776	16.7081310090842	16.4773356688657	16.5787718234624	16.4119788025391	16.5234736564769	16.6379695907981	16.5782724370717	17.0641895544854	17.6834784226322	17.3386367537514	17.2162570139171	17.2458840936087	17.2043335863253	17.566931347314	17.4446576217507	17.4711924849162	17.2368221955642	17.4322252580583	17.2329848042216	16.9810649226054	17.1439583670494	17.1949679626182	18.5887982803871	17.1098453209454	16.9692132583482	17.7582156001528	16.8586961685324	17.3004285515381	17.2787768545365	17.6529794415968	17.733345563187	17.2152083690421	17.9001649866775	17.4217993481089	17.4010702611912	17.4892711470956	17.3266505668141	17.2483690397959	17.4093636074226	17.265063758457	17.0528567270252	17.0305389194251	17.7586094235035	17.326324994202	17.6893509092721	17.5410019092745	17.5746386715555	17.6161490065401	17.5330776371239	17.5392160779501	17.3643430049208	17.2806672284858	17.2337046434858	17.6714822776325	17.4428924477231	17.4386475498176	17.0375242555891	17.2018966197282	17.2041289358034	17.1809611839553	17.3098345593927	17.3272305644189	17.2945952087444	17.4146749724475	17.4606097225561	17.2232974042705	17.3432352139921	17.4224149664302	17.3589274145001	17.3617315275632	17.1442880590144	17.3787714475912	17.3411053204763	17.3885103985797	17.1559098530723	17.3502873098928	17.4192575615091	17.4684757520704	17.2769884668843	17.1832453113619	17.3086876208488	17.2979383177471	17.4066303605884	17.3164593158347	17.2691686887484	17.5278387075169	17.2366551006347	17.3275343038456	17.6695924959851	17.2749281246952	17.3346675166537	17.2033768892555	17.2574641743102	17.2598858764405	17.286397910579	17.2487333055944	17.249150296142	17.2678749097927	17.2793236758219	17.2705980870894	17.2170507226913	17.6247645768672	17.1654403403167	17.1881579267472	17.2977629145851	17.2828128724712	17.2079083560709
ABC_transporter_alkylphosphonate_(TC_3.A.1.9.1)	11.5295704714017	11.5512667275171	11.5474754032322	11.5579083349724	11.5073636976892	11.5657892741821	11.5657882270359	11.5398600156142	11.5677890718111	11.5451121462251	11.538987259742	11.5138290865844	11.5632245923501	11.5089687558944	11.5187138048851	11.5723565954586	11.5678499727449	11.5297150166639	11.5272431174098	11.5080028643462	11.5730602887396	11.5328501402582	11.5117090310993	11.5263123801824	11.5433532922227	11.5606568447384	11.5657882270359	11.5156716269232	11.5512667275171	11.559121358392	11.4960779677805	11.5294185323029	11.5504288083225	11.5621181617338	11.5223125386154	11.5512667275171	11.5555773458835	11.5027854321377	11.55936274826	11.5106207255441	11.5466131444012	11.4996419497486	11.5609228947538	11.5488941997987	11.4986679725886	11.5527081839862	11.5407165837442	11.5641992084062	11.5579024884576	11.5734726978816	12.6271871566159	11.5053911047742	12.6600200661175	12.6649770572181	12.4005802001101	12.3719778209523	12.7810093315215	12.5114291929611	12.5855984902052	12.6497069164066	12.5693788791077	11.5598137145985	12.5905106424687	12.3816995173593	11.5558355656448	12.8132767526253	12.3749256467928	12.5751820178092	13.0753819018162	12.4663466444104	11.4986679725886	11.5001858319321	12.7995266529485	11.6014624385221	12.6582445756388	12.7133711633754	12.5918114872098	12.7372774274514	12.7504223610989	12.6614097497569	12.7956037142619	12.5659777739404	12.7737386462709	12.751125985995	12.7392461930123	11.536025061037	12.5699097491142	11.5558355656448	11.4960779677805	12.3297015967183	11.5156716269232	11.4960779677805	12.328759523803	11.4960779677805	12.53522629689	11.5035601137504	11.5023116949559	12.5764515064827	11.5080028643462	12.6053859081971	12.5091599922011	12.4631544596684	12.43905964038	12.6365009138356	12.8165995715235	12.6757872036476	12.6725560964602	12.7131496381969	11.4178941612423	12.609626570174	11.4028990929194	12.7188151262588	12.6208366884078	12.5499169758963	12.7298935586308	12.6633982239593	12.5520770288633	12.5591840195963	12.5549415422229	12.4384955844677	11.4891050725856	12.6084226817664	12.6494462385891	12.6013154100856	12.6291450883801	12.6684676869024	12.7383676017292	12.6724663233349	12.6987069953492	12.8140135071475	12.6100338290833	12.7479435710652	12.6181411545714	12.6006932078526	12.6159552301985	12.7537294691237	12.513853348865	12.529304897183	12.7035560095561	12.494904734745	12.7505145713887	12.724455324409	12.4892778807761	12.645487908313	12.7817665225293	12.6270627892909	12.5973593015305	12.6717447508419	12.5083981212627	12.5945418012735
ABC_transporter_branched-chain_amino_acid_(TC_3.A.1.4.1)	11.5295704714017	11.5512667275171	11.5474754032322	11.5579083349724	11.5073636976892	11.5657892741821	11.5657882270359	11.5398600156142	11.5677890718111	11.5451121462251	11.538987259742	11.5138290865844	11.5632245923501	11.5089687558944	11.5187138048851	11.5723565954586	11.5678499727449	11.5297150166639	11.5272431174098	11.5080028643462	11.5730602887396	11.5328501402582	11.5117090310993	11.5263123801824	11.5433532922227	11.5606568447384	11.5657882270359	11.5156716269232	11.5512667275171	11.559121358392	11.4960779677805	11.5294185323029	11.5504288083225	11.5621181617338	11.5223125386154	11.5512667275171	11.5555773458835	11.5027854321377	11.55936274826	11.5106207255441	11.5466131444012	11.4996419497486	11.5609228947538	11.5488941997987	11.4986679725886	11.5527081839862	11.5407165837442	11.5641992084062	11.5579024884576	11.5734726978816	13.8332149356666	13.5057808329989	14.2858843533435	14.2529793261842	13.2696807138383	13.2766326347711	13.3888315155563	13.4171692627102	13.5380825048867	13.5929014466091	13.3960455175144	13.9695632198075	14.2493291358794	14.7877470048504	13.9731371003272	13.5717476671915	14.7810304242817	14.2213594066799	13.9262749481257	14.7345759355562	14.5119551114231	14.4227073423356	13.4117405020952	11.6014624385221	13.4085233801498	13.6378494466114	14.1132915968626	13.544947000683	11.6179184322526	13.3827247523316	13.3296125249165	14.1215889885624	13.3510402105016	13.5159790331702	14.0217843185295	13.4381053878849	13.5706198724399	13.4879836142081	13.208172553912	14.1125283078354	13.3434756250169	13.2403484447186	14.3791013008898	13.7289580410403	13.5342522075074	13.7523653079852	13.531051355724	13.5149464741637	13.5133324059949	14.0321045938186	14.4824199989524	14.8954482259364	14.9105788879648	15.1134056011508	14.3887478959202	14.6465285235873	14.7566826440964	14.8006304743148	14.9104687694992	14.9257504068327	14.8845732734099	15.0075698932496	14.949520451909	14.5533092250264	15.0159179505555	14.500713909035	15.0848411240919	14.584789957722	15.0594710846001	15.0526636396132	15.1633582637155	13.7773083931125	14.7791111949935	13.7558320641586	14.7338155343252	14.8238594430398	14.6755757370044	14.4964931329617	14.7447521872909	14.7984945949378	14.7022044957072	14.8727027548966	14.641433220873	14.7108042193317	14.7507668384857	14.9350436384591	14.6013744303428	14.5968011647225	14.8617149930174	15.0108989439011	14.4352812288588	14.4478042006241	15.0158942608079	14.6139321730098	15.1654846879143	14.6134816832227	14.8484357076964	14.9863518048857	14.4804613748101	15.0366976128502
ABC_transporter_dipeptide_(TC_3.A.1.5.2)	11.5295704714017	11.5512667275171	11.5474754032322	11.5579083349724	11.5073636976892	11.5657892741821	11.5657882270359	11.5398600156142	11.5677890718111	11.5451121462251	11.538987259742	11.5138290865844	11.5632245923501	11.5089687558944	11.5187138048851	11.5723565954586	11.5678499727449	11.5297150166639	11.5272431174098	11.5080028643462	11.5730602887396	11.5328501402582	11.5117090310993	11.5263123801824	11.5433532922227	11.5606568447384	11.5657882270359	11.5156716269232	11.5512667275171	11.559121358392	11.4960779677805	11.5294185323029	11.5504288083225	11.5621181617338	11.5223125386154	11.5512667275171	11.5555773458835	11.5027854321377	11.55936274826	11.5106207255441	11.5466131444012	11.4996419497486	11.5609228947538	11.5488941997987	11.4986679725886	11.5527081839862	11.5407165837442	11.5641992084062	11.5579024884576	11.5734726978816	14.1695641906576	11.5053911047742	13.4876409324588	13.4675762525444	11.5784944694318	11.5705397109444	14.2426050621897	11.559121358392	13.5416425663601	13.4463080429157	11.5591672621253	11.5598137145985	14.3191334423126	13.5813580115376	11.5558355656448	13.8209216701077	13.5707558444699	14.3133182027049	15.350977290882	14.7688032064964	11.4986679725886	11.5001858319321	14.2908741170311	13.4899010089652	13.6966261757309	13.8671345036274	14.2662827658456	15.0366652761041	13.6794339568068	14.2810678893758	14.59465644634	14.2561058154106	14.575030008903	14.5703630578033	14.5921285943794	11.536025061037	13.5667707483193	11.5558355656448	11.4960779677805	13.5624408256238	13.5070505216775	11.4960779677805	13.5185381933147	13.4000190465267	13.5560298100063	13.3951229537771	11.5023116949559	13.4884692354768	11.5080028643462	14.1667542450782	14.6762739821101	14.5125847260811	14.5446294501089	14.605476316997	15.5359449296857	15.2154031434122	14.3196852084523	14.6522049059898	13.8912954969465	14.5028585861233	13.5522373500585	14.5435252335241	14.5172514410184	14.8647266193017	14.5443103310739	15.1986197374341	13.9785774193967	15.1013272035424	13.9664592926704	14.2114023178648	14.1699317373314	14.5596868316537	14.9980864388373	14.7945305742607	15.260928507605	14.8973091239526	15.0390377720832	14.759161006228	14.840547764022	15.1593820549827	15.32264130419	14.9807433938494	15.3332037338406	15.3357416833482	15.4285504963887	15.6323293787047	14.2586577508284	14.5289142485822	15.5082990487969	14.5386534604951	14.84769480446	14.8623455538564	14.5156583156157	15.2290124609122	15.3055870452165	15.2440405181527	14.6898633104425	14.6172625394816	14.6948870043163	14.6777699875045
