	Stool.1	Stool.106	Stool.107	Stool.109	Stool.110	Stool.111	Stool.113	Stool.116	Stool.120	Stool.128	Stool.129	Stool.131	Stool.137	Stool.14	Stool.143	Stool.145	Stool.153	Stool.158	Stool.17	Stool.170	Stool.173	Stool.176	Stool.2	Stool.201	Stool.203	Stool.206	Stool.22	Stool.24	Stool.25	Stool.28	Stool.29	Stool.3	Stool.30	Stool.31	Stool.34	Stool.39	Stool.4	Stool.40	Stool.45	Stool.46	Stool.52	Stool.55	Stool.6	Stool.61	Stool.66	Stool.8	Stool.81	Stool.90	Stool.92	Stool.94	Supragingival_plaque.101	Supragingival_plaque.104	Supragingival_plaque.115	Supragingival_plaque.116	Supragingival_plaque.118	Supragingival_plaque.119	Supragingival_plaque.12	Supragingival_plaque.130	Supragingival_plaque.14	Supragingival_plaque.141	Supragingival_plaque.145	Supragingival_plaque.159	Supragingival_plaque.16	Supragingival_plaque.161	Supragingival_plaque.162	Supragingival_plaque.17	Supragingival_plaque.170	Supragingival_plaque.18	Supragingival_plaque.2	Supragingival_plaque.20	Supragingival_plaque.217	Supragingival_plaque.221	Supragingival_plaque.23	Supragingival_plaque.3	Supragingival_plaque.32	Supragingival_plaque.33	Supragingival_plaque.35	Supragingival_plaque.38	Supragingival_plaque.49	Supragingival_plaque.5	Supragingival_plaque.50	Supragingival_plaque.51	Supragingival_plaque.52	Supragingival_plaque.53	Supragingival_plaque.57	Supragingival_plaque.61	Supragingival_plaque.68	Supragingival_plaque.71	Supragingival_plaque.77	Supragingival_plaque.79	Supragingival_plaque.8	Supragingival_plaque.80	Supragingival_plaque.81	Supragingival_plaque.83	Supragingival_plaque.84	Supragingival_plaque.86	Supragingival_plaque.87	Supragingival_plaque.9	Supragingival_plaque.91	Supragingival_plaque.92	Tongue_dorsum.10	Tongue_dorsum.102	Tongue_dorsum.112	Tongue_dorsum.113	Tongue_dorsum.12	Tongue_dorsum.120	Tongue_dorsum.123	Tongue_dorsum.128	Tongue_dorsum.147	Tongue_dorsum.149	Tongue_dorsum.158	Tongue_dorsum.166	Tongue_dorsum.169	Tongue_dorsum.17	Tongue_dorsum.174	Tongue_dorsum.18	Tongue_dorsum.198	Tongue_dorsum.21	Tongue_dorsum.212	Tongue_dorsum.213	Tongue_dorsum.238	Tongue_dorsum.25	Tongue_dorsum.26	Tongue_dorsum.29	Tongue_dorsum.3	Tongue_dorsum.30	Tongue_dorsum.31	Tongue_dorsum.32	Tongue_dorsum.34	Tongue_dorsum.35	Tongue_dorsum.37	Tongue_dorsum.38	Tongue_dorsum.43	Tongue_dorsum.45	Tongue_dorsum.50	Tongue_dorsum.51	Tongue_dorsum.53	Tongue_dorsum.54	Tongue_dorsum.56	Tongue_dorsum.58	Tongue_dorsum.61	Tongue_dorsum.65	Tongue_dorsum.67	Tongue_dorsum.71	Tongue_dorsum.77	Tongue_dorsum.78	Tongue_dorsum.80	Tongue_dorsum.87	Tongue_dorsum.9	Tongue_dorsum.90
2-Ketogluconate_Utilization	3.21356957891533	3.23608255858737	3.11539889875078	3.13910980890642	2.99660235332332	3.24242008840693	3.17787206735722	3.12276012197567	3.18111260112083	3.16288428274199	3.15568881198701	3.04452783957294	3.23792302346733	3.04452783957294	3.23792302346733	3.24020903646594	3.23608255858737	3.03546024601029	3.12276012197567	2.92927975727924	5.53278301574021	2.97779203936315	3.18868887495139	3.05476159645524	3.03875185426185	3.24242008840693	3.25931813956951	3.02522684740031	3.14584878453499	3.11116519623344	7.55477873692807	3.04452783957294	3.19407506368509	3.10694668968627	3.23211490368054	3.14993249835871	3.17787206735722	3.23608255858737	3.2897278093688	2.99096162576227	3.21100423588606	2.91315890643557	3.21812692373497	3.18111260112083	2.90290619865118	3.18868887495139	2.97031478285571	3.21812692373497	3.13910980890642	3.21518581754113	3.21356957891533	3.18868887495139	3.23792302346733	3.23386461715954	3.17522145106025	3.17522145106025	3.21812692373497	3.20501367799973	3.21100423588606	3.23211490368054	3.21812692373497	3.19407506368509	3.21812692373497	3.20501367799973	3.18868887495139	3.21239294832587	3.21518581754113	3.23211490368054	3.24020903646594	3.21239294832587	3.20501367799973	3.19742459703064	3.2260363233844	3.20501367799973	3.21356957891533	3.2260363233844	3.21812692373497	3.21239294832587	3.21239294832587	3.21518581754113	3.23386461715954	3.21518581754113	3.23386461715954	3.23608255858737	3.23211490368054	3.19407506368509	3.17034139647563	3.19407506368509	3.21518581754113	3.21239294832587	3.21239294832587	3.21100423588606	3.21518581754113	3.21356957891533	3.21518581754113	3.21518581754113	3.19407506368509	3.23386461715954	3.21356957891533	3.21812692373497	3.24242008840693	3.2260363233844	3.20501367799973	3.23608255858737	3.23386461715954	3.23608255858737	3.21518581754113	3.19742459703064	3.21518581754113	3.23608255858737	3.21356957891533	3.2260363233844	3.21518581754113	3.23608255858737	3.21100423588606	3.23211490368054	3.21356957891533	3.23211490368054	3.23608255858737	3.18868887495139	3.19407506368509	3.23386461715954	3.24020903646594	3.24020903646594	3.23608255858737	3.2260363233844	3.25931813956951	3.19663918443007	3.23792302346733	3.23792302346733	3.2260363233844	3.23792302346733	3.21100423588606	3.21812692373497	3.23211490368054	3.21356957891533	3.21356957891533	3.23386461715954	3.23211490368054	3.21518581754113	3.23792302346733	3.23386461715954	3.24020903646594	3.21100423588606	3.21518581754113	3.23211490368054	3.24020903646594	3.2260363233844	3.23211490368054	3.23386461715954
2-phosphoglycolate_salvage	3.21356957891533	3.23608255858737	3.11539889875078	3.13910980890642	2.99660235332332	3.24242008840693	3.17787206735722	3.12276012197567	3.18111260112083	3.16288428274199	3.15568881198701	3.04452783957294	3.23792302346733	3.04452783957294	3.23792302346733	3.24020903646594	3.23608255858737	3.03546024601029	3.12276012197567	2.92927975727924	3.27291491177596	2.97779203936315	3.18868887495139	3.05476159645524	3.03875185426185	3.24242008840693	3.25931813956951	3.02522684740031	3.14584878453499	5.81912052215004	7.93050480164266	3.04452783957294	3.19407506368509	3.10694668968627	3.23211490368054	3.14993249835871	3.17787206735722	3.23608255858737	3.2897278093688	2.99096162576227	3.21100423588606	8.30337088970048	3.21812692373497	3.18111260112083	2.90290619865118	3.18868887495139	2.97031478285571	3.21812692373497	3.13910980890642	3.21518581754113	3.21356957891533	3.18868887495139	3.23792302346733	3.23386461715954	3.17522145106025	3.17522145106025	3.21812692373497	3.20501367799973	3.21100423588606	3.23211490368054	3.21812692373497	3.19407506368509	3.21812692373497	3.20501367799973	3.18868887495139	3.21239294832587	3.21518581754113	3.23211490368054	3.24020903646594	3.21239294832587	3.20501367799973	3.19742459703064	3.2260363233844	3.20501367799973	3.21356957891533	3.2260363233844	3.21812692373497	3.21239294832587	3.21239294832587	3.21518581754113	3.23386461715954	3.21518581754113	3.23386461715954	3.23608255858737	3.23211490368054	3.19407506368509	3.17034139647563	3.19407506368509	3.21518581754113	3.21239294832587	3.21239294832587	3.21100423588606	3.21518581754113	3.21356957891533	3.21518581754113	3.21518581754113	3.19407506368509	3.23386461715954	3.21356957891533	3.21812692373497	3.24242008840693	3.2260363233844	3.20501367799973	3.23608255858737	3.23386461715954	3.23608255858737	3.21518581754113	3.19742459703064	3.21518581754113	3.23608255858737	3.21356957891533	3.2260363233844	3.21518581754113	3.23608255858737	3.21100423588606	3.23211490368054	3.21356957891533	3.23211490368054	3.23608255858737	3.18868887495139	3.19407506368509	3.23386461715954	3.24020903646594	3.24020903646594	3.23608255858737	3.2260363233844	3.25931813956951	3.19663918443007	3.23792302346733	3.23792302346733	3.2260363233844	3.23792302346733	3.21100423588606	3.21812692373497	3.23211490368054	3.21356957891533	3.21356957891533	3.23386461715954	3.23211490368054	3.21518581754113	3.23792302346733	3.23386461715954	3.24020903646594	3.21100423588606	3.21518581754113	3.23211490368054	3.24020903646594	3.2260363233844	3.23211490368054	3.23386461715954
4-Hydroxyphenylacetic_acid_catabolic_pathway	3.21356957891533	3.23608255858737	3.11539889875078	3.13910980890642	2.99660235332332	3.24242008840693	3.17787206735722	3.12276012197567	3.18111260112083	3.16288428274199	3.15568881198701	3.04452783957294	3.23792302346733	3.04452783957294	3.23792302346733	3.24020903646594	3.23608255858737	3.03546024601029	8.8792981790501	2.92927975727924	3.27291491177596	2.97779203936315	3.18868887495139	3.05476159645524	3.03875185426185	3.24242008840693	3.25931813956951	3.02522684740031	3.14584878453499	3.11116519623344	10.7276781697693	9.40481702888361	3.19407506368509	3.10694668968627	3.23211490368054	3.14993249835871	3.17787206735722	3.23608255858737	3.2897278093688	2.99096162576227	3.21100423588606	2.91315890643557	3.21812692373497	3.18111260112083	2.90290619865118	3.18868887495139	2.97031478285571	3.21812692373497	3.13910980890642	3.21518581754113	3.21356957891533	3.18868887495139	3.23792302346733	3.23386461715954	3.17522145106025	3.17522145106025	3.21812692373497	3.20501367799973	8.43321834950624	3.23211490368054	3.21812692373497	3.19407506368509	3.21812692373497	3.20501367799973	3.18868887495139	3.21239294832587	3.21518581754113	3.23211490368054	3.24020903646594	3.21239294832587	3.20501367799973	3.19742459703064	3.2260363233844	3.20501367799973	3.21356957891533	3.2260363233844	3.21812692373497	3.21239294832587	3.21239294832587	5.93131732217349	3.23386461715954	3.21518581754113	3.23386461715954	3.23608255858737	3.23211490368054	3.19407506368509	7.77935792725333	3.19407506368509	3.21518581754113	3.21239294832587	3.21239294832587	3.21100423588606	3.21518581754113	3.21356957891533	3.21518581754113	3.21518581754113	3.19407506368509	3.23386461715954	3.21356957891533	3.21812692373497	9.68584913796112	3.2260363233844	3.20501367799973	3.23608255858737	3.23386461715954	3.23608255858737	3.21518581754113	3.19742459703064	3.21518581754113	3.23608255858737	3.21356957891533	3.2260363233844	3.21518581754113	3.23608255858737	9.26583206242428	3.23211490368054	3.21356957891533	3.23211490368054	3.23608255858737	7.25078595353775	3.19407506368509	3.23386461715954	3.24020903646594	3.24020903646594	3.23608255858737	3.2260363233844	3.25931813956951	3.19663918443007	3.23792302346733	3.23792302346733	3.2260363233844	3.23792302346733	3.21100423588606	3.21812692373497	3.23211490368054	3.21356957891533	3.21356957891533	9.16880040626861	3.23211490368054	9.49073597859129	3.23792302346733	3.23386461715954	3.24020903646594	3.21100423588606	3.21518581754113	3.23211490368054	7.53242577516694	3.2260363233844	3.23211490368054	3.23386461715954
ABC_transporter_alkylphosphonate_(TC_3.A.1.9.1)	3.21356957891533	3.23608255858737	3.11539889875078	3.13910980890642	2.99660235332332	3.24242008840693	3.17787206735722	3.12276012197567	3.18111260112083	3.16288428274199	3.15568881198701	3.04452783957294	3.23792302346733	3.04452783957294	3.23792302346733	3.24020903646594	3.23608255858737	3.03546024601029	3.12276012197567	2.92927975727924	3.27291491177596	2.97779203936315	3.18868887495139	3.05476159645524	3.03875185426185	3.24242008840693	3.25931813956951	3.02522684740031	3.14584878453499	3.11116519623344	2.90290619865118	3.04452783957294	3.19407506368509	3.10694668968627	3.23211490368054	3.14993249835871	3.17787206735722	3.23608255858737	3.2897278093688	2.99096162576227	3.21100423588606	2.91315890643557	3.21812692373497	3.18111260112083	2.90290619865118	3.18868887495139	2.97031478285571	3.21812692373497	3.13910980890642	3.21518581754113	3.21356957891533	3.18868887495139	3.23792302346733	3.23386461715954	3.17522145106025	3.17522145106025	3.21812692373497	3.20501367799973	3.21100423588606	3.23211490368054	3.21812692373497	3.19407506368509	3.21812692373497	3.20501367799973	3.18868887495139	3.21239294832587	3.21518581754113	8.74318458943479	3.24020903646594	3.21239294832587	3.20501367799973	3.19742459703064	3.2260363233844	3.20501367799973	3.21356957891533	3.2260363233844	3.21812692373497	3.21239294832587	3.21239294832587	3.21518581754113	3.23386461715954	3.21518581754113	3.23386461715954	3.23608255858737	3.23211490368054	3.19407506368509	3.17034139647563	3.19407506368509	3.21518581754113	3.21239294832587	3.21239294832587	3.21100423588606	3.21518581754113	3.21356957891533	3.21518581754113	3.21518581754113	3.19407506368509	3.23386461715954	3.21356957891533	3.21812692373497	3.24242008840693	3.2260363233844	3.20501367799973	3.23608255858737	3.23386461715954	3.23608255858737	3.21518581754113	3.19742459703064	3.21518581754113	3.23608255858737	3.21356957891533	3.2260363233844	3.21518581754113	3.23608255858737	3.21100423588606	3.23211490368054	3.21356957891533	3.23211490368054	3.23608255858737	3.18868887495139	3.19407506368509	3.23386461715954	3.24020903646594	3.24020903646594	3.23608255858737	3.2260363233844	3.25931813956951	3.19663918443007	3.23792302346733	3.23792302346733	3.2260363233844	3.23792302346733	3.21100423588606	3.21812692373497	3.23211490368054	3.21356957891533	3.21356957891533	3.23386461715954	3.23211490368054	3.21518581754113	3.23792302346733	3.23386461715954	3.24020903646594	3.21100423588606	3.21518581754113	3.23211490368054	3.24020903646594	3.2260363233844	8.74542011411178	3.23386461715954
ABC_transporter_of_unknown_substrate_X	3.21356957891533	3.23608255858737	5.69314247162371	5.92163224170244	2.99660235332332	3.24242008840693	3.17787206735722	6.81116835631656	3.18111260112083	6.6893031235908	3.15568881198701	3.04452783957294	3.23792302346733	6.0647928266181	3.23792302346733	3.24020903646594	3.23608255858737	3.03546024601029	3.12276012197567	2.92927975727924	3.27291491177596	2.97779203936315	3.18868887495139	3.05476159645524	3.03875185426185	3.24242008840693	3.25931813956951	3.02522684740031	3.14584878453499	3.11116519623344	2.90290619865118	3.04452783957294	3.19407506368509	3.10694668968627	3.23211490368054	3.14993249835871	3.17787206735722	3.23608255858737	3.2897278093688	2.99096162576227	3.21100423588606	2.91315890643557	3.21812692373497	7.09931113267735	2.90290619865118	3.18868887495139	2.97031478285571	3.21812692373497	3.13910980890642	3.21518581754113	3.21356957891533	3.18868887495139	3.23792302346733	3.23386461715954	3.17522145106025	3.17522145106025	3.21812692373497	3.20501367799973	3.21100423588606	3.23211490368054	3.21812692373497	3.19407506368509	3.21812692373497	3.20501367799973	3.18868887495139	3.21239294832587	3.21518581754113	3.23211490368054	3.24020903646594	3.21239294832587	3.20501367799973	3.19742459703064	3.2260363233844	3.20501367799973	3.21356957891533	3.2260363233844	3.21812692373497	3.21239294832587	3.21239294832587	3.21518581754113	3.23386461715954	3.21518581754113	3.23386461715954	3.23608255858737	3.23211490368054	3.19407506368509	3.17034139647563	3.19407506368509	3.21518581754113	3.21239294832587	3.21239294832587	3.21100423588606	3.21518581754113	3.21356957891533	3.21518581754113	3.21518581754113	3.19407506368509	3.23386461715954	3.21356957891533	3.21812692373497	3.24242008840693	3.2260363233844	3.20501367799973	3.23608255858737	3.23386461715954	3.23608255858737	3.21518581754113	3.19742459703064	3.21518581754113	3.23608255858737	3.21356957891533	3.2260363233844	3.21518581754113	3.23608255858737	3.21100423588606	3.23211490368054	3.21356957891533	3.23211490368054	3.23608255858737	3.18868887495139	3.19407506368509	3.23386461715954	3.24020903646594	3.24020903646594	3.23608255858737	3.2260363233844	3.25931813956951	3.19663918443007	3.23792302346733	3.23792302346733	3.2260363233844	3.23792302346733	3.21100423588606	3.21812692373497	3.23211490368054	3.21356957891533	3.21356957891533	3.23386461715954	3.23211490368054	3.21518581754113	3.23792302346733	3.23386461715954	3.24020903646594	3.21100423588606	3.21518581754113	3.23211490368054	3.24020903646594	3.2260363233844	3.23211490368054	3.23386461715954
ABC_transporter_peptide_(TC_3.A.1.5.5)	3.21356957891533	3.23608255858737	5.12774537464999	3.13910980890642	2.99660235332332	3.24242008840693	3.17787206735722	3.12276012197567	3.18111260112083	3.16288428274199	3.15568881198701	3.04452783957294	3.23792302346733	3.04452783957294	3.23792302346733	3.24020903646594	3.23608255858737	3.03546024601029	3.12276012197567	2.92927975727924	3.27291491177596	6.88056397299736	3.18868887495139	5.49565862148523	3.03875185426185	3.24242008840693	3.25931813956951	3.02522684740031	3.14584878453499	3.11116519623344	9.02576779432073	3.04452783957294	3.19407506368509	3.10694668968627	3.23211490368054	3.14993249835871	3.17787206735722	3.23608255858737	3.2897278093688	2.99096162576227	3.21100423588606	2.91315890643557	7.20082495359139	3.18111260112083	2.90290619865118	3.18868887495139	2.97031478285571	3.21812692373497	3.13910980890642	3.21518581754113	3.21356957891533	3.18868887495139	3.23792302346733	3.23386461715954	3.17522145106025	3.17522145106025	3.21812692373497	3.20501367799973	3.21100423588606	3.23211490368054	3.21812692373497	3.19407506368509	3.21812692373497	3.20501367799973	3.18868887495139	3.21239294832587	3.21518581754113	3.23211490368054	3.24020903646594	3.21239294832587	3.20501367799973	3.19742459703064	3.2260363233844	3.20501367799973	3.21356957891533	3.2260363233844	3.21812692373497	3.21239294832587	3.21239294832587	3.21518581754113	3.23386461715954	3.21518581754113	3.23386461715954	3.23608255858737	3.23211490368054	3.19407506368509	3.17034139647563	3.19407506368509	3.21518581754113	3.21239294832587	3.21239294832587	3.21100423588606	3.21518581754113	3.21356957891533	3.21518581754113	3.21518581754113	3.19407506368509	3.23386461715954	3.21356957891533	3.21812692373497	3.24242008840693	3.2260363233844	3.20501367799973	3.23608255858737	3.23386461715954	3.23608255858737	3.21518581754113	3.19742459703064	3.21518581754113	3.23608255858737	3.21356957891533	3.2260363233844	3.21518581754113	3.23608255858737	3.21100423588606	3.23211490368054	3.21356957891533	3.23211490368054	3.23608255858737	3.18868887495139	3.19407506368509	3.23386461715954	3.24020903646594	3.24020903646594	3.23608255858737	3.2260363233844	3.25931813956951	3.19663918443007	3.23792302346733	3.23792302346733	3.2260363233844	3.23792302346733	3.21100423588606	3.21812692373497	3.23211490368054	3.21356957891533	3.21356957891533	3.23386461715954	3.23211490368054	3.21518581754113	3.23792302346733	3.23386461715954	3.24020903646594	3.21100423588606	3.21518581754113	3.23211490368054	3.24020903646594	3.2260363233844	3.23211490368054	3.23386461715954
ABC-type_iron_transport_system	3.21356957891533	3.23608255858737	5.50625311935424	3.13910980890642	2.99660235332332	3.24242008840693	3.17787206735722	3.12276012197567	3.18111260112083	3.16288428274199	3.15568881198701	3.04452783957294	3.23792302346733	3.04452783957294	3.23792302346733	3.24020903646594	3.23608255858737	3.03546024601029	3.12276012197567	2.92927975727924	3.27291491177596	2.97779203936315	3.18868887495139	3.05476159645524	3.03875185426185	3.24242008840693	3.25931813956951	3.02522684740031	3.14584878453499	3.11116519623344	2.90290619865118	3.04452783957294	3.19407506368509	3.10694668968627	3.23211490368054	3.14993249835871	3.17787206735722	3.23608255858737	3.2897278093688	2.99096162576227	3.21100423588606	2.91315890643557	3.21812692373497	3.18111260112083	2.90290619865118	3.18868887495139	2.97031478285571	3.21812692373497	3.13910980890642	3.21518581754113	3.21356957891533	3.18868887495139	3.23792302346733	3.23386461715954	3.17522145106025	3.17522145106025	3.21812692373497	3.20501367799973	3.21100423588606	3.23211490368054	3.21812692373497	3.19407506368509	3.21812692373497	3.20501367799973	3.18868887495139	3.21239294832587	3.21518581754113	3.23211490368054	3.24020903646594	3.21239294832587	3.20501367799973	3.19742459703064	3.2260363233844	3.20501367799973	3.21356957891533	3.2260363233844	3.21812692373497	3.21239294832587	3.21239294832587	3.21518581754113	3.23386461715954	3.21518581754113	3.23386461715954	3.23608255858737	3.23211490368054	3.19407506368509	3.17034139647563	3.19407506368509	3.21518581754113	3.21239294832587	3.21239294832587	3.21100423588606	3.21518581754113	3.21356957891533	3.21518581754113	3.21518581754113	3.19407506368509	3.23386461715954	3.21356957891533	3.21812692373497	3.24242008840693	3.2260363233844	3.20501367799973	3.23608255858737	3.23386461715954	3.23608255858737	3.21518581754113	3.19742459703064	3.21518581754113	3.23608255858737	3.21356957891533	3.2260363233844	3.21518581754113	3.23608255858737	3.21100423588606	3.23211490368054	3.21356957891533	3.23211490368054	3.23608255858737	3.18868887495139	3.19407506368509	3.23386461715954	3.24020903646594	3.24020903646594	3.23608255858737	3.2260363233844	3.25931813956951	3.19663918443007	3.23792302346733	3.23792302346733	3.2260363233844	3.23792302346733	3.21100423588606	3.21812692373497	3.23211490368054	3.21356957891533	3.21356957891533	3.23386461715954	3.23211490368054	3.21518581754113	3.23792302346733	3.23386461715954	3.24020903646594	3.21100423588606	3.21518581754113	3.23211490368054	3.24020903646594	3.2260363233844	3.23211490368054	3.23386461715954
Accessory_colonization_factor	3.21356957891533	3.23608255858737	3.11539889875078	3.13910980890642	2.99660235332332	3.24242008840693	3.17787206735722	3.12276012197567	3.18111260112083	3.16288428274199	3.15568881198701	3.04452783957294	3.23792302346733	3.04452783957294	3.23792302346733	3.24020903646594	3.23608255858737	3.03546024601029	3.12276012197567	2.92927975727924	3.27291491177596	2.97779203936315	3.18868887495139	3.05476159645524	3.03875185426185	3.24242008840693	3.25931813956951	3.02522684740031	3.14584878453499	3.11116519623344	9.18479531015692	3.04452783957294	3.19407506368509	3.10694668968627	3.23211490368054	3.14993249835871	3.17787206735722	3.23608255858737	3.2897278093688	2.99096162576227	3.21100423588606	9.41319603917653	3.21812692373497	3.18111260112083	9.40926132189458	3.18868887495139	2.97031478285571	3.21812692373497	3.13910980890642	3.21518581754113	3.21356957891533	3.18868887495139	3.23792302346733	3.23386461715954	3.17522145106025	3.17522145106025	3.21812692373497	3.20501367799973	3.21100423588606	3.23211490368054	3.21812692373497	3.19407506368509	3.21812692373497	3.20501367799973	3.18868887495139	3.21239294832587	3.21518581754113	3.23211490368054	3.24020903646594	3.21239294832587	3.20501367799973	3.19742459703064	3.2260363233844	3.20501367799973	3.21356957891533	3.2260363233844	3.21812692373497	3.21239294832587	3.21239294832587	3.21518581754113	3.23386461715954	3.21518581754113	3.23386461715954	3.23608255858737	3.23211490368054	3.19407506368509	3.17034139647563	3.19407506368509	3.21518581754113	3.21239294832587	3.21239294832587	3.21100423588606	3.21518581754113	3.21356957891533	3.21518581754113	3.21518581754113	3.19407506368509	3.23386461715954	3.21356957891533	3.21812692373497	3.24242008840693	3.2260363233844	3.20501367799973	3.23608255858737	3.23386461715954	3.23608255858737	3.21518581754113	3.19742459703064	3.21518581754113	3.23608255858737	3.21356957891533	3.2260363233844	3.21518581754113	3.23608255858737	3.21100423588606	3.23211490368054	3.21356957891533	3.23211490368054	3.23608255858737	3.18868887495139	3.19407506368509	3.23386461715954	3.24020903646594	3.24020903646594	3.23608255858737	3.2260363233844	3.25931813956951	3.19663918443007	3.23792302346733	3.23792302346733	3.2260363233844	3.23792302346733	3.21100423588606	3.21812692373497	3.23211490368054	3.21356957891533	3.21356957891533	3.23386461715954	3.23211490368054	3.21518581754113	3.23792302346733	3.23386461715954	3.24020903646594	3.21100423588606	3.21518581754113	3.23211490368054	3.24020903646594	3.2260363233844	3.23211490368054	3.23386461715954
Acetone_carboxylase	3.21356957891533	3.23608255858737	3.11539889875078	5.92163224170244	2.99660235332332	3.24242008840693	3.17787206735722	3.12276012197567	3.18111260112083	3.16288428274199	3.15568881198701	3.04452783957294	3.23792302346733	3.04452783957294	3.23792302346733	3.24020903646594	3.23608255858737	3.03546024601029	3.12276012197567	2.92927975727924	3.27291491177596	2.97779203936315	3.18868887495139	3.05476159645524	3.03875185426185	3.24242008840693	3.25931813956951	3.02522684740031	3.14584878453499	3.11116519623344	2.90290619865118	3.04452783957294	3.19407506368509	3.10694668968627	3.23211490368054	3.14993249835871	3.17787206735722	3.23608255858737	3.2897278093688	2.99096162576227	3.21100423588606	2.91315890643557	3.21812692373497	3.18111260112083	2.90290619865118	3.18868887495139	2.97031478285571	3.21812692373497	5.51033630079903	3.21518581754113	3.21356957891533	3.18868887495139	3.23792302346733	3.23386461715954	3.17522145106025	3.17522145106025	3.21812692373497	3.20501367799973	3.21100423588606	3.23211490368054	3.21812692373497	3.19407506368509	3.21812692373497	3.20501367799973	3.18868887495139	3.21239294832587	3.21518581754113	3.23211490368054	3.24020903646594	3.21239294832587	3.20501367799973	3.19742459703064	3.2260363233844	3.20501367799973	3.21356957891533	3.2260363233844	3.21812692373497	3.21239294832587	3.21239294832587	3.21518581754113	3.23386461715954	3.21518581754113	3.23386461715954	3.23608255858737	3.23211490368054	3.19407506368509	3.17034139647563	3.19407506368509	3.21518581754113	3.21239294832587	3.21239294832587	3.21100423588606	3.21518581754113	3.21356957891533	3.21518581754113	3.21518581754113	3.19407506368509	3.23386461715954	3.21356957891533	3.21812692373497	3.24242008840693	3.2260363233844	3.20501367799973	3.23608255858737	3.23386461715954	3.23608255858737	3.21518581754113	3.19742459703064	3.21518581754113	3.23608255858737	3.21356957891533	3.2260363233844	3.21518581754113	3.23608255858737	3.21100423588606	3.23211490368054	3.21356957891533	3.23211490368054	3.23608255858737	3.18868887495139	3.19407506368509	3.23386461715954	3.24020903646594	3.24020903646594	3.23608255858737	3.2260363233844	3.25931813956951	3.19663918443007	3.23792302346733	3.23792302346733	3.2260363233844	3.23792302346733	3.21100423588606	3.21812692373497	3.23211490368054	3.21356957891533	3.21356957891533	3.23386461715954	3.23211490368054	3.21518581754113	3.23792302346733	3.23386461715954	3.24020903646594	6.15104130070244	3.21518581754113	3.23211490368054	3.24020903646594	3.2260363233844	3.23211490368054	3.23386461715954
A_conserved_operon_linked_to_TyrR_and_possibly_involved_in_virulence	3.21356957891533	3.23608255858737	3.11539889875078	3.13910980890642	2.99660235332332	3.24242008840693	3.17787206735722	3.12276012197567	3.18111260112083	3.16288428274199	5.92375071629568	5.6830705376396	3.23792302346733	5.81034649644448	3.23792302346733	3.24020903646594	3.23608255858737	5.8091448449192	3.12276012197567	6.35897977730874	3.27291491177596	2.97779203936315	3.18868887495139	3.05476159645524	3.03875185426185	3.24242008840693	3.25931813956951	3.02522684740031	3.14584878453499	3.11116519623344	8.20807475893245	3.04452783957294	3.19407506368509	3.10694668968627	3.23211490368054	3.14993249835871	3.17787206735722	3.23608255858737	3.2897278093688	2.99096162576227	6.01385460632633	8.36315020212883	3.21812692373497	3.18111260112083	8.33454739838604	6.20647419307858	6.40261747983183	3.21812692373497	3.13910980890642	3.21518581754113	3.21356957891533	3.18868887495139	3.23792302346733	3.23386461715954	3.17522145106025	3.17522145106025	3.21812692373497	3.20501367799973	3.21100423588606	3.23211490368054	3.21812692373497	3.19407506368509	3.21812692373497	3.20501367799973	3.18868887495139	3.21239294832587	3.21518581754113	3.23211490368054	3.24020903646594	3.21239294832587	3.20501367799973	3.19742459703064	3.2260363233844	3.20501367799973	3.21356957891533	3.2260363233844	3.21812692373497	3.21239294832587	3.21239294832587	3.21518581754113	3.23386461715954	3.21518581754113	3.23386461715954	3.23608255858737	3.23211490368054	3.19407506368509	3.17034139647563	3.19407506368509	3.21518581754113	3.21239294832587	3.21239294832587	3.21100423588606	3.21518581754113	3.21356957891533	3.21518581754113	3.21518581754113	3.19407506368509	3.23386461715954	3.21356957891533	3.21812692373497	3.24242008840693	3.2260363233844	3.20501367799973	3.23608255858737	3.23386461715954	3.23608255858737	3.21518581754113	3.19742459703064	3.21518581754113	3.23608255858737	3.21356957891533	3.2260363233844	3.21518581754113	3.23608255858737	3.21100423588606	3.23211490368054	3.21356957891533	3.23211490368054	3.23608255858737	3.18868887495139	3.19407506368509	3.23386461715954	3.24020903646594	3.24020903646594	3.23608255858737	3.2260363233844	3.25931813956951	3.19663918443007	3.23792302346733	3.23792302346733	3.2260363233844	3.23792302346733	3.21100423588606	3.21812692373497	3.23211490368054	3.21356957891533	3.21356957891533	3.23386461715954	3.23211490368054	3.21518581754113	3.23792302346733	3.23386461715954	3.24020903646594	3.21100423588606	3.21518581754113	3.23211490368054	3.24020903646594	3.2260363233844	3.23211490368054	3.23386461715954
