	Stool.1	Stool.106	Stool.107	Stool.109	Stool.110	Stool.111	Stool.113	Stool.116	Stool.120	Stool.128	Stool.129	Stool.131	Stool.137	Stool.14	Stool.143	Stool.145	Stool.153	Stool.158	Stool.17	Stool.170	Stool.173	Stool.176	Stool.2	Stool.201	Stool.203	Stool.206	Stool.22	Stool.24	Stool.25	Stool.28	Stool.29	Stool.3	Stool.30	Stool.31	Stool.34	Stool.39	Stool.4	Stool.40	Stool.45	Stool.46	Stool.52	Stool.55	Stool.6	Stool.61	Stool.66	Stool.8	Stool.81	Stool.90	Stool.92	Stool.94	Supragingival_plaque.101	Supragingival_plaque.104	Supragingival_plaque.115	Supragingival_plaque.116	Supragingival_plaque.118	Supragingival_plaque.119	Supragingival_plaque.12	Supragingival_plaque.130	Supragingival_plaque.14	Supragingival_plaque.141	Supragingival_plaque.145	Supragingival_plaque.159	Supragingival_plaque.16	Supragingival_plaque.161	Supragingival_plaque.162	Supragingival_plaque.17	Supragingival_plaque.170	Supragingival_plaque.18	Supragingival_plaque.2	Supragingival_plaque.20	Supragingival_plaque.217	Supragingival_plaque.221	Supragingival_plaque.23	Supragingival_plaque.3	Supragingival_plaque.32	Supragingival_plaque.33	Supragingival_plaque.35	Supragingival_plaque.38	Supragingival_plaque.49	Supragingival_plaque.5	Supragingival_plaque.50	Supragingival_plaque.51	Supragingival_plaque.52	Supragingival_plaque.53	Supragingival_plaque.57	Supragingival_plaque.61	Supragingival_plaque.68	Supragingival_plaque.71	Supragingival_plaque.77	Supragingival_plaque.79	Supragingival_plaque.8	Supragingival_plaque.80	Supragingival_plaque.81	Supragingival_plaque.83	Supragingival_plaque.84	Supragingival_plaque.86	Supragingival_plaque.87	Supragingival_plaque.9	Supragingival_plaque.91	Supragingival_plaque.92	Tongue_dorsum.10	Tongue_dorsum.102	Tongue_dorsum.112	Tongue_dorsum.113	Tongue_dorsum.12	Tongue_dorsum.120	Tongue_dorsum.123	Tongue_dorsum.128	Tongue_dorsum.147	Tongue_dorsum.149	Tongue_dorsum.158	Tongue_dorsum.166	Tongue_dorsum.169	Tongue_dorsum.17	Tongue_dorsum.174	Tongue_dorsum.18	Tongue_dorsum.198	Tongue_dorsum.21	Tongue_dorsum.212	Tongue_dorsum.213	Tongue_dorsum.238	Tongue_dorsum.25	Tongue_dorsum.26	Tongue_dorsum.29	Tongue_dorsum.3	Tongue_dorsum.30	Tongue_dorsum.31	Tongue_dorsum.32	Tongue_dorsum.34	Tongue_dorsum.35	Tongue_dorsum.37	Tongue_dorsum.38	Tongue_dorsum.43	Tongue_dorsum.45	Tongue_dorsum.50	Tongue_dorsum.51	Tongue_dorsum.53	Tongue_dorsum.54	Tongue_dorsum.56	Tongue_dorsum.58	Tongue_dorsum.61	Tongue_dorsum.65	Tongue_dorsum.67	Tongue_dorsum.71	Tongue_dorsum.77	Tongue_dorsum.78	Tongue_dorsum.80	Tongue_dorsum.87	Tongue_dorsum.9	Tongue_dorsum.90
2-Ketogluconate_Utilization	3.07807666344021	3.11093101609702	2.99127261179395	2.99810183804161	2.86990720576138	3.11526735886892	3.04001089870512	2.99561909577986	3.04579219736139	3.02937937946512	3.00708031689285	2.91191100324164	3.11288343720403	2.91917992632039	3.11288343720403	3.11374448335817	3.11093101609702	2.91095205361129	2.99561909577986	2.80349078719556	5.4662144437681	2.86019235742136	3.04601597827168	2.9266025468869	2.91191100324164	3.11526735886892	3.12122652306328	2.89766086805421	3.00668573167685	2.98749163839028	7.49896631794073	2.91917992632039	3.05406779089361	2.98252284506307	3.09555314905466	3.00708031689285	3.03814408652818	3.10074938339126	3.14266265016777	2.86626615605972	3.05813574909912	2.79980094219233	3.0786112933838	3.04579219736139	2.79263466159355	3.04601597827168	2.8595546856109	3.08464310718024	2.99762208518842	3.0786112933838	3.07807666344021	3.04601597827168	3.11288343720403	3.10074938339126	3.03814408652818	3.03814408652818	3.0786112933838	3.05813574909912	3.0681896447392	3.09555314905466	3.08464310718024	3.05406779089361	3.08464310718024	3.05813574909912	3.04601597827168	3.07324177445563	3.0786112933838	3.09555314905466	3.11288343720403	3.07324177445563	3.05767684878644	3.05767684878644	3.09396244801429	3.05813574909912	3.07324177445563	3.09396244801429	3.08464310718024	3.07324177445563	3.07324177445563	3.0786112933838	3.10074938339126	3.0786112933838	3.10074938339126	3.11093101609702	3.09555314905466	3.04601597827168	3.02937937946512	3.04601597827168	3.0786112933838	3.07324177445563	3.07324177445563	3.0681896447392	3.0786112933838	3.07807666344021	3.0786112933838	3.0786112933838	3.05406779089361	3.10074938339126	3.07807666344021	3.08464310718024	3.11526735886892	3.09396244801429	3.05813574909912	3.10074938339126	3.10074938339126	3.11093101609702	3.0786112933838	3.05767684878644	3.07807666344021	3.11093101609702	3.07324177445563	3.09396244801429	3.07807666344021	3.11288343720403	3.05813574909912	3.09555314905466	3.07807666344021	3.09396244801429	3.10074938339126	3.04601597827168	3.05406779089361	3.10074938339126	3.11526735886892	3.11374448335817	3.11093101609702	3.09396244801429	3.12122652306328	3.05406779089361	3.11288343720403	3.11288343720403	3.09396244801429	3.11288343720403	3.0681896447392	3.08464310718024	3.09555314905466	3.07807666344021	3.07807666344021	3.10074938339126	3.09555314905466	3.0786112933838	3.11288343720403	3.10074938339126	3.11374448335817	3.05767684878644	3.0786112933838	3.09555314905466	3.11374448335817	3.09396244801429	3.09555314905466	3.10074938339126
2-phosphoglycolate_salvage	3.07807666344021	3.11093101609702	2.99127261179395	2.99810183804161	2.86990720576138	3.11526735886892	3.04001089870512	2.99561909577986	3.04579219736139	3.02937937946512	3.00708031689285	2.91191100324164	3.11288343720403	2.91917992632039	3.11288343720403	3.11374448335817	3.11093101609702	2.91095205361129	2.99561909577986	2.80349078719556	3.1365924113903	2.86019235742136	3.04601597827168	2.9266025468869	2.91191100324164	3.11526735886892	3.12122652306328	2.89766086805421	3.00668573167685	5.75393506657502	7.87537680804063	2.91917992632039	3.05406779089361	2.98252284506307	3.09555314905466	3.00708031689285	3.03814408652818	3.10074938339126	3.14266265016777	2.86626615605972	3.05813574909912	8.25082925355085	3.0786112933838	3.04579219736139	2.79263466159355	3.04601597827168	2.8595546856109	3.08464310718024	2.99762208518842	3.0786112933838	3.07807666344021	3.04601597827168	3.11288343720403	3.10074938339126	3.03814408652818	3.03814408652818	3.0786112933838	3.05813574909912	3.0681896447392	3.09555314905466	3.08464310718024	3.05406779089361	3.08464310718024	3.05813574909912	3.04601597827168	3.07324177445563	3.0786112933838	3.09555314905466	3.11288343720403	3.07324177445563	3.05767684878644	3.05767684878644	3.09396244801429	3.05813574909912	3.07324177445563	3.09396244801429	3.08464310718024	3.07324177445563	3.07324177445563	3.0786112933838	3.10074938339126	3.0786112933838	3.10074938339126	3.11093101609702	3.09555314905466	3.04601597827168	3.02937937946512	3.04601597827168	3.0786112933838	3.07324177445563	3.07324177445563	3.0681896447392	3.0786112933838	3.07807666344021	3.0786112933838	3.0786112933838	3.05406779089361	3.10074938339126	3.07807666344021	3.08464310718024	3.11526735886892	3.09396244801429	3.05813574909912	3.10074938339126	3.10074938339126	3.11093101609702	3.0786112933838	3.05767684878644	3.07807666344021	3.11093101609702	3.07324177445563	3.09396244801429	3.07807666344021	3.11288343720403	3.05813574909912	3.09555314905466	3.07807666344021	3.09396244801429	3.10074938339126	3.04601597827168	3.05406779089361	3.10074938339126	3.11526735886892	3.11374448335817	3.11093101609702	3.09396244801429	3.12122652306328	3.05406779089361	3.11288343720403	3.11288343720403	3.09396244801429	3.11288343720403	3.0681896447392	3.08464310718024	3.09555314905466	3.07807666344021	3.07807666344021	3.10074938339126	3.09555314905466	3.0786112933838	3.11288343720403	3.10074938339126	3.11374448335817	3.05767684878644	3.0786112933838	3.09555314905466	3.11374448335817	3.09396244801429	3.09555314905466	3.10074938339126
4-Hydroxyphenylacetic_acid_catabolic_pathway	3.07807666344021	3.11093101609702	2.99127261179395	2.99810183804161	2.86990720576138	3.11526735886892	3.04001089870512	2.99561909577986	3.04579219736139	3.02937937946512	3.00708031689285	2.91191100324164	3.11288343720403	2.91917992632039	3.11288343720403	3.11374448335817	3.11093101609702	2.91095205361129	8.82493752960325	2.80349078719556	3.1365924113903	2.86019235742136	3.04601597827168	2.9266025468869	2.91191100324164	3.11526735886892	3.12122652306328	2.89766086805421	3.00668573167685	2.98749163839028	10.6852958474257	9.3529902996225	3.05406779089361	2.98252284506307	3.09555314905466	3.00708031689285	3.03814408652818	3.10074938339126	3.14266265016777	2.86626615605972	3.05813574909912	2.79980094219233	3.0786112933838	3.04579219736139	2.79263466159355	3.04601597827168	2.8595546856109	3.08464310718024	2.99762208518842	3.0786112933838	3.07807666344021	3.04601597827168	3.11288343720403	3.10074938339126	3.03814408652818	3.03814408652818	3.0786112933838	3.05813574909912	8.37437452755099	3.09555314905466	3.08464310718024	3.05406779089361	3.08464310718024	3.05813574909912	3.04601597827168	3.07324177445563	3.0786112933838	3.09555314905466	3.11288343720403	3.07324177445563	3.05767684878644	3.05767684878644	3.09396244801429	3.05813574909912	3.07324177445563	3.09396244801429	3.08464310718024	3.07324177445563	3.07324177445563	5.86459301459659	3.10074938339126	3.0786112933838	3.10074938339126	3.11093101609702	3.09555314905466	3.04601597827168	7.7202591185649	3.04601597827168	3.0786112933838	3.07324177445563	3.07324177445563	3.0681896447392	3.0786112933838	3.07807666344021	3.0786112933838	3.0786112933838	3.05406779089361	3.10074938339126	3.07807666344021	3.08464310718024	9.6343227757606	3.09396244801429	3.05813574909912	3.10074938339126	3.10074938339126	3.11093101609702	3.0786112933838	3.05767684878644	3.07807666344021	3.11093101609702	3.07324177445563	3.09396244801429	3.07807666344021	3.11288343720403	9.20627100528641	3.09555314905466	3.07807666344021	3.09396244801429	3.10074938339126	7.19079418103952	3.05406779089361	3.10074938339126	3.11526735886892	3.11374448335817	3.11093101609702	3.09396244801429	3.12122652306328	3.05406779089361	3.11288343720403	3.11288343720403	3.09396244801429	3.11288343720403	3.0681896447392	3.08464310718024	3.09555314905466	3.07807666344021	3.07807666344021	9.113705782166	3.09555314905466	9.43596319254769	3.11288343720403	3.10074938339126	3.11374448335817	3.05767684878644	3.0786112933838	3.09555314905466	7.47535076855768	3.09396244801429	3.09555314905466	3.10074938339126
ABC_transporter_alkylphosphonate_(TC_3.A.1.9.1)	3.07807666344021	3.11093101609702	2.99127261179395	2.99810183804161	2.86990720576138	3.11526735886892	3.04001089870512	2.99561909577986	3.04579219736139	3.02937937946512	3.00708031689285	2.91191100324164	3.11288343720403	2.91917992632039	3.11288343720403	3.11374448335817	3.11093101609702	2.91095205361129	2.99561909577986	2.80349078719556	3.1365924113903	2.86019235742136	3.04601597827168	2.9266025468869	2.91191100324164	3.11526735886892	3.12122652306328	2.89766086805421	3.00668573167685	2.98749163839028	2.78041020371521	2.91917992632039	3.05406779089361	2.98252284506307	3.09555314905466	3.00708031689285	3.03814408652818	3.10074938339126	3.14266265016777	2.86626615605972	3.05813574909912	2.79980094219233	3.0786112933838	3.04579219736139	2.79263466159355	3.04601597827168	2.8595546856109	3.08464310718024	2.99762208518842	3.0786112933838	3.07807666344021	3.04601597827168	3.11288343720403	3.10074938339126	3.03814408652818	3.03814408652818	3.0786112933838	3.05813574909912	3.0681896447392	3.09555314905466	3.08464310718024	3.05406779089361	3.08464310718024	3.05813574909912	3.04601597827168	3.07324177445563	3.0786112933838	8.68615838704667	3.11288343720403	3.07324177445563	3.05767684878644	3.05767684878644	3.09396244801429	3.05813574909912	3.07324177445563	3.09396244801429	3.08464310718024	3.07324177445563	3.07324177445563	3.0786112933838	3.10074938339126	3.0786112933838	3.10074938339126	3.11093101609702	3.09555314905466	3.04601597827168	3.02937937946512	3.04601597827168	3.0786112933838	3.07324177445563	3.07324177445563	3.0681896447392	3.0786112933838	3.07807666344021	3.0786112933838	3.0786112933838	3.05406779089361	3.10074938339126	3.07807666344021	3.08464310718024	3.11526735886892	3.09396244801429	3.05813574909912	3.10074938339126	3.10074938339126	3.11093101609702	3.0786112933838	3.05767684878644	3.07807666344021	3.11093101609702	3.07324177445563	3.09396244801429	3.07807666344021	3.11288343720403	3.05813574909912	3.09555314905466	3.07807666344021	3.09396244801429	3.10074938339126	3.04601597827168	3.05406779089361	3.10074938339126	3.11526735886892	3.11374448335817	3.11093101609702	3.09396244801429	3.12122652306328	3.05406779089361	3.11288343720403	3.11288343720403	3.09396244801429	3.11288343720403	3.0681896447392	3.08464310718024	3.09555314905466	3.07807666344021	3.07807666344021	3.10074938339126	3.09555314905466	3.0786112933838	3.11288343720403	3.10074938339126	3.11374448335817	3.05767684878644	3.0786112933838	3.09555314905466	3.11374448335817	3.09396244801429	8.68839877845605	3.10074938339126
ABC_transporter_of_unknown_substrate_X	3.07807666344021	3.11093101609702	5.62808123922543	5.8543921502369	2.86990720576138	3.11526735886892	3.04001089870512	6.75203686167186	3.04579219736139	6.62857758208487	3.00708031689285	2.91191100324164	3.11288343720403	6.00042931635519	3.11288343720403	3.11374448335817	3.11093101609702	2.91095205361129	2.99561909577986	2.80349078719556	3.1365924113903	2.86019235742136	3.04601597827168	2.9266025468869	2.91191100324164	3.11526735886892	3.12122652306328	2.89766086805421	3.00668573167685	2.98749163839028	2.78041020371521	2.91917992632039	3.05406779089361	2.98252284506307	3.09555314905466	3.00708031689285	3.03814408652818	3.10074938339126	3.14266265016777	2.86626615605972	3.05813574909912	2.79980094219233	3.0786112933838	7.04007328663784	2.79263466159355	3.04601597827168	2.8595546856109	3.08464310718024	2.99762208518842	3.0786112933838	3.07807666344021	3.04601597827168	3.11288343720403	3.10074938339126	3.03814408652818	3.03814408652818	3.0786112933838	3.05813574909912	3.0681896447392	3.09555314905466	3.08464310718024	3.05406779089361	3.08464310718024	3.05813574909912	3.04601597827168	3.07324177445563	3.0786112933838	3.09555314905466	3.11288343720403	3.07324177445563	3.05767684878644	3.05767684878644	3.09396244801429	3.05813574909912	3.07324177445563	3.09396244801429	3.08464310718024	3.07324177445563	3.07324177445563	3.0786112933838	3.10074938339126	3.0786112933838	3.10074938339126	3.11093101609702	3.09555314905466	3.04601597827168	3.02937937946512	3.04601597827168	3.0786112933838	3.07324177445563	3.07324177445563	3.0681896447392	3.0786112933838	3.07807666344021	3.0786112933838	3.0786112933838	3.05406779089361	3.10074938339126	3.07807666344021	3.08464310718024	3.11526735886892	3.09396244801429	3.05813574909912	3.10074938339126	3.10074938339126	3.11093101609702	3.0786112933838	3.05767684878644	3.07807666344021	3.11093101609702	3.07324177445563	3.09396244801429	3.07807666344021	3.11288343720403	3.05813574909912	3.09555314905466	3.07807666344021	3.09396244801429	3.10074938339126	3.04601597827168	3.05406779089361	3.10074938339126	3.11526735886892	3.11374448335817	3.11093101609702	3.09396244801429	3.12122652306328	3.05406779089361	3.11288343720403	3.11288343720403	3.09396244801429	3.11288343720403	3.0681896447392	3.08464310718024	3.09555314905466	3.07807666344021	3.07807666344021	3.10074938339126	3.09555314905466	3.0786112933838	3.11288343720403	3.10074938339126	3.11374448335817	3.05767684878644	3.0786112933838	3.09555314905466	3.11374448335817	3.09396244801429	3.09555314905466	3.10074938339126
ABC_transporter_peptide_(TC_3.A.1.5.5)	3.07807666344021	3.11093101609702	5.06465261122761	2.99810183804161	2.86990720576138	3.11526735886892	3.04001089870512	2.99561909577986	3.04579219736139	3.02937937946512	3.00708031689285	2.91191100324164	3.11288343720403	2.91917992632039	3.11288343720403	3.11374448335817	3.11093101609702	2.91095205361129	2.99561909577986	2.80349078719556	3.1365924113903	6.82331744210553	3.04601597827168	5.43093789345372	2.91191100324164	3.11526735886892	3.12122652306328	2.89766086805421	3.00668573167685	2.98749163839028	8.97350457185967	2.91917992632039	3.05406779089361	2.98252284506307	3.09555314905466	3.00708031689285	3.03814408652818	3.10074938339126	3.14266265016777	2.86626615605972	3.05813574909912	2.79980094219233	7.14117273937462	3.04579219736139	2.79263466159355	3.04601597827168	2.8595546856109	3.08464310718024	2.99762208518842	3.0786112933838	3.07807666344021	3.04601597827168	3.11288343720403	3.10074938339126	3.03814408652818	3.03814408652818	3.0786112933838	3.05813574909912	3.0681896447392	3.09555314905466	3.08464310718024	3.05406779089361	3.08464310718024	3.05813574909912	3.04601597827168	3.07324177445563	3.0786112933838	3.09555314905466	3.11288343720403	3.07324177445563	3.05767684878644	3.05767684878644	3.09396244801429	3.05813574909912	3.07324177445563	3.09396244801429	3.08464310718024	3.07324177445563	3.07324177445563	3.0786112933838	3.10074938339126	3.0786112933838	3.10074938339126	3.11093101609702	3.09555314905466	3.04601597827168	3.02937937946512	3.04601597827168	3.0786112933838	3.07324177445563	3.07324177445563	3.0681896447392	3.0786112933838	3.07807666344021	3.0786112933838	3.0786112933838	3.05406779089361	3.10074938339126	3.07807666344021	3.08464310718024	3.11526735886892	3.09396244801429	3.05813574909912	3.10074938339126	3.10074938339126	3.11093101609702	3.0786112933838	3.05767684878644	3.07807666344021	3.11093101609702	3.07324177445563	3.09396244801429	3.07807666344021	3.11288343720403	3.05813574909912	3.09555314905466	3.07807666344021	3.09396244801429	3.10074938339126	3.04601597827168	3.05406779089361	3.10074938339126	3.11526735886892	3.11374448335817	3.11093101609702	3.09396244801429	3.12122652306328	3.05406779089361	3.11288343720403	3.11288343720403	3.09396244801429	3.11288343720403	3.0681896447392	3.08464310718024	3.09555314905466	3.07807666344021	3.07807666344021	3.10074938339126	3.09555314905466	3.0786112933838	3.11288343720403	3.10074938339126	3.11374448335817	3.05767684878644	3.0786112933838	3.09555314905466	3.11374448335817	3.09396244801429	3.09555314905466	3.10074938339126
ABC-type_iron_transport_system	3.07807666344021	3.11093101609702	5.44206640393551	2.99810183804161	2.86990720576138	3.11526735886892	3.04001089870512	2.99561909577986	3.04579219736139	3.02937937946512	3.00708031689285	2.91191100324164	3.11288343720403	2.91917992632039	3.11288343720403	3.11374448335817	3.11093101609702	2.91095205361129	2.99561909577986	2.80349078719556	3.1365924113903	2.86019235742136	3.04601597827168	2.9266025468869	2.91191100324164	3.11526735886892	3.12122652306328	2.89766086805421	3.00668573167685	2.98749163839028	2.78041020371521	2.91917992632039	3.05406779089361	2.98252284506307	3.09555314905466	3.00708031689285	3.03814408652818	3.10074938339126	3.14266265016777	2.86626615605972	3.05813574909912	2.79980094219233	3.0786112933838	3.04579219736139	2.79263466159355	3.04601597827168	2.8595546856109	3.08464310718024	2.99762208518842	3.0786112933838	3.07807666344021	3.04601597827168	3.11288343720403	3.10074938339126	3.03814408652818	3.03814408652818	3.0786112933838	3.05813574909912	3.0681896447392	3.09555314905466	3.08464310718024	3.05406779089361	3.08464310718024	3.05813574909912	3.04601597827168	3.07324177445563	3.0786112933838	3.09555314905466	3.11288343720403	3.07324177445563	3.05767684878644	3.05767684878644	3.09396244801429	3.05813574909912	3.07324177445563	3.09396244801429	3.08464310718024	3.07324177445563	3.07324177445563	3.0786112933838	3.10074938339126	3.0786112933838	3.10074938339126	3.11093101609702	3.09555314905466	3.04601597827168	3.02937937946512	3.04601597827168	3.0786112933838	3.07324177445563	3.07324177445563	3.0681896447392	3.0786112933838	3.07807666344021	3.0786112933838	3.0786112933838	3.05406779089361	3.10074938339126	3.07807666344021	3.08464310718024	3.11526735886892	3.09396244801429	3.05813574909912	3.10074938339126	3.10074938339126	3.11093101609702	3.0786112933838	3.05767684878644	3.07807666344021	3.11093101609702	3.07324177445563	3.09396244801429	3.07807666344021	3.11288343720403	3.05813574909912	3.09555314905466	3.07807666344021	3.09396244801429	3.10074938339126	3.04601597827168	3.05406779089361	3.10074938339126	3.11526735886892	3.11374448335817	3.11093101609702	3.09396244801429	3.12122652306328	3.05406779089361	3.11288343720403	3.11288343720403	3.09396244801429	3.11288343720403	3.0681896447392	3.08464310718024	3.09555314905466	3.07807666344021	3.07807666344021	3.10074938339126	3.09555314905466	3.0786112933838	3.11288343720403	3.10074938339126	3.11374448335817	3.05767684878644	3.0786112933838	3.09555314905466	3.11374448335817	3.09396244801429	3.09555314905466	3.10074938339126
Accessory_colonization_factor	3.07807666344021	3.11093101609702	2.99127261179395	2.99810183804161	2.86990720576138	3.11526735886892	3.04001089870512	2.99561909577986	3.04579219736139	3.02937937946512	3.00708031689285	2.91191100324164	3.11288343720403	2.91917992632039	3.11288343720403	3.11374448335817	3.11093101609702	2.91095205361129	2.99561909577986	2.80349078719556	3.1365924113903	2.86019235742136	3.04601597827168	2.9266025468869	2.91191100324164	3.11526735886892	3.12122652306328	2.89766086805421	3.00668573167685	2.98749163839028	9.13314419387783	2.91917992632039	3.05406779089361	2.98252284506307	3.09555314905466	3.00708031689285	3.03814408652818	3.10074938339126	3.14266265016777	2.86626615605972	3.05813574909912	9.3648930489933	3.0786112933838	3.04579219736139	9.36177807707723	3.04601597827168	2.8595546856109	3.08464310718024	2.99762208518842	3.0786112933838	3.07807666344021	3.04601597827168	3.11288343720403	3.10074938339126	3.03814408652818	3.03814408652818	3.0786112933838	3.05813574909912	3.0681896447392	3.09555314905466	3.08464310718024	3.05406779089361	3.08464310718024	3.05813574909912	3.04601597827168	3.07324177445563	3.0786112933838	3.09555314905466	3.11288343720403	3.07324177445563	3.05767684878644	3.05767684878644	3.09396244801429	3.05813574909912	3.07324177445563	3.09396244801429	3.08464310718024	3.07324177445563	3.07324177445563	3.0786112933838	3.10074938339126	3.0786112933838	3.10074938339126	3.11093101609702	3.09555314905466	3.04601597827168	3.02937937946512	3.04601597827168	3.0786112933838	3.07324177445563	3.07324177445563	3.0681896447392	3.0786112933838	3.07807666344021	3.0786112933838	3.0786112933838	3.05406779089361	3.10074938339126	3.07807666344021	3.08464310718024	3.11526735886892	3.09396244801429	3.05813574909912	3.10074938339126	3.10074938339126	3.11093101609702	3.0786112933838	3.05767684878644	3.07807666344021	3.11093101609702	3.07324177445563	3.09396244801429	3.07807666344021	3.11288343720403	3.05813574909912	3.09555314905466	3.07807666344021	3.09396244801429	3.10074938339126	3.04601597827168	3.05406779089361	3.10074938339126	3.11526735886892	3.11374448335817	3.11093101609702	3.09396244801429	3.12122652306328	3.05406779089361	3.11288343720403	3.11288343720403	3.09396244801429	3.11288343720403	3.0681896447392	3.08464310718024	3.09555314905466	3.07807666344021	3.07807666344021	3.10074938339126	3.09555314905466	3.0786112933838	3.11288343720403	3.10074938339126	3.11374448335817	3.05767684878644	3.0786112933838	3.09555314905466	3.11374448335817	3.09396244801429	3.09555314905466	3.10074938339126
Acetone_carboxylase	3.07807666344021	3.11093101609702	2.99127261179395	5.8543921502369	2.86990720576138	3.11526735886892	3.04001089870512	2.99561909577986	3.04579219736139	3.02937937946512	3.00708031689285	2.91191100324164	3.11288343720403	2.91917992632039	3.11288343720403	3.11374448335817	3.11093101609702	2.91095205361129	2.99561909577986	2.80349078719556	3.1365924113903	2.86019235742136	3.04601597827168	2.9266025468869	2.91191100324164	3.11526735886892	3.12122652306328	2.89766086805421	3.00668573167685	2.98749163839028	2.78041020371521	2.91917992632039	3.05406779089361	2.98252284506307	3.09555314905466	3.00708031689285	3.03814408652818	3.10074938339126	3.14266265016777	2.86626615605972	3.05813574909912	2.79980094219233	3.0786112933838	3.04579219736139	2.79263466159355	3.04601597827168	2.8595546856109	3.08464310718024	5.44314590655702	3.0786112933838	3.07807666344021	3.04601597827168	3.11288343720403	3.10074938339126	3.03814408652818	3.03814408652818	3.0786112933838	3.05813574909912	3.0681896447392	3.09555314905466	3.08464310718024	3.05406779089361	3.08464310718024	3.05813574909912	3.04601597827168	3.07324177445563	3.0786112933838	3.09555314905466	3.11288343720403	3.07324177445563	3.05767684878644	3.05767684878644	3.09396244801429	3.05813574909912	3.07324177445563	3.09396244801429	3.08464310718024	3.07324177445563	3.07324177445563	3.0786112933838	3.10074938339126	3.0786112933838	3.10074938339126	3.11093101609702	3.09555314905466	3.04601597827168	3.02937937946512	3.04601597827168	3.0786112933838	3.07324177445563	3.07324177445563	3.0681896447392	3.0786112933838	3.07807666344021	3.0786112933838	3.0786112933838	3.05406779089361	3.10074938339126	3.07807666344021	3.08464310718024	3.11526735886892	3.09396244801429	3.05813574909912	3.10074938339126	3.10074938339126	3.11093101609702	3.0786112933838	3.05767684878644	3.07807666344021	3.11093101609702	3.07324177445563	3.09396244801429	3.07807666344021	3.11288343720403	3.05813574909912	3.09555314905466	3.07807666344021	3.09396244801429	3.10074938339126	3.04601597827168	3.05406779089361	3.10074938339126	3.11526735886892	3.11374448335817	3.11093101609702	3.09396244801429	3.12122652306328	3.05406779089361	3.11288343720403	3.11288343720403	3.09396244801429	3.11288343720403	3.0681896447392	3.08464310718024	3.09555314905466	3.07807666344021	3.07807666344021	3.10074938339126	3.09555314905466	3.0786112933838	3.11288343720403	3.10074938339126	3.11374448335817	6.08349910892069	3.0786112933838	3.09555314905466	3.11374448335817	3.09396244801429	3.09555314905466	3.10074938339126
A_conserved_operon_linked_to_TyrR_and_possibly_involved_in_virulence	3.07807666344021	3.11093101609702	2.99127261179395	2.99810183804161	2.86990720576138	3.11526735886892	3.04001089870512	2.99561909577986	3.04579219736139	3.02937937946512	5.85553467495632	5.61694196270522	3.11288343720403	5.74502965884465	3.11288343720403	3.11374448335817	3.11093101609702	5.74395024123843	2.99561909577986	6.29716762364207	3.1365924113903	2.86019235742136	3.04601597827168	2.9266025468869	2.91191100324164	3.11526735886892	3.12122652306328	2.89766086805421	3.00668573167685	2.98749163839028	8.15348894218464	2.91917992632039	3.05406779089361	2.98252284506307	3.09555314905466	3.00708031689285	3.03814408652818	3.10074938339126	3.14266265016777	2.86626615605972	5.94545242106154	8.3107734118875	3.0786112933838	3.04579219736139	8.28274803827252	6.14080238504577	6.34310627756494	3.08464310718024	2.99762208518842	3.0786112933838	3.07807666344021	3.04601597827168	3.11288343720403	3.10074938339126	3.03814408652818	3.03814408652818	3.0786112933838	3.05813574909912	3.0681896447392	3.09555314905466	3.08464310718024	3.05406779089361	3.08464310718024	3.05813574909912	3.04601597827168	3.07324177445563	3.0786112933838	3.09555314905466	3.11288343720403	3.07324177445563	3.05767684878644	3.05767684878644	3.09396244801429	3.05813574909912	3.07324177445563	3.09396244801429	3.08464310718024	3.07324177445563	3.07324177445563	3.0786112933838	3.10074938339126	3.0786112933838	3.10074938339126	3.11093101609702	3.09555314905466	3.04601597827168	3.02937937946512	3.04601597827168	3.0786112933838	3.07324177445563	3.07324177445563	3.0681896447392	3.0786112933838	3.07807666344021	3.0786112933838	3.0786112933838	3.05406779089361	3.10074938339126	3.07807666344021	3.08464310718024	3.11526735886892	3.09396244801429	3.05813574909912	3.10074938339126	3.10074938339126	3.11093101609702	3.0786112933838	3.05767684878644	3.07807666344021	3.11093101609702	3.07324177445563	3.09396244801429	3.07807666344021	3.11288343720403	3.05813574909912	3.09555314905466	3.07807666344021	3.09396244801429	3.10074938339126	3.04601597827168	3.05406779089361	3.10074938339126	3.11526735886892	3.11374448335817	3.11093101609702	3.09396244801429	3.12122652306328	3.05406779089361	3.11288343720403	3.11288343720403	3.09396244801429	3.11288343720403	3.0681896447392	3.08464310718024	3.09555314905466	3.07807666344021	3.07807666344021	3.10074938339126	3.09555314905466	3.0786112933838	3.11288343720403	3.10074938339126	3.11374448335817	3.05767684878644	3.0786112933838	3.09555314905466	3.11374448335817	3.09396244801429	3.09555314905466	3.10074938339126
