	Stool.40	Stool.34	Stool.143	Stool.110	Stool.2	Stool.14	Stool.29	Stool.17	Stool.129	Stool.106	Stool.131	Stool.24	Stool.39	Stool.201	Stool.116	Stool.1	Stool.128	Stool.170	Stool.52	Stool.113	Stool.107	Stool.90	Stool.61	Stool.30	Stool.46	Stool.25	Stool.22	Stool.203	Stool.55	Stool.111	Stool.109	Stool.66	Stool.4	Stool.45	Stool.137	Stool.6	Stool.92	Stool.153	Stool.8	Stool.206	Stool.28	Stool.81	Stool.3	Stool.31	Stool.120	Stool.94	Stool.145	Stool.176	Stool.173	Stool.158	Tongue_dorsum.113	Tongue_dorsum.87	Tongue_dorsum.120	Tongue_dorsum.43	Tongue_dorsum.56	Tongue_dorsum.37	Tongue_dorsum.45	Tongue_dorsum.102	Tongue_dorsum.26	Tongue_dorsum.51	Tongue_dorsum.35	Tongue_dorsum.71	Tongue_dorsum.112	Tongue_dorsum.50	Tongue_dorsum.78	Tongue_dorsum.90	Tongue_dorsum.53	Tongue_dorsum.80	Tongue_dorsum.29	Tongue_dorsum.149	Tongue_dorsum.17	Tongue_dorsum.213	Tongue_dorsum.58	Tongue_dorsum.25	Tongue_dorsum.65	Tongue_dorsum.21	Tongue_dorsum.169	Tongue_dorsum.34	Tongue_dorsum.198	Tongue_dorsum.67	Tongue_dorsum.54	Tongue_dorsum.12	Tongue_dorsum.212	Tongue_dorsum.128	Tongue_dorsum.158	Tongue_dorsum.30	Tongue_dorsum.10	Tongue_dorsum.9	Tongue_dorsum.31	Tongue_dorsum.18	Tongue_dorsum.147	Tongue_dorsum.123	Tongue_dorsum.38	Tongue_dorsum.61	Tongue_dorsum.32	Tongue_dorsum.3	Tongue_dorsum.238	Tongue_dorsum.77	Tongue_dorsum.166	Tongue_dorsum.174	Supragingival_plaque.17	Supragingival_plaque.2	Supragingival_plaque.79	Supragingival_plaque.33	Supragingival_plaque.81	Supragingival_plaque.35	Supragingival_plaque.51	Supragingival_plaque.77	Supragingival_plaque.80	Supragingival_plaque.38	Supragingival_plaque.83	Supragingival_plaque.87	Supragingival_plaque.217	Supragingival_plaque.104	Supragingival_plaque.221	Supragingival_plaque.86	Supragingival_plaque.8	Supragingival_plaque.115	Supragingival_plaque.91	Supragingival_plaque.161	Supragingival_plaque.170	Supragingival_plaque.61	Supragingival_plaque.23	Supragingival_plaque.116	Supragingival_plaque.9	Supragingival_plaque.71	Supragingival_plaque.12	Supragingival_plaque.16	Supragingival_plaque.101	Supragingival_plaque.92	Supragingival_plaque.50	Supragingival_plaque.52	Supragingival_plaque.18	Supragingival_plaque.14	Supragingival_plaque.130	Supragingival_plaque.53	Supragingival_plaque.68	Supragingival_plaque.145	Supragingival_plaque.57	Supragingival_plaque.141	Supragingival_plaque.5	Supragingival_plaque.162	Supragingival_plaque.119	Supragingival_plaque.118	Supragingival_plaque.32	Supragingival_plaque.159	Supragingival_plaque.3	Supragingival_plaque.20	Supragingival_plaque.84	Supragingival_plaque.49
16S_rRNA_modification_within_P_site_of_ribosome	0.799127252462201	0.803848680568944	0.807816262533106	0.799865165096357	0.781155798288579	0.784013995754827	0.773311662637973	0.788096650255235	0.799740103524002	0.793076739705853	0.785647784308791	0.784508766187849	0.806470931740709	0.793748127581185	0.792035290489448	0.787540287129113	0.790994273567684	0.785791306616309	0.797782702219244	0.793730529935613	0.803874112381361	0.798049339369878	0.804638009817832	0.790064731751689	0.780285026027931	0.790168728082167	0.791384792072894	0.796321100403181	0.778467287975189	0.794464078076799	0.797756875778471	0.776260342392208	0.796450664055698	0.801314771244028	0.797996102098212	0.797257846259108	0.797368866015711	0.798510909901	0.786801526871384	0.80188789160674	0.792568405374628	0.802106698930167	0.802295849400724	0.793085147715104	0.793131190313493	0.797078889787892	0.808741576591757	0.803728501451025	0.797500886808655	0.78710387347993	0.789937029428773	0.782689912045782	0.778516351229515	0.765258801772528	0.785903790511859	0.762203764777304	0.761757455762065	0.786611821041667	0.769180148264797	0.78542309307855	0.752957873703331	0.776817617430987	0.785428938347313	0.776382155283754	0.778327790988602	0.779098570289611	0.766043958836885	0.78098053571005	0.756493671789672	0.774326625486303	0.773440077867629	0.798556139581216	0.776102206331557	0.753516439091511	0.766312779949445	0.776217865025031	0.778235630128991	0.713012612524483	0.78236939222758	0.778014810255858	0.780423692059663	0.772033243017555	0.777947899270773	0.715329456863021	0.705094250525617	0.711996471108945	0.753041100140608	0.759440256455806	0.763654958885786	0.776598447411086	0.779534372300499	0.713815011905204	0.718349840404451	0.767180136674913	0.776679803029289	0.770965300434354	0.798618917408327	0.726949248066918	0.781247954953067	0.781832770915166	0.123623907980242	0.121057168794725	0.789381043219468	0.145741770690297	0.788541511314455	0.76604939626896	0.764817338136657	0.696610595099544	0.701228015287916	0.11725537125669	0.776627627501409	0.124547981091064	0.752253531335425	0.126470293284774	0.75282516874802	0.777208031855355	0.135003740930249	0.712811327405288	0.109258483362456	0.781477593597741	0.778901554370779	0.152371390190929	0.144642027288357	0.710216271697821	0.135367170098737	0.155110377657587	0.1435836192313	0.762258360669282	0.75281748473056	0.750103849589325	0.112721644541877	0.118935821530935	0.764351559124659	0.143351856720867	0.137937156878207	0.725087024342553	0.143132612507547	0.139196859787044	0.722985318604188	0.130104904776972	0.135395930880745	0.730649795824245	0.708694688054505	0.715170379548595	0.141927228894785	0.731303873141331	0.178527474505366	0.755184643002196	0.145514441651645	0.183750002624617
2-Ketogluconate_Utilization	0.104971159689859	0.131804207212161	0.142167740415456	0.0997954455012877	0.080834888443681	0.0900032405797332	0.338294589346436	0.10923203828467	0.123677469885357	0.119118836037238	0.0915392792114374	0.0933937002613849	0.124171536104873	0.109522053491598	0.10889389487371	0.0904853449595784	0.110688414286257	0.0592546419124821	0.119080840241748	0.120693361662424	0.124321191521522	0.124494032990193	0.121954893721774	0.112614839983945	0.0756407928769935	0.112798325318981	0.121754963415293	0.11402412108699	0.00993456754350435	0.121712428040444	0.11476262311244	0.00424929942910028	0.110925242315271	0.131140256660691	0.128554523924706	0.112317434193508	0.114669747234333	0.129321715632474	0.107621495941625	0.124593885424875	0.106314779456597	0.0921669324762882	0.0804407128641846	0.107220935911601	0.115509523999326	0.119102750038881	0.14312282814505	0.100427527242783	0.188583043208361	0.0982712343181238	0.0720983170554137	0.0830633952622809	0.0558909221023233	0.0484973748003984	0.0462616716568282	0.0732454638372416	0.0720486798129988	0.0544893943375147	0.0494611851221884	0.0630441275950966	0.0487783621544581	0.0383208672935481	0.0593382791771579	0.032910861501731	0.0410847925502857	0.0539615333675112	0.0655359823893519	0.0573271431111038	0.0685563585301914	0.0551373820125169	0.030112524309466	0.0805166554700773	0.0561002367414323	0.0616522954598178	0.0699043537095239	0.0355754447451931	0.0634414146586437	0.0959107672347239	0.0718903146769837	0.0565813356776524	0.0634845410392569	0.0818221783834675	0.0630824602845804	0.0926625793460652	0.0748526267459404	0.0895254900812333	0.0485156599398241	0.0583562991261709	0.0419796859197911	0.0833656441413524	0.0483369105056088	0.0882683268036002	0.104681955677684	0.0735318874713512	0.0783546212982149	0.0685968329557733	0.0829703962504243	0.112014784805655	0.0665768312717713	0.0709001266648244	0.123623907980242	0.121057168794725	0.0731045736426897	0.145741770690297	0.0700047549798817	0.0715937867509751	0.0690501406830894	0.0797909606391651	0.0860934179277582	0.11725537125669	0.0738570305331574	0.124547981091064	0.0999806278279458	0.126470293284774	0.102317564914549	0.0748997919745885	0.135003740930249	0.105527359672106	0.109258483362456	0.0695633467310749	0.0653211063196847	0.152371390190929	0.144642027288357	0.0968350431758784	0.135367170098737	0.155110377657587	0.1435836192313	0.0979340039125311	0.060065330376632	0.05814016283935	0.112721644541877	0.118935821530935	0.0978234590000888	0.143351856720867	0.137937156878207	0.109110866882984	0.143132612507547	0.139196859787044	0.103189750498227	0.130104904776972	0.135395930880745	0.0862782378924174	0.0955411061370114	0.103901181430597	0.141927228894785	0.0874620984158454	0.178527474505366	0.0898233368579324	0.145514441651645	0.183750002624617
2-phosphoglycolate_salvage	0.104971159689859	0.131804207212161	0.142167740415456	0.0997954455012877	0.652486010496617	0.652025344409003	0.375721975247968	0.10923203828467	0.123677469885357	0.119118836037238	0.64657721946008	0.655101850638975	0.124171536104873	0.109522053491598	0.10889389487371	0.659853877312162	0.110688414286257	0.649853993466645	0.119080840241748	0.120693361662424	0.124321191521522	0.124494032990193	0.121954893721774	0.112614839983945	0.651225733713961	0.112798325318981	0.665183152296325	0.11402412108699	0.41856958392442	0.121712428040444	0.11476262311244	0.414797704521669	0.110925242315271	0.131140256660691	0.666330841503098	0.112317434193508	0.114669747234333	0.667281081524031	0.658655244458715	0.124593885424875	0.2117007841048	0.0921669324762882	0.0804407128641846	0.107220935911601	0.115509523999326	0.119102750038881	0.14312282814505	0.100427527242783	0.117383491492281	0.648412746626354	0.654751486737704	0.674007522809355	0.652711653636115	0.6406556040706	0.638161642996817	0.647001810090329	0.646940072417298	0.650413661380906	0.641248653921755	0.650453874815542	0.632487088533648	0.633712493351314	0.652508713847633	0.635320918714848	0.635595095783012	0.64843930052218	0.662745063930698	0.650536461642489	0.663068163106527	0.643666099711032	0.636255704067038	0.670216877502938	0.668070266656526	0.657075094474742	0.653527762248067	0.640675878889888	0.647831018254668	0.0959107672347239	0.655714314384724	0.657980324445023	0.662405602720235	0.667432338779374	0.651213716591651	0.671996362242816	0.674634545518572	0.667799313882525	0.657400042078765	0.656044643017631	0.62495195665391	0.665341244492401	0.653516017880712	0.669212267953634	0.104681955677684	0.651813660440035	0.669597913582668	0.652885173311408	0.662795896161359	0.112014784805655	0.65983149713254	0.661084162669371	0.123623907980242	0.121057168794725	0.659982832024064	0.145741770690297	0.6563142067737	0.662056082838346	0.660496931651328	0.672459872181625	0.674856412009238	0.11725537125669	0.657766505477935	0.124547981091064	0.676260000871131	0.126470293284774	0.677688062188309	0.659164903499903	0.135003740930249	0.664869304847542	0.669369246565761	0.64836734033343	0.645147933637806	0.152371390190929	0.144642027288357	0.660224612049407	0.135367170098737	0.155110377657587	0.1435836192313	0.666536103390292	0.642762481218308	0.640567612554792	0.112721644541877	0.118935821530935	0.669615685210166	0.143351856720867	0.596507954110524	0.109110866882984	0.143132612507547	0.139196859787044	0.103189750498227	0.130104904776972	0.135395930880745	0.676450417974325	0.679857524811484	0.676220841285125	0.141927228894785	0.677304221639141	0.178527474505366	0.0898233368579324	0.145514441651645	0.183750002624617
4-Hydroxyphenylacetic_acid_catabolic_pathway	0.570591876322071	0.581537439808138	0.579806804268777	0.577591314078729	0.537782334445203	0.542597868297371	0.573074033639238	0.509379955374895	0.569837813327562	0.560137574103534	0.572371107773028	0.545757248577286	0.573044455974402	0.525060443660822	0.554474746744755	0.541489349991869	0.556362852625522	0.575476212169288	0.568624743911868	0.567889302058768	0.568215947658062	0.566891672918496	0.562168544569024	0.545551091108452	0.0756407928769935	0.54699593228882	0.567108536932771	0.530599660966623	0.592199198739032	0.558341798928281	0.552190040541688	0.573282862902296	0.543412235116985	0.557448353057101	0.128554523924706	0.541789443259008	0.553759074051431	0.129321715632474	0.562518234905333	0.558225640609751	0.555068847265104	0.573645497153093	0.536532951411135	0.553103138175165	0.560736645021956	0.572561916491224	0.575838154139399	0.542536195726458	0.576284802906132	0.575371847332555	0.333835847911131	0.0830633952622809	0.54047418101788	0.497228952062291	0.413015219073783	0.49210595386196	0.497429159997719	0.312532143521139	0.516343234957041	0.0630441275950966	0.503214781569661	0.510759604152146	0.253537953772873	0.454277639332156	0.512847477833578	0.0539615333675112	0.495928544987532	0.352308096291532	0.533416563910421	0.495360769236995	0.505642014889855	0.343531152254433	0.500479774260639	0.522417322995833	0.527668307741387	0.509582468490475	0.502950118804032	0.535429088346834	0.509857338914793	0.503371178038608	0.486264927742963	0.496992260697182	0.502017360380699	0.508680254454907	0.464415334392311	0.539515466594881	0.510273407895385	0.530818592574095	0.53529765947744	0.536756644810816	0.485532361098906	0.503379525451885	0.512429870057101	0.523915205251736	0.484718433859582	0.519620668706014	0.18690349863713	0.112014784805655	0.498928686646077	0.500141101467713	0.59461308620386	0.121057168794725	0.520035380209866	0.507467263892464	0.469372919749586	0.515446959284692	0.510587621867032	0.577301098790924	0.582635311344609	0.11725537125669	0.551022888956799	0.599824004206329	0.0999806278279458	0.600453533499715	0.102317564914549	0.549251774318775	0.135003740930249	0.518819193372282	0.539036907769531	0.163675119668242	0.0653211063196847	0.640720943513279	0.569166726848724	0.509386721367208	0.135367170098737	0.640188197361308	0.565979740084126	0.0979340039125311	0.551646081439026	0.546787045647539	0.583876764324843	0.588343808716149	0.0978234590000888	0.513190792314938	0.626362457466438	0.545010253273714	0.463780265897948	0.624078207333382	0.539783752152645	0.495508328955427	0.25330162595165	0.593359376036338	0.566301919054542	0.576678858327208	0.141927228894785	0.590681692089798	0.570786987203547	0.43421550668224	0.145514441651645	0.183750002624617
5-FCL-like_protein	0.856605710537657	0.84736500943454	0.871898942653587	0.860367162848995	0.849310919680631	0.850252232092849	0.846911565040366	0.848456336991403	0.859436017270426	0.851657528323331	0.854599742436664	0.851163893043681	0.862497722465758	0.857551097330823	0.858382133303899	0.851950629183275	0.85871472838189	0.849155406533126	0.853452705439898	0.855277805664525	0.864138559367004	0.85035292274406	0.862558081175976	0.848357873016954	0.846880038075959	0.851348512994449	0.861142178234185	0.854262970708496	0.842748690454681	0.848059208405152	0.858543658833726	0.841639772953142	0.857296027752495	0.859874578602	0.858815178265782	0.857888100315126	0.858332293093759	0.859512835714876	0.852654329819225	0.866006844374627	0.853645698801264	0.850930267951178	0.856169037178278	0.855067888154608	0.855291935949684	0.852850449497088	0.873450194378772	0.85748135844589	0.848872139473904	0.854034801917718	0.8545697467647	0.857314491760034	0.854352645087282	0.856504585680903	0.854915817742199	0.864246885792865	0.864032138462843	0.851960788058318	0.853338765987037	0.861130484304362	0.857021660634246	0.853861471934153	0.851314429150183	0.848838401796636	0.852408987781774	0.857034440907398	0.863126804788814	0.857017192806487	0.86193249854061	0.862347937537939	0.848971471503339	0.865644469928733	0.861281383289487	0.859072223840205	0.865550998630495	0.850703804229735	0.864988527036362	0.87731653424403	0.864821727051004	0.863842892829165	0.863298162770746	0.866588037087703	0.861823502334859	0.875628927421203	0.872608705650265	0.872232264766857	0.859308105440528	0.867097883526851	0.861078860954104	0.871269442121914	0.853515892684998	0.875366141859214	0.882008586529825	0.866954969863981	0.86916493476224	0.866770965513847	0.867225610828336	0.882250400683971	0.866653319318869	0.866873188662973	0.903568229311806	0.894041022626375	0.871885577268693	0.919582446364697	0.872059526420934	0.872088018754023	0.870942442466216	0.881055647744983	0.882695625884405	0.896593647453345	0.87843552178318	0.916192376881406	0.888975483774275	0.916535946510902	0.890500435045993	0.875708521693125	0.922313674605901	0.891730118505695	0.904548915695286	0.876628962443552	0.875060763733051	0.942024781795666	0.929175752620357	0.886560049566737	0.917677722540331	0.941767562808998	0.927566196276643	0.882451155042657	0.871568276012116	0.870196578854216	0.900565683874556	0.903539710314187	0.884523026899745	0.924713777563266	0.92022250058448	0.888438329923512	0.926795924571977	0.920293099520638	0.887009173308906	0.908947127846173	0.920106378156373	0.888697527255426	0.894339921223268	0.897438427818393	0.920789168936826	0.890975848321706	0.96615626918419	0.878156799719171	0.927843780005248	0.949353028539472
ABC_transporter_alkylphosphonate_(TC_3.A.1.9.1)	0.104971159689859	0.131804207212161	0.142167740415456	0.0997954455012877	0.080834888443681	0.0900032405797332	0	0.10923203828467	0.123677469885357	0.119118836037238	0.0915392792114374	0.0933937002613849	0.124171536104873	0.109522053491598	0.10889389487371	0.0904853449595784	0.110688414286257	0.0592546419124821	0.119080840241748	0.120693361662424	0.124321191521522	0.124494032990193	0.121954893721774	0.112614839983945	0.0756407928769935	0.112798325318981	0.121754963415293	0.11402412108699	0.00993456754350435	0.121712428040444	0.11476262311244	0.00424929942910028	0.110925242315271	0.131140256660691	0.128554523924706	0.112317434193508	0.114669747234333	0.129321715632474	0.107621495941625	0.124593885424875	0.106314779456597	0.0921669324762882	0.0804407128641846	0.107220935911601	0.115509523999326	0.119102750038881	0.14312282814505	0.100427527242783	0.117383491492281	0.0982712343181238	0.50224505499674	0.516835317557788	0.498216862742385	0.482618969281817	0.500683624738337	0.493530016961285	0.490220036716744	0.438298907435194	0.489129667744912	0.519498381162244	0.524637417870752	0.482459613282833	0.431422902904103	0.469589765296847	0.479857022096037	0.478678539004101	0.463937167288586	0.48114724140824	0.485923859513161	0.48146208392369	0.452600581869796	0.440572931633154	0.452019310672896	0.482768494339563	0.517279059619021	0.457128432017977	0.487826963631252	0.522016048524317	0.4717078188876	0.450789686607767	0.463938926592051	0.537725753293925	0.467013944468019	0.522857371231219	0.0748526267459404	0.511468080348144	0.450913850364691	0.45723846375979	0.502878628016684	0.508523893892198	0.0483369105056088	0.51173919600402	0.530210434686966	0.522264492697748	0.508566956253992	0.49165205406749	0.0829703962504243	0.540314087088706	0.508637118466029	0.511984611709648	0.541962945662151	0.595615715133654	0.387025466408113	0.556089532593784	0.382016058097081	0.478907945922113	0.470560724026244	0.0797909606391651	0.0860934179277582	0.546917499391198	0.0738570305331574	0.124547981091064	0.0999806278279458	0.126470293284774	0.102317564914549	0.0748997919745885	0.135003740930249	0.523150720668822	0.109258483362456	0.414946495163246	0.409471539607303	0.152371390190929	0.58150968941537	0.519898907535299	0.527010856670518	0.155110377657587	0.577782300803961	0.505591315994474	0.489396197870833	0.482806363921055	0.561356871871205	0.560615104939518	0.502412040977427	0.534681944843568	0.510013039036193	0.547825242222358	0.535090366114129	0.527116499658674	0.541999360782485	0.540578241428335	0.550136125569061	0.0862782378924174	0.427491201720851	0.444988989372794	0.555394356384598	0.0874620984158454	0.178527474505366	0.463312678433717	0.527382926680061	0.600339022809562
ABC_transporter_branched-chain_amino_acid_(TC_3.A.1.4.1)	0.104971159689859	0.131804207212161	0.142167740415456	0.0997954455012877	0.080834888443681	0.0900032405797332	0	0.10923203828467	0.123677469885357	0.119118836037238	0.0915392792114374	0.0933937002613849	0.124171536104873	0.109522053491598	0.10889389487371	0.0904853449595784	0.110688414286257	0.0592546419124821	0.119080840241748	0.120693361662424	0.124321191521522	0.124494032990193	0.121954893721774	0.112614839983945	0.0756407928769935	0.112798325318981	0.121754963415293	0.11402412108699	0.00993456754350435	0.121712428040444	0.11476262311244	0.00424929942910028	0.110925242315271	0.131140256660691	0.128554523924706	0.112317434193508	0.114669747234333	0.129321715632474	0.107621495941625	0.124593885424875	0.106314779456597	0.0921669324762882	0.0804407128641846	0.107220935911601	0.115509523999326	0.119102750038881	0.14312282814505	0.100427527242783	0.117383491492281	0.0982712343181238	0.748610871010027	0.745677727979475	0.715718955672818	0.716377004910491	0.730071141561993	0.728591582434008	0.728436720814123	0.731837882323882	0.725824198168675	0.74140797935653	0.728205728172966	0.71193605722659	0.733494036339925	0.716402609231086	0.713159481214045	0.744853216604722	0.721565990628416	0.734164733700347	0.652527990611384	0.737095465574229	0.704729984064881	0.74757758515554	0.74527534454719	0.651154602660377	0.712555303156451	0.708432088566468	0.741003281890383	0.737337830821966	0.748812712260105	0.746878731670054	0.718999223815065	0.708781434864993	0.744735623756295	0.740772560322427	0.742080163229855	0.740917948057483	0.708243281575545	0.713113205384549	0.717651036048578	0.719923406306722	0.730712012156513	0.738128396973188	0.743839593607564	0.712543717269483	0.719431251312655	0.730755840712608	0.752530300371699	0.763960784797056	0.745341201182098	0.745758731236066	0.638951859265728	0.686235603592399	0.680540016949944	0.681533093324847	0.700391345091871	0.683643462613458	0.683274551486896	0.59617368136352	0.603893381327408	0.662343553457826	0.656725830881044	0.66848983135204	0.737455353662752	0.666196813586446	0.733480111242448	0.661412323248255	0.656272220142187	0.722612854277281	0.66067240899106	0.746775024442298	0.745697921538584	0.681181941732863	0.670021018162273	0.718269736647785	0.676981672178912	0.688637879697273	0.667844924036804	0.723510408627822	0.667690388112537	0.685310671184048	0.643152724232587	0.648996322979002	0.723188898280948	0.684932755478916	0.667784727161426	0.660452887923619	0.694423712950218	0.666196348351751	0.706832476741561	0.682615079150555	0.666456095202354	0.69415434478411	0.626317270874197	0.628689753146128	0.675358373916456	0.69439147646237	0.178527474505366	0.758200996774167	0.692925756597937	0.183750002624617
ABC_transporter_dipeptide_(TC_3.A.1.5.2)	0.104971159689859	0.131804207212161	0.142167740415456	0.0997954455012877	0.080834888443681	0.0900032405797332	0	0.10923203828467	0.123677469885357	0.119118836037238	0.0915392792114374	0.0933937002613849	0.124171536104873	0.109522053491598	0.10889389487371	0.0904853449595784	0.110688414286257	0.0592546419124821	0.119080840241748	0.120693361662424	0.124321191521522	0.124494032990193	0.121954893721774	0.112614839983945	0.0756407928769935	0.112798325318981	0.121754963415293	0.11402412108699	0.00993456754350435	0.121712428040444	0.11476262311244	0.00424929942910028	0.110925242315271	0.131140256660691	0.128554523924706	0.112317434193508	0.114669747234333	0.129321715632474	0.107621495941625	0.124593885424875	0.106314779456597	0.0921669324762882	0.0804407128641846	0.107220935911601	0.115509523999326	0.119102750038881	0.14312282814505	0.100427527242783	0.117383491492281	0.0982712343181238	0.717713650339327	0.723160737328236	0.75103552545784	0.759423436216735	0.768676451933078	0.766190260166691	0.766268294569036	0.706375228491287	0.739801447147445	0.781926764232153	0.750793171215681	0.751487518388422	0.709373702630707	0.758495749774493	0.75354240922217	0.721768677833762	0.696969919231101	0.723769969058809	0.731664580078944	0.708853385533379	0.726022534992746	0.691103816172684	0.714139961310485	0.713274745660279	0.740401205051368	0.742531080315678	0.712415825808134	0.743374098578791	0.671093803720951	0.713728136527917	0.714282059457404	0.779948657609047	0.666707012391872	0.731165745871434	0.636464708507647	0.745520862559794	0.721886298127041	0.728079128423751	0.741549286549834	0.764398122404488	0.654106544299179	0.707932183745218	0.750437311886095	0.740537352501908	0.737267012030468	0.763683709035343	0.685692902516607	0.771921199397688	0.714713460384044	0.714811556334027	0.661398272246564	0.781062514615782	0.630824181510313	0.702179278968829	0.624804476762109	0.695775758931706	0.693970666689355	0.0797909606391651	0.0860934179277582	0.777356506972113	0.62162873619495	0.124547981091064	0.0999806278279458	0.126470293284774	0.102317564914549	0.623326072061348	0.67459593977657	0.650909523627742	0.109258483362456	0.646095551893571	0.643812245154827	0.152371390190929	0.749344216653546	0.645941864609624	0.674139565595159	0.155110377657587	0.746651939259023	0.72891414223336	0.697535560230019	0.696805606471581	0.756373684676343	0.757811419223152	0.730382702248174	0.685306822408478	0.137937156878207	0.75094972867001	0.694021794636756	0.139196859787044	0.750921174059232	0.666833259001125	0.750128143744038	0.0862782378924174	0.0955411061370114	0.103901181430597	0.705843806083699	0.0874620984158454	0.709919906404967	0.76054787459687	0.695238278973576	0.725896237852038
ABC_transporter_[iron.B12.siderophore.hemin]	0.104971159689859	0.131804207212161	0.142167740415456	0.0997954455012877	0.080834888443681	0.0900032405797332	0.379846871226276	0.10923203828467	0.123677469885357	0.119118836037238	0.0915392792114374	0.0933937002613849	0.124171536104873	0.109522053491598	0.10889389487371	0.0904853449595784	0.110688414286257	0.0592546419124821	0.119080840241748	0.120693361662424	0.124321191521522	0.124494032990193	0.121954893721774	0.112614839983945	0.0756407928769935	0.112798325318981	0.121754963415293	0.11402412108699	0.00993456754350435	0.121712428040444	0.11476262311244	0.00424929942910028	0.110925242315271	0.131140256660691	0.128554523924706	0.112317434193508	0.114669747234333	0.129321715632474	0.107621495941625	0.124593885424875	0.106314779456597	0.0921669324762882	0.0804407128641846	0.107220935911601	0.115509523999326	0.119102750038881	0.14312282814505	0.100427527242783	0.117383491492281	0.0982712343181238	0.0720983170554137	0.0830633952622809	0.0558909221023233	0.0484973748003984	0.0462616716568282	0.0732454638372416	0.0720486798129988	0.0544893943375147	0.0494611851221884	0.0630441275950966	0.0487783621544581	0.0383208672935481	0.0593382791771579	0.032910861501731	0.0410847925502857	0.0539615333675112	0.0655359823893519	0.0573271431111038	0.0685563585301914	0.0551373820125169	0.030112524309466	0.0805166554700773	0.0561002367414323	0.0616522954598178	0.0699043537095239	0.0355754447451931	0.0634414146586437	0.0959107672347239	0.0718903146769837	0.0565813356776524	0.0634845410392569	0.0818221783834675	0.0630824602845804	0.0926625793460652	0.0748526267459404	0.0895254900812333	0.0485156599398241	0.0583562991261709	0.0419796859197911	0.0833656441413524	0.0483369105056088	0.0882683268036002	0.104681955677684	0.0735318874713512	0.0783546212982149	0.0685968329557733	0.0829703962504243	0.112014784805655	0.0665768312717713	0.0709001266648244	0.123623907980242	0.121057168794725	0.0731045736426897	0.145741770690297	0.0700047549798817	0.0715937867509751	0.0690501406830894	0.0797909606391651	0.0860934179277582	0.11725537125669	0.0738570305331574	0.124547981091064	0.0999806278279458	0.126470293284774	0.102317564914549	0.0748997919745885	0.135003740930249	0.105527359672106	0.109258483362456	0.0695633467310749	0.0653211063196847	0.152371390190929	0.144642027288357	0.0968350431758784	0.135367170098737	0.155110377657587	0.1435836192313	0.0979340039125311	0.060065330376632	0.05814016283935	0.112721644541877	0.118935821530935	0.0978234590000888	0.143351856720867	0.137937156878207	0.109110866882984	0.143132612507547	0.139196859787044	0.103189750498227	0.130104904776972	0.135395930880745	0.0862782378924174	0.0955411061370114	0.103901181430597	0.141927228894785	0.0874620984158454	0.178527474505366	0.0898233368579324	0.145514441651645	0.183750002624617
ABC_transporter_of_unknown_substrate_X	0.264252439128024	0.131804207212161	0.142167740415456	0.235406343024103	0.448873576251799	0.227479224319643	0.40754628710624	0.10923203828467	0.344736380913447	0.119118836037238	0.0915392792114374	0.251891661492495	0.374659848505418	0.109522053491598	0.3295235700021	0.461682231718161	0.316576493942483	0.19404618052015	0.333066647895922	0.120693361662424	0.213315081075601	0.124494032990193	0.371080533446431	0.112614839983945	0.122454604524744	0.112798325318981	0.443195532659104	0.11402412108699	0.00993456754350435	0.275552302675239	0.231100542262824	0.00424929942910028	0.411581158496784	0.131140256660691	0.128554523924706	0.428957965989793	0.114669747234333	0.129321715632474	0.341664895045819	0.124593885424875	0.106314779456597	0.0921669324762882	0.501782967752691	0.107220935911601	0.115509523999326	0.119102750038881	0.14312282814505	0.100427527242783	0.233504958826986	0.14419921074607	0.63343437086803	0.659701676544932	0.674177159135367	0.663499117909927	0.657307677859738	0.671076338538974	0.671560430372548	0.679140515287882	0.653294983418626	0.669570256481578	0.646512467796984	0.646061566687044	0.685726387653666	0.662609559167379	0.647440064527989	0.646344048888096	0.679834307551287	0.649739637715302	0.667000688067986	0.659991185330691	0.664227330364957	0.682628546798375	0.649058759644948	0.664046490847755	0.663109259776075	0.66807747209918	0.66525002553964	0.682261873865433	0.634931835708893	0.649655373414147	0.675535567462649	0.696481151579794	0.630512879423116	0.673368744350367	0.669344549530832	0.684612605074045	0.63978825211328	0.648275941929604	0.636171283422859	0.681520731253589	0.660023104046487	0.670842197282366	0.690140238926776	0.664042372692469	0.654165829736382	0.665265044373664	0.687583597975167	0.669761198951697	0.641567745140099	0.64262002209538	0.641361908656962	0.635839934060942	0.68259349098701	0.686789109781544	0.677983233039986	0.673089253311932	0.672766717131281	0.629131953437101	0.636564418115397	0.690021031252714	0.592052235359377	0.557952523272087	0.640295088441798	0.563319999782484	0.641498910127571	0.597169580862175	0.714863164866032	0.648081019545238	0.659778695363516	0.618381482443997	0.614962805738386	0.649991193275981	0.699862582609648	0.639153374139526	0.644277632657513	0.654922795931761	0.692772786898465	0.639299712960677	0.668212772461987	0.666541314182565	0.642570020407643	0.643230766092077	0.637631504317952	0.652565680118204	0.630667026535667	0.663691941036629	0.670969495364429	0.63411409421377	0.660423632384174	0.624866153133373	0.629000299566367	0.639158849148151	0.581722849864181	0.585172528827791	0.700268656880407	0.642140917968815	0.690565060828281	0.663320166619537	0.675252653647415	0.712228565071147
