	Stool.40	Stool.34	Stool.143	Stool.110	Stool.2	Stool.14	Stool.29	Stool.17	Stool.129	Stool.106	Stool.131	Stool.24	Stool.39	Stool.201	Stool.116	Stool.1	Stool.128	Stool.170	Stool.52	Stool.113	Stool.107	Stool.90	Stool.61	Stool.30	Stool.46	Stool.25	Stool.22	Stool.203	Stool.55	Stool.111	Stool.109	Stool.66	Stool.4	Stool.45	Stool.137	Stool.6	Stool.92	Stool.153	Stool.8	Stool.206	Stool.28	Stool.81	Stool.3	Stool.31	Stool.120	Stool.94	Stool.145	Stool.176	Stool.173	Stool.158	Tongue_dorsum.113	Tongue_dorsum.87	Tongue_dorsum.120	Tongue_dorsum.43	Tongue_dorsum.56	Tongue_dorsum.37	Tongue_dorsum.45	Tongue_dorsum.102	Tongue_dorsum.26	Tongue_dorsum.51	Tongue_dorsum.35	Tongue_dorsum.71	Tongue_dorsum.112	Tongue_dorsum.50	Tongue_dorsum.78	Tongue_dorsum.90	Tongue_dorsum.53	Tongue_dorsum.80	Tongue_dorsum.29	Tongue_dorsum.149	Tongue_dorsum.17	Tongue_dorsum.213	Tongue_dorsum.58	Tongue_dorsum.25	Tongue_dorsum.65	Tongue_dorsum.21	Tongue_dorsum.169	Tongue_dorsum.34	Tongue_dorsum.198	Tongue_dorsum.67	Tongue_dorsum.54	Tongue_dorsum.12	Tongue_dorsum.212	Tongue_dorsum.128	Tongue_dorsum.158	Tongue_dorsum.30	Tongue_dorsum.10	Tongue_dorsum.9	Tongue_dorsum.31	Tongue_dorsum.18	Tongue_dorsum.147	Tongue_dorsum.123	Tongue_dorsum.38	Tongue_dorsum.61	Tongue_dorsum.32	Tongue_dorsum.3	Tongue_dorsum.238	Tongue_dorsum.77	Tongue_dorsum.166	Tongue_dorsum.174	Supragingival_plaque.17	Supragingival_plaque.2	Supragingival_plaque.79	Supragingival_plaque.33	Supragingival_plaque.81	Supragingival_plaque.35	Supragingival_plaque.51	Supragingival_plaque.77	Supragingival_plaque.80	Supragingival_plaque.38	Supragingival_plaque.83	Supragingival_plaque.87	Supragingival_plaque.217	Supragingival_plaque.104	Supragingival_plaque.221	Supragingival_plaque.86	Supragingival_plaque.8	Supragingival_plaque.115	Supragingival_plaque.91	Supragingival_plaque.161	Supragingival_plaque.170	Supragingival_plaque.61	Supragingival_plaque.23	Supragingival_plaque.116	Supragingival_plaque.9	Supragingival_plaque.71	Supragingival_plaque.12	Supragingival_plaque.16	Supragingival_plaque.101	Supragingival_plaque.92	Supragingival_plaque.50	Supragingival_plaque.52	Supragingival_plaque.18	Supragingival_plaque.14	Supragingival_plaque.130	Supragingival_plaque.53	Supragingival_plaque.68	Supragingival_plaque.145	Supragingival_plaque.57	Supragingival_plaque.141	Supragingival_plaque.5	Supragingival_plaque.162	Supragingival_plaque.119	Supragingival_plaque.118	Supragingival_plaque.32	Supragingival_plaque.159	Supragingival_plaque.3	Supragingival_plaque.20	Supragingival_plaque.84	Supragingival_plaque.49
16S_rRNA_modification_within_P_site_of_ribosome	50480	46456	43200	45925	38523	36224	39917	37025	40103	38184	36065	34744	42440	36924	37466	38081	36354	35903	38901	36348	39563	37393	40469	35162	33971	34797	32270	35598	38173	35815	37012	37587	38856	38147	36473	38646	36457	36248	32831	37349	35608	39216	42645	35195	34313	36558	35982	36121	36106	32724	110460	92799	77817	60454	83074	48848	48686	78007	59798	69027	46551	68989	73181	71520	69562	65488	49368	65705	42858	59426	66495	74819	58446	41295	46769	65259	58555	17686	59235	58071	57820	47225	56435	17587	16270	17195	39813	40290	48808	46636	59672	16456	16488	41723	46031	44650	64993	17496	53102	52772	0	0	63134	0	56790	36221	36010	11812	12111	0	37609	0	20561	0	19930	35860	0	10774	0	35835	34797	0	0	10483	0	0	0	20919	23973	23144	0	0	20641	0	0	10800	0	0	10562	0	0	13474	8727	9113	0	13404	0	17908	0	0
2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone_and_other_bacterial_morphogens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-Ketogluconate_Utilization	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-methylcitrate_to_2-methylaconitate_metabolism_cluster	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-phosphoglycolate_salvage	0	0	0	0	5535	4919	171	0	0	0	4405	4904	0	0	0	5515	0	5044	0	0	0	0	0	0	5025	0	4560	0	272	0	0	270	0	0	4620	0	0	4625	4614	0	4	0	0	0	0	0	0	0	0	4034	12400	15698	10953	8916	8645	8031	8073	9594	8464	8607	7401	7963	9416	8577	8032	8878	10030	8895	10068	8065	8564	10065	11259	9385	8196	8580	7902	0	8351	9360	9509	9242	8112	8907	10182	8603	9452	8433	6128	8306	8967	8235	0	7110	8871	7380	7932	0	8362	8323	0	0	8571	0	7574	7520	7468	8182	8093	0	6330	0	6464	0	6351	6152	0	5176	4989	5043	4900	0	0	4929	0	0	0	4988	4829	4715	0	0	5028	0	1138	0	0	0	0	0	0	6055	5695	5097	0	6040	0	0	0	0
4-Hydroxyphenylacetic_acid_catabolic_pathway	1427	1327	1115	1519	981	939	2568	492	1090	995	1434	937	1107	593	961	919	971	1723	1096	1071	1006	1007	934	803	0	814	996	600	2959	902	842	2355	785	820	0	751	858	0	1058	845	946	1303	841	902	954	1126	915	732	1188	1339	68	0	1904	984	274	708	777	52	1254	0	1028	1245	19	563	1254	0	764	91	1348	835	1216	60	874	1185	1173	1205	853	1059	874	891	642	647	826	685	400	1152	1034	1268	1602	1130	716	627	633	999	516	967	4	0	721	709	2371	0	988	330	438	819	778	1925	1976	0	1277	1569	0	1563	0	1191	0	554	687	3	0	1957	728	505	0	1822	675	0	1281	1207	1252	1255	0	295	1800	714	131	1715	682	258	5	1776	1060	1154	0	1681	418	158	0	0
5-FCL-like_protein	123754	93164	120713	116135	107649	98657	109416	94341	102245	95532	102280	95244	101810	98449	104193	100923	103404	89621	92567	94958	101157	84701	99542	86549	91064	89483	95171	86686	92255	82580	94392	91726	99269	95895	94719	98437	93142	94386	89989	101191	90500	81165	94495	90649	89438	86766	99774	80559	79769	89860	314259	314342	253732	245539	239044	241730	241264	213210	216393	221905	227911	220593	202208	212583	213284	215673	220757	210768	219778	228175	205518	213505	214135	208998	216489	198999	221921	239108	212056	214155	205379	206307	203731	217823	214181	211692	196734	205294	209619	202447	181544	201951	219722	192745	190821	192346	188046	206309	194887	193774	388231	225495	225522	245853	202714	179926	178412	195029	193991	176114	173025	210501	164861	211036	161991	156105	198128	166131	178180	145555	142414	210284	195164	150108	171291	194115	178847	126548	135054	132410	151443	151315	123787	166386	163751	126794	152294	162363	122644	139266	150977	138801	136178	138169	139336	141521	184168	109426	143531	151536
ABC_transporter_alkylphosphonate_(TC_3.A.1.9.1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1051	1201	985	786	1052	724	694	366	827	1141	1426	812	310	709	761	661	466	662	645	675	550	277	417	644	999	549	676	856	484	400	456	1222	483	856	0	742	423	416	986	729	0	714	839	974	745	631	0	901	836	850	994	1933	126	721	115	471	425	0	0	779	0	0	0	0	0	0	0	592	0	161	154	0	882	592	416	0	810	447	517	476	890	823	415	411	301	745	390	386	705	513	545	0	135	161	537	0	0	243	328	658
ABC_transporter_branched-chain_amino_acid_(TC_3.A.1.4.1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56606	50669	29243	28532	35327	28846	28903	33583	30827	35008	31904	25921	32844	29026	25961	38789	24856	32057	8550	33638	23822	33726	36531	8569	20392	23658	33054	26006	35250	36170	22598	17612	33946	26222	28744	27052	20301	19993	24525	19365	28634	24000	24680	18048	19088	24189	31835	31501	30740	30393	4929	8203	11771	5399	14825	10422	10529	2565	2735	4666	6232	4545	16413	4337	14847	6362	3213	12516	4371	21493	21390	3668	3489	11838	4201	3858	3253	11709	6942	9031	3073	3157	11175	4157	3400	4075	4424	3276	8296	4456	3197	7863	2578	2508	3334	7773	0	18721	4058	0
ABC_transporter_dipeptide_(TC_3.A.1.5.2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34339	35064	50707	55271	63809	51997	52247	22697	38168	65403	45038	47077	22639	54656	47816	27251	17007	27335	29164	21845	32744	13951	22726	22254	31347	39414	21308	28617	10594	21849	21025	53429	10283	22551	5659	29075	24923	25072	35065	38597	9047	15020	27396	27727	25111	39959	11308	35748	19284	18932	7139	37215	5465	7519	4686	12520	12372	0	0	27745	3682	0	0	0	0	3602	4268	4181	0	4877	4805	0	11959	3973	4021	0	10974	12696	10720	10672	17066	16511	12440	4181	0	15951	4397	0	16037	3505	11404	0	0	0	5301	0	3566	19379	4203	4660
