	Stool.1	Stool.106	Stool.107	Stool.109	Stool.110	Stool.111	Stool.113	Stool.116	Stool.120	Stool.128	Stool.129	Stool.131	Stool.137	Stool.14	Stool.143	Stool.145	Stool.153	Stool.158	Stool.17	Stool.170	Stool.173	Stool.176	Stool.2	Stool.201	Stool.203	Stool.206	Stool.22	Stool.24	Stool.25	Stool.28	Stool.29	Stool.3	Stool.30	Stool.31	Stool.34	Stool.39	Stool.4	Stool.40	Stool.45	Stool.46	Stool.52	Stool.55	Stool.6	Stool.61	Stool.66	Stool.8	Stool.81	Stool.90	Stool.92	Stool.94	Supragingival_plaque.101	Supragingival_plaque.104	Supragingival_plaque.115	Supragingival_plaque.116	Supragingival_plaque.118	Supragingival_plaque.119	Supragingival_plaque.12	Supragingival_plaque.130	Supragingival_plaque.14	Supragingival_plaque.141	Supragingival_plaque.145	Supragingival_plaque.159	Supragingival_plaque.16	Supragingival_plaque.161	Supragingival_plaque.162	Supragingival_plaque.17	Supragingival_plaque.170	Supragingival_plaque.18	Supragingival_plaque.2	Supragingival_plaque.20	Supragingival_plaque.217	Supragingival_plaque.221	Supragingival_plaque.23	Supragingival_plaque.3	Supragingival_plaque.32	Supragingival_plaque.33	Supragingival_plaque.35	Supragingival_plaque.38	Supragingival_plaque.49	Supragingival_plaque.5	Supragingival_plaque.50	Supragingival_plaque.51	Supragingival_plaque.52	Supragingival_plaque.53	Supragingival_plaque.57	Supragingival_plaque.61	Supragingival_plaque.68	Supragingival_plaque.71	Supragingival_plaque.77	Supragingival_plaque.79	Supragingival_plaque.8	Supragingival_plaque.80	Supragingival_plaque.81	Supragingival_plaque.83	Supragingival_plaque.84	Supragingival_plaque.86	Supragingival_plaque.87	Supragingival_plaque.9	Supragingival_plaque.91	Supragingival_plaque.92	Tongue_dorsum.10	Tongue_dorsum.102	Tongue_dorsum.112	Tongue_dorsum.113	Tongue_dorsum.12	Tongue_dorsum.120	Tongue_dorsum.123	Tongue_dorsum.128	Tongue_dorsum.147	Tongue_dorsum.149	Tongue_dorsum.158	Tongue_dorsum.166	Tongue_dorsum.169	Tongue_dorsum.17	Tongue_dorsum.174	Tongue_dorsum.18	Tongue_dorsum.198	Tongue_dorsum.21	Tongue_dorsum.212	Tongue_dorsum.213	Tongue_dorsum.238	Tongue_dorsum.25	Tongue_dorsum.26	Tongue_dorsum.29	Tongue_dorsum.3	Tongue_dorsum.30	Tongue_dorsum.31	Tongue_dorsum.32	Tongue_dorsum.34	Tongue_dorsum.35	Tongue_dorsum.37	Tongue_dorsum.38	Tongue_dorsum.43	Tongue_dorsum.45	Tongue_dorsum.50	Tongue_dorsum.51	Tongue_dorsum.53	Tongue_dorsum.54	Tongue_dorsum.56	Tongue_dorsum.58	Tongue_dorsum.61	Tongue_dorsum.65	Tongue_dorsum.67	Tongue_dorsum.71	Tongue_dorsum.77	Tongue_dorsum.78	Tongue_dorsum.80	Tongue_dorsum.87	Tongue_dorsum.9	Tongue_dorsum.90
16S_rRNA_modification_within_P_site_of_ribosome	15.4749626933742	15.519246437711	15.5771347212073	15.5114543279211	15.6388700295563	15.5027967221109	15.511427206944	15.48852785463	15.4672473928454	15.4572644828108	15.5817693169841	15.3675791571168	15.5241676766137	15.3505705968323	15.5900659767569	15.5100930802913	15.524937670843	15.2900405639495	15.4415739246173	15.3338576623007	15.5288547662333	15.4291978223121	15.4454403130549	15.4330078740412	15.4309421176325	15.5224609901506	15.3696996258817	15.3299835332668	15.4213874094737	15.474567323157	15.3899463472036	15.6200383906518	15.4379271161725	15.4755933060827	15.7120351407481	15.6597171179298	15.5775699207002	15.7247641464325	15.5595631739312	15.2883847579441	15.5440747574089	15.3627215247539	15.5835711608302	15.6184824865584	15.3304736017669	15.3726589618138	15.5587568952691	15.5414632077278	15.4938082691671	15.5388041259516	14.894678318955	11.3679893404864	14.0582635432122	14.0529311712382	14.0322349094968	13.9835190747134	11.4136072881844	11.4108944086513	11.4143778384624	11.4202232963258	11.4116184300199	14.3690604604764	14.7489766411889	15.3149013459041	14.3706226989242	11.2041579063786	15.2777142193606	14.7455928534163	11.3216528636292	14.6500366576387	14.6406398862243	14.6170509592477	11.4032459203902	11.4477984507337	11.4119159718744	11.3650890835177	15.161988318266	11.3631840791464	11.4526041610365	11.4135659853008	11.3878549768648	15.1618224170538	11.3941845767352	14.1258594314901	14.1293760619151	11.3979868259056	11.4099297532336	11.4148597087622	14.0452467257999	15.6690495824624	11.3865128312828	14.0746640995948	15.6518471764212	15.3211874676362	11.4219984939212	15.2888376710533	11.3655306421372	11.3951053186616	11.3726871842675	14.8528825598374	15.0034425491288	15.7096652325364	15.6792573056774	15.7155156532258	15.1922535103579	15.5600499581115	14.177740773146	14.1747244130315	15.5624315643742	15.405790272795	14.1228360820545	15.4802289243105	15.4459758285929	15.5010684428064	15.4853786956061	15.2193766137876	15.4911565738654	15.5463673601192	15.44427005841	15.8070985236859	15.8221298924961	15.0018934462863	15.3573124624165	15.0019792717192	15.1886525039492	14.1502459499142	15.2738298014668	15.2453711525817	14.1555476297022	15.0549763978839	15.0892251413361	14.2069009459529	15.2985712335783	15.0944593099725	15.5799012616377	15.5532413807064	15.1538701261204	15.4475880780835	15.7050659346884	15.3958559720736	15.1279704852878	15.1306067885945	15.4035974074652	15.5211792478298	14.3452275880356	15.5397157418048	15.4966736246372	15.5096922386265	15.0351792551518	15.4831011810517
2-Ketogluconate_Utilization	11.3934579579203	11.4037841001708	11.4069114834461	11.4116184300199	11.3740442368608	11.4196260308205	11.4171945271993	11.4021096058012	11.4240719104355	11.4037841001708	11.4037841001708	11.3831080362331	11.419216358819	11.3770620158119	11.3818190996576	11.4199647326726	11.4212844127759	11.3942061505602	11.3939521644638	11.3754905108404	11.665950602344	11.3987098744682	11.3819980005221	11.3926225043383	11.4037841001708	11.4114990854716	11.4189587109053	11.3853432184513	11.408528907015	11.4145467873062	12.0653336576865	11.3936678691033	11.4094039266995	11.4183781112143	11.3888898965531	11.4049887026981	11.4126358447058	11.3643293740432	11.4139758277792	11.3815356332629	11.4040770189023	11.3626031522339	11.4157530083303	11.409893963169	11.3588865771427	11.414404999022	11.4051636837847	11.4157530083303	11.4119784202795	11.4220101630889	11.3853432184513	11.3679893404864	11.3709124463378	11.3780637612474	11.4153030796853	11.4110877612391	11.4136072881844	11.4108944086513	11.4143778384624	11.4202232963258	11.4116184300199	11.4099297532336	11.3865095321015	11.3709124463378	11.4088093626463	11.2041579063786	11.3705371272767	11.3898540660088	11.3216528636292	11.4065237752873	11.3578719320893	11.3608467969427	11.4032459203902	11.4477984507337	11.4119159718744	11.3650890835177	11.3218546611782	11.3631840791464	11.4526041610365	11.4135659853008	11.3878549768648	11.3239881131655	11.3941845767352	11.3954284630663	11.4037841001708	11.3979868259056	11.4099297532336	11.4148597087622	11.3332083041814	11.2631767809061	11.3865128312828	11.3364010210511	11.3006222951054	11.3560410372918	11.4219984939212	11.3633764977934	11.3655306421372	11.3951053186616	11.3726871842675	11.3845582841524	11.227691339206	11.1825036137653	11.2015651219543	11.0321491655442	11.2234744127453	11.1299492372273	11.2616917776965	11.2316584813683	11.2520413076917	11.1984793424533	11.2404805184234	11.2737429969382	11.2199908615001	11.1812971462381	11.2779613968225	11.2390252213179	11.2308653280885	11.2068151670351	11.2357716846047	11.2355226724233	11.2986425529698	11.2106064912166	11.1770655966098	11.193416826315	11.2467613657651	11.2296437715743	11.2388393865641	11.2539417475105	11.2196966389581	11.1760530652027	11.167207473247	11.2741376624907	11.1495803189913	11.1708769018992	11.1761200542372	11.1830524925141	11.1881748632069	11.226225024314	11.1513398775391	11.2024948527749	11.253878821735	11.2042689710816	11.2083342237611	11.1713839508108	11.309129302846	11.1743651981626	11.1853153817716	11.0379176868987	11.2346142034422	11.1817869619039
2-phosphoglycolate_salvage	13.5799460668583	11.4037841001708	11.4069114834461	11.4116184300199	11.3740442368608	11.4196260308205	11.4171945271993	11.4021096058012	11.4240719104355	11.4037841001708	11.4037841001708	13.4021921199431	13.5123506251324	13.4643799701148	11.3818190996576	11.4199647326726	13.5178766955847	13.3666558752194	11.3939521644638	13.4784035455768	11.4234077004682	11.3987098744682	13.5573544841225	11.3926225043383	11.4037841001708	11.4114990854716	13.5026225763356	13.4794482903295	11.408528907015	11.7374881175188	12.1455269563092	11.3936678691033	11.4094039266995	11.4183781112143	11.3888898965531	11.4049887026981	11.4126358447058	11.3643293740432	11.4139758277792	13.4883228873143	11.4040770189023	12.2401121560484	11.4157530083303	11.409893963169	12.2361933323598	13.5004811271638	11.4051636837847	11.4157530083303	11.4119784202795	11.4220101630889	13.4688424011421	11.3679893404864	13.4868756509216	13.4678270529971	13.5730776715854	13.6442579092729	11.4136072881844	12.7260135974655	11.4143778384624	11.4202232963258	11.4116184300199	13.6855466555348	13.4936644714408	13.4689296085514	13.6847056609263	11.2041579063786	13.4485232060963	13.5063610076969	11.3216528636292	11.4065237752873	13.618334467039	13.6116793289877	11.4032459203902	11.4477984507337	11.4119159718744	11.3650890835177	13.6566139275615	11.3631840791464	11.4526041610365	11.4135659853008	11.3878549768648	13.6556912017327	11.3941845767352	11.3954284630663	11.4037841001708	11.3979868259056	11.4099297532336	11.4148597087622	13.7440808769737	13.6437146517382	11.3865128312828	13.7423792529188	13.6207887089268	13.5991704267853	11.4219984939212	13.5937938128558	11.3655306421372	11.3951053186616	13.4651436607045	13.4508827520171	13.655288485187	13.5940206947933	13.609933152019	13.5317538925866	13.6315793216224	13.6079455160527	13.611597547557	13.6179408096614	13.657718705988	13.4947109276938	13.7338093099068	13.6443237352121	13.5132326676679	13.5111618383596	13.6485210488974	13.5792831186464	13.5697827100855	13.5509613747085	13.556950752249	13.7162064263536	13.6512340444369	13.6219239928521	13.4967329846096	13.6464628844076	13.5079658953797	13.5892636629247	13.3698682267397	13.6530161658738	11.2196966389581	13.4039802759221	13.4462784124269	11.2741376624907	13.4920205678244	13.4551351170663	13.5045834327111	13.5172703330733	13.6354065147318	13.6573177663801	13.4733297512311	13.746125212334	13.4935894344017	13.5146688177541	13.6163161513018	13.4465299862607	11.309129302846	13.4567027353354	13.5438999921208	13.7158985969484	13.5829670332669	13.5372584620133
4-Hydroxyphenylacetic_acid_catabolic_pathway	12.6202197538022	12.6628568564613	12.6710552853126	12.6090715751309	12.801121741163	12.6447017465384	12.709445397858	12.6473613698669	12.6721438214641	12.6533847479796	12.6990589535779	12.7876872265047	11.419216358819	12.6096910482798	12.6809091922072	12.6506201955134	11.4212844127759	12.7726242446465	12.4142174076728	12.8605844552051	12.7613966632766	12.5447092623595	12.6315508333423	12.4694518910125	12.4842218983986	12.6102407533334	12.6825154730981	12.6181588690327	12.5930919999957	12.6566512505459	13.0298290137324	12.5879596429065	12.5891905573625	12.643137159561	12.761667370445	12.7068906404074	12.5847826721969	12.7613505259186	12.6021532074042	11.3815356332629	12.7016568256886	13.1201871656228	12.5726100510265	12.6459439008422	12.9906061569645	12.7007863000336	12.7757338100027	12.6827181147737	12.6164638483993	12.7367077769742	12.7420569194679	12.8058813020411	12.4286281780728	12.4076999749457	12.7377926624697	12.6972138288439	12.5332755922819	12.9345475573663	12.2951898106156	12.2681352524974	12.9118820561763	12.8995208807837	11.3865095321015	11.6856336268843	12.9245934409398	12.8081962988413	11.3705371272767	11.3898540660088	11.3216528636292	12.1592917719215	11.3578719320893	11.3608467969427	12.5477377359226	12.4185238630072	11.4119159718744	12.2856426333004	12.5077830039227	11.3631840791464	11.4526041610365	11.7611078644929	12.7356587506503	12.4929249608588	12.7448713572024	12.5327397896316	12.5261392542442	12.9559126210075	12.1288576215854	12.9470086573336	12.8560445730069	12.5207963403251	11.3865128312828	12.8724251158569	12.3115987780973	12.7049652674803	11.4219984939212	12.6854037345815	12.804381001728	11.3951053186616	12.4970981731211	12.7162972093271	12.5085871549101	11.9365013458854	11.8376507663073	11.9281504891458	12.3651322472121	12.6506861722451	12.3808158500733	12.3860129698803	12.4121299109015	12.4219565017463	12.2555665895739	12.4294856593146	12.4423943874247	12.5290339870066	12.4275654129084	12.5471141900064	12.457298397683	12.5444665424064	12.4434230347039	11.963973812678	11.689494651471	12.5415694887634	12.5364226940078	12.5735166886723	12.5009447948332	12.5463992682423	12.6757247128073	12.3239687723265	12.5105647465774	12.4707924099459	12.3567316160425	12.3919366914542	12.4398457337003	12.3844012904792	12.3027031920971	11.1830524925141	12.3899478517829	12.364699601638	12.142702815191	12.4381522648466	12.517134301596	12.5334104484986	12.4478401467898	12.5299121973833	11.309129302846	12.5344842421715	11.9980287628238	11.0379176868987	12.5840442282269	11.1817869619039
5-FCL-like_protein	16.8047180521726	16.7722905229988	16.868928740783	16.7910025350176	16.9222436594156	16.6368040435598	16.8256109352202	16.8896101689664	16.7720150223739	16.8862803799365	16.8700236173433	16.7783685965438	16.8315017448267	16.7005641244866	17.0118318410761	16.9100076976398	16.8362138251068	16.6416624734452	16.7101151982905	16.5568762461452	16.6051922384363	16.5062647599885	16.8471452394552	16.765337652475	16.6331803213099	16.8906223300264	16.8371410613792	16.6859124115006	16.7001528696641	16.7441336441852	16.7554371452335	16.7111896379049	16.6564883761547	16.7644064113293	16.6698253251742	16.869384174172	16.8682524977192	16.9728258306514	16.8246819101864	16.6053761503094	16.7283820210309	16.5442431020417	16.87068397095	16.8594845230014	16.5208675145267	16.735353040653	16.5457519819305	16.6549467944658	16.7735146961414	16.7187249379309	17.1902132240837	17.7637667586183	17.4286072549826	17.3119452855755	17.360376555951	17.3194190891039	17.7275413813035	17.5867744523238	17.626324714939	17.3952789171445	17.5777886833109	17.3700050889059	17.1008989308687	17.2362270422524	17.336536006667	18.0498823298394	17.2029024848869	17.0837463378058	17.6720304694391	16.9806424306806	17.36222673895	17.3491318579586	17.8060133177308	17.9363888360618	17.3566615527693	17.9721800530372	17.3444922835087	17.4806222032033	17.6785941529987	17.4811859760699	17.3679508653714	17.3404939209368	17.3950892200849	17.1435890003022	17.1333411345624	17.8899944756012	17.4767688527882	17.8520557368456	17.5063505753892	17.4576445022526	17.7525610166107	17.5112988977464	17.4372916823464	17.424934968565	17.447681901796	17.3059337422458	17.7496688139002	17.579644545295	17.5381087876996	17.1580201387005	17.1393296898473	17.1137180864096	17.0956573173858	17.1784372902677	17.1946212829925	17.2017883620214	17.2918419340432	17.3003791159498	17.1038635603196	17.2615583903837	17.3051326316641	17.2823056670811	17.2894260909343	17.0567254736236	17.2889835368014	17.2183266120622	17.2587360359357	17.0889351132304	17.2167019230955	17.2840231706385	17.3206254364145	17.1721188246628	17.1185775141483	17.1913257997518	17.1698934307633	17.2522234491562	17.2683321131292	17.1827205218019	17.3970197455377	17.1907958164345	17.2491116297167	17.4582427758598	17.2167238993861	17.2576451893975	17.0899008157373	17.1734471182241	17.1816256629875	17.1970199499499	17.1833079620558	17.1817877496392	17.1970849146972	17.2032502261256	17.2003302885136	17.1290352407447	17.494822292457	17.0892952754032	17.1056079552347	17.1996596619793	17.2239792156173	17.1281978093697
ABC_transporter_alkylphosphonate_(TC_3.A.1.9.1)	11.3934579579203	11.4037841001708	11.4069114834461	11.4116184300199	11.3740442368608	11.4196260308205	11.4171945271993	11.4021096058012	11.4240719104355	11.4037841001708	11.4037841001708	11.3831080362331	11.419216358819	11.3770620158119	11.3818190996576	11.4199647326726	11.4212844127759	11.3942061505602	11.3939521644638	11.3754905108404	11.4234077004682	11.3987098744682	11.3819980005221	11.3926225043383	11.4037841001708	11.4114990854716	11.4189587109053	11.3853432184513	11.408528907015	11.4145467873062	11.3547147162431	11.3936678691033	11.4094039266995	11.4183781112143	11.3888898965531	11.4049887026981	11.4126358447058	11.3643293740432	11.4139758277792	11.3815356332629	11.4040770189023	11.3626031522339	11.4157530083303	11.409893963169	11.3588865771427	11.414404999022	11.4051636837847	11.4157530083303	11.4119784202795	11.4220101630889	12.4209849384209	11.3679893404864	12.4486237779749	12.4551499176039	12.1678614783453	12.1345068177457	12.5972429284849	12.2973318811947	12.3814095367857	12.4518464950804	12.3617205426261	11.4099297532336	12.3803312608112	12.143278271033	11.4088093626463	12.4790533857051	12.1355050655027	12.3627478201608	12.843505682738	12.244738622429	11.3578719320893	11.3608467969427	12.6163392389587	11.4477984507337	12.4575770951243	12.505555886962	12.3444601740164	12.5294136151764	12.5701323305312	12.4638144911441	12.6020071077712	12.3194248381382	12.5807760177668	12.5472330675744	12.5373415212267	11.3979868259056	12.3630377276011	11.4148597087622	11.3332083041814	12.0612500105401	11.3865128312828	11.3364010210511	12.0615329667915	11.3560410372918	12.3277917166634	11.3633764977934	11.3655306421372	12.3678271345672	11.3726871842675	12.3963550548558	12.2615989363657	12.2094083039702	12.1846749522628	12.3796232659029	12.5620486593566	12.4272217968373	12.4179948549899	12.4514489493754	11.2520413076917	12.3617583016027	11.2404805184234	12.4748738139799	12.3750274990493	12.2996645535579	12.4834197718413	12.4085761213185	12.2948413290038	12.3126804416153	12.2970457131418	12.1776410363751	11.2986425529698	12.3561734889295	12.405878470494	12.3466916991529	12.3728252321908	12.4075054523062	12.5013216178039	12.4251091638563	12.4432605650503	12.5804640727551	12.3627659843386	12.4763094971968	12.3748704298144	12.3534708855	12.3622197437592	12.5090716000108	12.263992960196	12.2781596710407	12.461481329495	12.2459806765927	12.5087581326021	12.4807233835945	12.2396658855846	12.3971669247277	12.5283475895377	12.3806538775208	12.3490309948361	12.4220080130133	12.2613756416935	12.3466552306027
ABC_transporter_branched-chain_amino_acid_(TC_3.A.1.4.1)	11.3934579579203	11.4037841001708	11.4069114834461	11.4116184300199	11.3740442368608	11.4196260308205	11.4171945271993	11.4021096058012	11.4240719104355	11.4037841001708	11.4037841001708	11.3831080362331	11.419216358819	11.3770620158119	11.3818190996576	11.4199647326726	11.4212844127759	11.3942061505602	11.3939521644638	11.3754905108404	11.4234077004682	11.3987098744682	11.3819980005221	11.3926225043383	11.4037841001708	11.4114990854716	11.4189587109053	11.3853432184513	11.408528907015	11.4145467873062	11.3547147162431	11.3936678691033	11.4094039266995	11.4183781112143	11.3888898965531	11.4049887026981	11.4126358447058	11.3643293740432	11.4139758277792	11.3815356332629	11.4040770189023	11.3626031522339	11.4157530083303	11.409893963169	11.3588865771427	11.414404999022	11.4051636837847	11.4157530083303	11.4119784202795	11.4220101630889	13.7331405854202	13.3623296740046	14.1919125043903	14.1606581835891	13.1181504764502	13.1260281544645	13.2689362053178	13.2910158224979	13.4289756933999	13.4894662236788	13.2693203301479	13.8839732830874	14.1738407996041	14.7277920562069	13.890457902465	13.1864493814621	14.7214627627029	14.1409786820897	13.7220284929419	14.6969344815808	14.4123698843055	14.3237673072322	13.2919142400081	11.4477984507337	13.2808203335074	13.5043297557678	13.9132551420044	13.4011933984547	11.4526041610365	13.2581339023823	13.1855255276419	13.9264497583915	13.2131664837205	13.3757529013849	13.9214636699309	13.3130358190792	13.4614800071381	13.3803633689124	12.9976036016264	13.8915037217227	13.2095616644916	13.0361048752602	14.170315028105	13.5878304935365	13.4295304690534	13.6183230369402	13.3883206413639	13.395153169723	13.3764780110253	13.9424958749662	14.2993327694505	14.706666156787	14.7262055903769	14.9019743146901	14.1593536691736	14.4478945285317	14.5408679283767	14.5600077691628	14.7008818127692	14.7447370980129	14.6764792487709	14.8338896698409	14.7765591610174	14.3559218550674	14.8327507032632	14.2791137548252	14.8740277812384	14.4020076729707	14.8446003053854	14.836800802485	14.9422276432594	13.5559496919279	14.6046016905703	13.5280369337854	14.5131905075503	14.5873449620107	14.5086616491195	14.2981792501617	14.524276403816	14.6381343694249	14.5152502970759	14.6003570038658	14.4662493863078	14.5251365190546	14.5407190117477	14.7524672832295	14.4112679405213	14.3991127859078	14.6898340455594	14.8441150863331	14.2455533836182	14.2550166534799	14.8471358319726	14.4176290263523	14.9608922797082	14.4253453659859	14.6636727520693	14.7953539731112	14.2996900033333	14.8617349123158
ABC_transporter_dipeptide_(TC_3.A.1.5.2)	11.3934579579203	11.4037841001708	11.4069114834461	11.4116184300199	11.3740442368608	11.4196260308205	11.4171945271993	11.4021096058012	11.4240719104355	11.4037841001708	11.4037841001708	11.3831080362331	11.419216358819	11.3770620158119	11.3818190996576	11.4199647326726	11.4212844127759	11.3942061505602	11.3939521644638	11.3754905108404	11.4234077004682	11.3987098744682	11.3819980005221	11.3926225043383	11.4037841001708	11.4114990854716	11.4189587109053	11.3853432184513	11.408528907015	11.4145467873062	11.3547147162431	11.3936678691033	11.4094039266995	11.4183781112143	11.3888898965531	11.4049887026981	11.4126358447058	11.3643293740432	11.4139758277792	11.3815356332629	11.4040770189023	11.3626031522339	11.4157530083303	11.409893963169	11.3588865771427	11.414404999022	11.4051636837847	11.4157530083303	11.4119784202795	11.4220101630889	14.0917529756258	11.3679893404864	13.3441624985034	13.3250592415077	11.4153030796853	11.4110877612391	14.1923202506212	11.4108944086513	13.432855375932	13.3294946620062	11.4116184300199	11.4099297532336	14.2481468412811	13.4460787789176	11.4088093626463	13.4198111507622	13.4352575619744	14.2387426541895	15.1935883583559	14.733835890811	11.3578719320893	11.3608467969427	14.240889327238	13.4017225476182	13.5935364448566	13.7482500305948	14.0692755175968	14.9854048658908	13.5997843245365	14.227475578784	14.5400239608557	14.0638666718862	14.5262464758269	14.4953307837792	14.5272160181037	11.3979868259056	13.4572968898605	11.4148597087622	11.3332083041814	13.3326319200121	13.388125254572	11.3364010210511	13.2938472044753	13.2374701767706	13.4533124212712	13.2369656408953	11.3655306421372	13.3663714229054	11.3726871842675	14.0856988245666	14.4993788661681	14.3121131476204	14.3483710062291	14.3799107328937	15.341876869263	15.038479254524	14.0959771240833	14.4090474096036	13.6643650633493	14.3079816450049	13.3209152610254	14.3531118599185	14.3289653429133	14.6771068670203	14.3453284099167	14.9973958230339	13.7475290345399	14.9394207033045	13.7331064422852	13.9793326135747	13.9307126657341	14.3507541888592	14.8328945359012	14.5830140575958	15.0579736259622	14.6625140346579	14.8883961160218	14.5683499811008	14.6225605687757	15.0168062881741	15.1628217285196	14.7100837253533	15.1903879977938	15.177796812403	15.2451542649919	15.4848289304141	14.0603443818864	14.3294886620642	15.3695824989726	14.3539842708598	14.6713388415878	14.6827358312629	14.3284159019346	15.0565484052191	15.1069091134865	15.0820223148722	14.4996193966698	14.4142615139637	14.5211952673498	14.4890557994239
ABC_transporter_[iron.B12.siderophore.hemin]	11.3934579579203	11.4037841001708	11.4069114834461	11.4116184300199	11.3740442368608	11.4196260308205	11.4171945271993	11.4021096058012	11.4240719104355	11.4037841001708	11.4037841001708	11.3831080362331	11.419216358819	11.3770620158119	11.3818190996576	11.4199647326726	11.4212844127759	11.3942061505602	11.3939521644638	11.3754905108404	11.4234077004682	11.3987098744682	11.3819980005221	11.3926225043383	11.4037841001708	11.4114990854716	11.4189587109053	11.3853432184513	11.408528907015	11.4145467873062	12.1555105433742	11.3936678691033	11.4094039266995	11.4183781112143	11.3888898965531	11.4049887026981	11.4126358447058	11.3643293740432	11.4139758277792	11.3815356332629	11.4040770189023	11.3626031522339	11.4157530083303	11.409893963169	11.3588865771427	11.414404999022	11.4051636837847	11.4157530083303	11.4119784202795	11.4220101630889	11.3853432184513	11.3679893404864	11.3709124463378	11.3780637612474	11.4153030796853	11.4110877612391	11.4136072881844	11.4108944086513	11.4143778384624	11.4202232963258	11.4116184300199	11.4099297532336	11.3865095321015	11.3709124463378	11.4088093626463	11.2041579063786	11.3705371272767	11.3898540660088	11.3216528636292	11.4065237752873	11.3578719320893	11.3608467969427	11.4032459203902	11.4477984507337	11.4119159718744	11.3650890835177	11.3218546611782	11.3631840791464	11.4526041610365	11.4135659853008	11.3878549768648	11.3239881131655	11.3941845767352	11.3954284630663	11.4037841001708	11.3979868259056	11.4099297532336	11.4148597087622	11.3332083041814	11.2631767809061	11.3865128312828	11.3364010210511	11.3006222951054	11.3560410372918	11.4219984939212	11.3633764977934	11.3655306421372	11.3951053186616	11.3726871842675	11.3845582841524	11.227691339206	11.1825036137653	11.2015651219543	11.0321491655442	11.2234744127453	11.1299492372273	11.2616917776965	11.2316584813683	11.2520413076917	11.1984793424533	11.2404805184234	11.2737429969382	11.2199908615001	11.1812971462381	11.2779613968225	11.2390252213179	11.2308653280885	11.2068151670351	11.2357716846047	11.2355226724233	11.2986425529698	11.2106064912166	11.1770655966098	11.193416826315	11.2467613657651	11.2296437715743	11.2388393865641	11.2539417475105	11.2196966389581	11.1760530652027	11.167207473247	11.2741376624907	11.1495803189913	11.1708769018992	11.1761200542372	11.1830524925141	11.1881748632069	11.226225024314	11.1513398775391	11.2024948527749	11.253878821735	11.2042689710816	11.2083342237611	11.1713839508108	11.309129302846	11.1743651981626	11.1853153817716	11.0379176868987	11.2346142034422	11.1817869619039
ABC_transporter_of_unknown_substrate_X	12.2623140951717	11.4037841001708	11.7023738181248	11.7603005465713	11.7817994485414	11.8353454168392	11.4171945271993	11.9356712716753	11.4240719104355	11.9129161078831	11.9430495979249	11.3831080362331	11.419216358819	11.7828991325004	11.3818190996576	11.4199647326726	11.4212844127759	11.5739371342246	11.3939521644638	11.7656923936239	11.7652185263848	11.3987098744682	12.2394564690484	11.3926225043383	11.4037841001708	11.4114990854716	12.1512234893846	11.8232093370511	11.408528907015	11.4145467873062	12.2296420512272	12.4204404434139	11.4094039266995	11.4183781112143	11.3888898965531	11.9927331112761	12.090888574646	11.8259757688585	11.4139758277792	11.5657511886054	11.9290825594577	11.3626031522339	12.1320132575286	11.9898240712835	11.3588865771427	11.9593304144754	11.4051636837847	11.4157530083303	11.4119784202795	11.4220101630889	13.7390112407052	12.5756547068257	13.3164678751085	13.2607608829594	12.7923563463855	12.7936862791772	13.5232817695009	12.9677971790497	13.1204981136382	12.9638216776521	12.9894127255429	13.3241503781681	13.2287277304921	13.1870793094558	13.3035981147056	13.2100970679931	13.1691484377369	13.1983347798635	13.1790675376833	13.4855918242985	13.2498868374906	13.2423990598674	13.6062806293976	13.2134444783358	13.5327361499083	13.5640002282362	13.7845199772662	13.7070007214782	13.449770604373	12.9413265018426	13.1803272988692	13.79794005506	13.1613935834603	13.4080397434201	13.4043183656735	13.0306183206986	13.2311693544228	13.0665366695295	13.284264204833	13.9176239685407	13.8442971384446	13.3292931952342	13.8766971438462	12.9881364187779	13.2567290238318	13.0152845585973	12.5492223819411	13.0888425612555	13.3675856093477	13.7239533673658	13.4657584817155	13.9388059743243	14.0169072550435	13.3012556644035	13.9912411919474	13.8660310934475	13.6302066010339	13.6338238178286	13.7319931876458	13.6752949478129	13.6718276221571	13.4466605709441	13.7090581476505	13.8242393763332	13.4475279051298	13.767931242448	13.3502643885544	13.86337407419	13.3417014448286	13.8693476119812	13.9551929093654	13.7020955431741	13.62868585291	13.6922493594317	13.644034691649	13.7885851450024	13.4827096577717	13.4825933430872	13.7475653382685	13.5515102957538	13.7187907188925	13.8243322338359	13.7498283269742	13.7349633195186	13.8106720094736	13.7344571844837	13.8388925755192	13.8122024167458	13.6849344966582	13.5314561302994	13.627906489749	13.6209681276935	13.5252406098706	13.5770057214496	13.5847042230322	13.5826205077571	13.5352328654872	13.5432898026157	13.4995392764922	13.5146627900826
