#ID	4UW.C077	4CW.C084	2UC.C091	3UC.C066	3CC.C081	3CC.C116	4UW.C128	3CC.C086	1CC.C156	4UW.C144	1CW.C089	1CC.C085	1CW.C096	5UW.C070	5CC.C161	5CW.C132	5CW.C075	2UW.C100	3CW.C090	6CW.C145	5CW.C088	5CC.C157	4UC.C159	2UC.C074	6CC.C134	6UC.C131	2UW.C126	4CW.C130	1UW.C153	2UC.C093	2CC.C154	3CW.C151	1CC.C082	6UC.C083	6UW.C095	2CW.C160	4CC.C150	1CW.C136	4CC.C125	2UW.C147	4UC.C099	2CC.C139	6UC.C079	3UW.C101	3UC.C140	5UC.C162	1UC.C141	1UC.C149	3CW.C102	6CW.C137	6CC.C026	3UW.C143	5UW.C098	6UW.C127	5UC.C146	6UW.C158	taxonomy
2984006	0.547510244	0.463793481	0.772001301	0.765558792	0.83052892	0.689468563	0.606030562	0.778099904	0.721730739	0.432857212	0.511688136	0.604780062	0.736524365	0.142374459	0.015668946	0.172346435	0.244602267	0.735591525	0.764082686	0.653764884	0.264766382	0.251215902	0.550667774	0.630546132	0.265817268	0.012516243	0.834904485	0.524728957	0.758505092	0.590568805	0.924875986	0.954056879	0.737742688	0.213696779	0.63586624	0.664255671	0.516134101	0.762464145	0.690425269	0.797922653	0.237215573	1	0.472582903	0.700738596	0.68225201	0.255726901	0.385697505	0.464447766	0.703605269	0.209313007	0.406250487	0.679005131	0.242159013	0.314427911	0.297388869	0.281370914	k__Bacteria;  p__Acidobacteria;  c__Chloracidobacteria;  o__;  f__;  g__;  s__
791149	0.478085109	0.342743536	0.793317482	0.296773503	0.605478841	0.546955842	0.447692555	0.713775014	0.654884477	0.500071634	0.540575459	0.540233314	0.549825647	0.467161492	0.482691397	0.265356339	0.244602267	0.557954383	0.462968261	0.581095941	0.136745382	0.362090491	0.754915548	0.674309411	0.518482124	0.398063193	0.584684497	0.354898466	0.563868308	0.554568778	0.64342045	0.483489958	0.614335615	0.213696779	0.357695322	0.60153049	0.279319447	0.518740889	0.013961623	0.631155434	0.583291889	0.81258076	0.368420184	0.423949971	0.420387844	0.166343886	0.445040762	0.428746841	0.344732921	0.401539126	0.54926426	0.604126084	0.419042207	0.204357985	0.193819827	0.182874538	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Alteromonadales;  f__Shewanellaceae;  g__Shewanella;  s__
584527	0.491642676	0.342743536	0.409035551	0.237552908	0.496394669	0.338440649	0.387261791	0.321655521	0.361186163	0.63082101	0.304127109	0.421189849	0.340035655	0.581060846	0.482691397	0.459718544	0.477207695	0.542601506	0.444930757	0.536522429	0.579625277	0.533224987	0.687799019	0.378155602	0.542713511	0.62695958	0.456336258	0.709413305	0.32580415	0.345919489	0.409284398	0.453272491	0.418740032	0.438899681	0.530353174	0.464470882	0.402654873	0.300091245	0.469383134	0.54268297	0.569949256	0.203856655	0.580181677	0.376511373	0.420387844	0.368336183	0.445040762	0.522651581	0.344732921	0.321758078	0.52060659	0.384264801	0.446918424	0.842676045	0.578010357	0.548247957	k__Bacteria;  p__Chloroflexi;  c__Ellin6529;  o__;  f__;  g__;  s__
275105	0.43008729	0.01129272	0.283892708	0.617524291	0.678960906	0.572289074	0.472434169	0.624929643	0.015748085	0.468873182	0.540575459	0.475037766	0.698207803	0.316945323	0.348382453	0.172346435	0.158754524	0.298420681	0.521665252	0.483803153	0.264766382	0.16320979	0.336896185	0.334996033	0.518482124	0.34460831	0.016832157	0.354898466	0.59227558	0.09736224	0.491732685	0.640345598	0.451200338	0.213696779	0	0.4017457	0.181422612	0.776416475	0.469383134	0.445130401	0.48612378	0.016437416	0.522036221	0.631326154	0.328274831	0.255726901	0.30919074	0.334842101	0.559214638	0.017086889	0.183308726	0.543756589	0.157513498	0.016192203	0.016767381	0.014493872	k__Bacteria;  p__Acidobacteria;  c__Chloracidobacteria;  o__;  f__;  g__;  s__
238280	0.389264643	0.412037292	0.491465035	0.154086168	0.474809165	0.205305259	0.419642826	0.144501085	0.533905202	0.176175978	0.486148051	0.399143389	0.518416692	0.590356303	0.591168759	0.634546344	0.570755435	0.298420681	0.217078243	0.653764884	0.562021939	0.627710679	0.17518422	0.418187964	0.460683459	0.607785046	0.20611627	0.354898466	0.448606288	0.423550758	0.28411301	0.377130555	0.295332959	0.62468725	0.310191408	0.361992953	0.014066867	0.518740889	0.271081238	0.347577832	0.153390097	0.203856655	0.543158968	0.270877213	0.013338361	0.471946434	0.201360511	0.174310887	0.238321993	0.682080001	0.743548351	0.173428127	0.667381592	0.580689549	0.604922877	0.519635872	k__Bacteria;  p__Actinobacteria;  c__Thermoleophilia;  o__Solirubrobacterales;  f__;  g__;  s__
245951	0.364835952	0.380291197	0.553032429	0.617524291	0.710989489	0.566357712	0.419642826	0.534059764	0.462220324	0.432857212	0.371305623	0.633633765	0.481267783	0.010316698	0.015668946	0.013344954	0.011996838	0.154822045	0.566401958	0.018425372	0.008724382	0.012762347	0.17518422	0.424977353	0.331979963	0.398063193	0.016832157	0.579402163	0.571408426	0.289672379	0.35460588	0.654064638	0.43570894	0.213696779	0	0.162208163	0.014066867	0.553199363	0.338410454	0.401264885	0.296690695	0.610542349	0.25521045	0.507351177	0.612875821	0.166343886	0.201360511	0.174310887	0.622829192	0.017086889	0.281962027	0.543756589	0.012811035	0.016192203	0.016767381	0.014493872	k__Bacteria;  p__Acidobacteria;  c__Chloracidobacteria;  o__;  f__;  g__;  s__
250808	0.364835952	0.485491633	0.283892708	0.380240244	0.474809165	0.423844991	0.302089412	0.474094821	0.500631729	0.390259362	0.404553266	0.550932144	0.534725785	0.381049703	0.015668946	0.331347916	0.452269895	0.542601506	0.444930757	0.336095128	0.305979939	0.533224987	0.467455135	0.358242423	0.331979963	0.441739013	0.20611627	0.579402163	0.448606288	0.394237444	0.409284398	0.453272491	0.327793265	0.26750766	0.422631952	0.250614341	0.516134101	0.4789615	0.469383134	0.514345051	0.555685735	0.578695135	0.44298953	0.376511373	0.512500857	0.408528176	0.493527734	0.386521608	0.442640151	0.401539126	0.54926426	0.543756589	0.471506991	0.502593693	0.370872274	0.405461672	k__Bacteria;  p__Actinobacteria;  c__Thermoleophilia;  o__Gaiellales;  f__Gaiellaceae;  g__;  s__
240358	0.642878092	0.682271544	0.453700966	0.237552908	0.386712718	0.237727614	0.579738675	0.412525399	0.462220324	0.574475587	0.329667195	0.374149174	0.340035655	0.428929896	0.348382453	0.172346435	0.352757632	0.344649117	0.402700718	0.336095128	0.467674866	0.313657233	0.43149162	0.307071729	0.564633466	0.607785046	0.316840379	0.749232654	0.131167366	0.306011529	0.184758889	0.418388986	0.355238063	0.514741858	0.163880583	0.250614341	0.614030936	0.300091245	0.575165895	0.482218167	0.523816768	0.313489883	0.562442524	0.401717017	0.485743067	0.31914516	0.493527734	0.386521608	0.414824007	0.321758078	0.281962027	0.492411702	0.302215961	0.204357985	0.740462677	0.449751581	k__Bacteria;  p__Actinobacteria;  c__Thermoleophilia;  o__Solirubrobacterales;  f__;  g__;  s__
1022861	0.537619001	0.73137038	0.283892708	0.237552908	0.36639998	0.397353998	0.618037311	0.455667678	0.462220324	0.714155018	0.388762027	0.421189849	0.481267783	0.142374459	0.015668946	0.172346435	0.158754524	0.298420681	0.424991222	0.018425372	0.008724382	0.16320979	0.498608149	0.34710409	0.013152413	0.178562277	0.395400384	0.749232654	0.253969504	0.402166599	0.28411301	0.453272491	0.43570894	0.137854602	0.467723351	0.4017457	0.402654873	0.374329108	0.500634869	0.482218167	0.61882005	0.500909122	0.165350828	0.443838026	0.512500857	0.013542611	0.534522884	0.386521608	0.527103256	0.017086889	0.014659794	0.543756589	0.012811035	0.016192203	0.016767381	0.014493872	k__Bacteria;  p__Actinobacteria;  c__Thermoleophilia;  o__Gaiellales;  f__Gaiellaceae;  g__;  s__
249773	0.135651194	0.01129272	0.678175273	0.154086168	0.343371297	0.237727614	0.15648627	0.222893172	0.654884477	0.270909385	0.55935205	0.421189849	0.601032191	0.142374459	0.015668946	0.013344954	0.011996838	0.526019135	0.271522233	0.018425372	0.264766382	0.16320979	0.013472256	0.531032854	0.172566188	0.27569298	0.671647604	0.015237485	0.578640697	0.578137588	0.831426667	0.012923038	0.451200338	0.213696779	0.267277719	0.628820619	0.014066867	0.583593891	0.271081238	0.514345051	0.153390097	0.500909122	0.165350828	0.140037408	0.262919609	0.166343886	0.30919074	0.495373314	0.153858889	0.017086889	0.183308726	0.266724842	0.242159013	0.016192203	0.193819827	0.014493872	k__Bacteria;  p__Actinobacteria;  c__Thermoleophilia;  o__Gaiellales;  f__Gaiellaceae;  g__;  s__
