#ID	1CC.C082	2UC.C091	3UC.C066	4UW.C077	2UC.C074	1CW.C136	3UW.C101	3CC.C116	3CW.C102	3CC.C086	2CC.C154	4UC.C099	2UW.C126	1UC.C149	3CW.C151	1UW.C153	2UW.C100	1CW.C096	1CW.C089	4UW.C128	6CW.C145	4CW.C130	1CC.C085	6UW.C095	6CC.C134	4CC.C150	5CW.C075	5CW.C132	6UC.C083	6CW.C137	5UC.C146	5CC.C161	6UC.C079	6UC.C131	2UC.C093	6CC.C026	1CC.C156	4UC.C159	5CC.C157	3CW.C090	4CW.C084	4UW.C144	5UW.C098	6UW.C127	5CW.C088	2CC.C139	6UW.C158	4CC.C125	3UW.C143	5UC.C162	1UC.C141	2UW.C147	5UW.C070	3CC.C081	2CW.C160	3UC.C140	taxonomy
544317	33	8	4	4	0	4	24	38	7	19	16	0	6	0	28	40	11	16	0	6	3	0	7	31	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	21	1	0	0	0	0	19	0	4	8	0	0	2	0	62	13	0	k__Bacteria;  p__Acidobacteria;  c__Chloracidobacteria;  o__;  f__;  g__;  s__
141649	15	10	2	4	61	5	6	11	1	24	7	8	3	4	2	20	5	5	7	4	2	3	12	3	4	3	1	2	2	2	0	3	1	2	18	6	8	17	2	4	3	7	2	0	0	15	0	0	9	1	1	4	6	20	4	1	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Alteromonadales;  f__Shewanellaceae;  g__Shewanella;  s__Shewanella oneidensis
557956	3	0	15	0	3	11	5	18	12	2	2	0	0	0	7	8	2	14	7	1	1	1	4	0	3	0	0	1	3	0	1	0	6	0	5	0	3	2	0	7	5	1	0	0	1	0	0	4	1	1	0	3	0	11	1	10	k__Bacteria;  p__Acidobacteria;  c__Chloracidobacteria;  o__;  f__;  g__;  s__
587877	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	4	0	10	5	0	13	4	7	7	5	9	2	0	1	14	0	0	2	1	1	0	4	6	4	0	1	0	0	17	0	0	15	4	0	0	k__Bacteria;  p__Verrucomicrobia;  c__Spartobacteria;  o__Spartobacteriales;  f__Spartobacteriaceae;  g__MC18;  s__
568421	1	1	1	1	1	0	5	4	3	19	0	0	1	0	2	2	2	3	1	2	1	1	2	2	0	4	1	0	4	0	1	0	4	0	2	0	0	0	0	1	5	1	0	0	2	0	1	7	9	0	1	2	1	3	2	2	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Xanthomonadales;  f__Sinobacteraceae;  g__Steroidobacter;  s__
584771	6	1	0	1	2	4	1	1	2	2	7	1	7	0	9	3	6	1	4	1	0	1	11	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	5	0	0	1	1	0	1	4	0	0	0	1	5	0	0	k__Bacteria;  p__Actinobacteria;  c__Actinobacteria;  o__Rubrobacterales;  f__Rubrobacteraceae;  g__Rubrobacter;  s__
237267	2	1	2	9	1	1	5	5	2	3	0	0	0	1	1	1	1	0	0	5	0	4	4	0	1	1	1	2	4	2	0	2	4	1	0	0	0	1	0	3	6	3	2	3	3	0	0	2	0	0	1	2	1	0	1	2	k__Bacteria;  p__Actinobacteria;  c__Actinobacteria;  o__Solirubrobacterales;  f__;  g__;  s__
593304	0	2	3	4	9	0	3	2	1	6	1	0	2	2	4	9	1	2	1	1	0	0	2	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	5	0	0	0	0	0	3	0	1	1	0	1	9	0	4	1	1	k__Bacteria;  p__Acidobacteria;  c__Chloracidobacteria;  o__;  f__;  g__;  s__
526161	2	0	1	5	3	0	3	2	2	3	4	1	1	2	1	5	0	1	0	4	0	2	2	0	1	0	0	3	2	0	1	0	1	1	6	0	0	0	0	3	6	2	0	0	0	1	0	0	1	0	0	4	1	6	1	1	k__Bacteria;  p__Actinobacteria;  c__Actinobacteria;  o__Acidimicrobiales;  f__C111;  g__;  s__
586326	9	1	1	2	0	0	2	3	0	6	0	2	0	0	0	1	1	1	0	1	0	0	3	3	3	1	0	0	2	3	0	0	3	3	2	3	0	7	1	1	2	0	1	1	2	1	4	1	1	0	0	1	0	3	1	0	k__Bacteria;  p__Proteobacteria;  c__Alphaproteobacteria;  o__Rhodospirillales;  f__Rhodospirillaceae;  g__;  s__
561452	0	0	2	0	5	2	2	5	1	0	3	1	0	3	1	7	8	4	0	0	0	3	2	1	0	0	0	1	1	0	0	0	0	1	1	2	4	0	0	4	2	0	2	0	0	1	2	1	3	0	1	3	1	0	0	3	k__Bacteria;  p__Actinobacteria;  c__Actinobacteria;  o__MC47;  f__;  g__;  s__
509277	7	0	1	1	0	1	4	9	0	11	2	1	2	0	3	0	0	1	1	3	0	9	0	1	4	0	0	0	2	0	0	0	0	1	1	1	0	0	0	1	5	2	1	1	0	0	0	1	0	0	0	0	0	2	1	0	k__Bacteria;  p__Actinobacteria;  c__Actinobacteria;  o__MC47;  f__;  g__;  s__
152538	1	0	4	1	5	0	10	1	2	0	1	0	0	1	0	8	5	0	1	0	1	1	2	1	0	1	0	0	0	0	0	0	1	1	3	0	1	1	0	10	2	5	0	0	0	1	0	0	2	0	0	0	0	3	0	2	k__Bacteria;  p__Chloroflexi;  c__Anaerolineae;  o__envOPS12;  f__;  g__;  s__
