#ID	1CC.C082	2UC.C091	3UC.C066	4UW.C077	2UC.C074	1CW.C136	3UW.C101	3CC.C116	3CW.C102	3CC.C086	2CC.C154	4UC.C099	2UW.C126	1UC.C149	3CW.C151	1UW.C153	2UW.C100	1CW.C096	1CW.C089	4UW.C128	6CW.C145	4CW.C130	1CC.C085	6UW.C095	6CC.C134	4CC.C150	5CW.C075	5CW.C132	6UC.C083	6CW.C137	5UC.C146	5CC.C161	6UC.C079	6UC.C131	2UC.C093	6CC.C026	1CC.C156	4UC.C159	5CC.C157	3CW.C090	4CW.C084	4UW.C144	5UW.C098	6UW.C127	5CW.C088	2CC.C139	6UW.C158	4CC.C125	3UW.C143	5UC.C162	1UC.C141	2UW.C147	5UW.C070	3CC.C081	2CW.C160	3UC.C140	taxonomy
544317	0.807380739	0.709252677	0.425668484	0.399887304	0.003413892	0.503541508	0.73357741	0.672976995	0.526048408	0.686807168	0.759604397	0.007751946	0.595669685	0.006972916	0.896376543	0.729818425	0.630658109	0.674520598	0.006060307	0.5421731	0.505751915	0.009188602	0.491167576	0.599450036	0.008126113	0.007651559	0.007430396	0.008466455	0.005254002	0.009604685	0.009311241	0.009953981	0.006787766	0.007200774	0.002534738	0.419578267	0.009605797	0.009173413	0.008652626	0.725998841	0.202646449	0.009200426	0.006911812	0.008793581	0.005477518	1	0.007460149	0.462484915	0.604788997	0.009744545	0.009560465	0.34412383	0.007323419	0.828032789	0.660314309	0.007603537	k__Bacteria;  p__Acidobacteria;  c__Chloracidobacteria;  o__;  f__;  g__;  s__
141649	0.63597001	0.773206547	0.292688677	0.399887304	0.834172111	0.559575307	0.445077338	0.456775886	0.178981647	0.737509532	0.559375044	0.609168426	0.426877964	0.46459395	0.297552283	0.599091834	0.456435612	0.428796706	0.537111111	0.449627842	0.40284672	0.449095303	0.604286063	0.239780014	0.460865733	0.416440322	0.202057003	0.348492049	0.270126133	0.395891611	0.009311241	0.474713939	0.202018984	0.341736287	0.58648608	0.585485873	0.694659909	0.857618783	0.329195204	0.380851455	0.397508952	0.665069834	0.321796827	0.008793581	0.005477518	0.92625668	0.007460149	0.007197619	0.633350927	0.223831093	0.248004076	0.500556505	0.464048619	0.609382824	0.405078351	0.209703067	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Alteromonadales;  f__Shewanellaceae;  g__Shewanella;  s__Shewanella oneidensis
557956	0.320721116	0.008995891	0.728463728	0.005496869	0.282463549	0.772603706	0.410141218	0.541068066	0.64759808	0.255746235	0.298830931	0.007751946	0.008742851	0.006972916	0.556444429	0.43353706	0.282213116	0.644989213	0.537111111	0.197605971	0.257809993	0.229141952	0.38166141	0	0.398094795	0.007651559	0.007430396	0.222998719	0.339485419	0.009604685	0.236498614	0.009953981	0.554871086	0.007200774	0.357882685	0.008587756	0.441826819	0.331662209	0.008652626	0.490341214	0.51149621	0.227823562	0.006911812	0.008793581	0.167466398	0.009985982	0.007460149	0.462484915	0.197052251	0.223831093	0.009560465	0.432222144	0.007323419	0.498005978	0.177935836	0.706753043	k__Bacteria;  p__Acidobacteria;  c__Chloracidobacteria;  o__;  f__;  g__;  s__
587877	0.005472222	0.008995891	0.187136667	0.005496869	0.142938721	0.008904882	0.004063705	0.000968566	0.005448266	0.006121096	0.191124572	0.007751946	0.008742851	0.006972916	0.007571032	0.004218119	0.006076993	0.00604336	0.006060307	0.006958785	0.585571386	0.519904466	0.006678402	0.414751282	0.512153323	0.007651559	0.748442966	0.506594946	0.506601127	0.74076443	0.596582081	0.781903562	0.316221925	0.007200774	0.140002089	0.811435237	0.009605797	0.009173413	0.329195204	0.167396823	0.202646449	0.009200426	0.468210021	0.63327581	0.381604048	0.009985982	0.199565366	0.007197619	0.009148639	0.902469392	0.009560465	0.007690316	0.658078615	0.323766886	0.006109158	0.007603537	k__Bacteria;  p__Verrucomicrobia;  c__Spartobacteria;  o__Spartobacteriales;  f__Spartobacteriaceae;  g__MC18;  s__
568421	0.163096669	0.229902312	0.187136667	0.175351584	0.142938721	0.008904882	0.410141218	0.296188341	0.352515027	0.686807168	0.006999336	0.007751946	0.217810407	0.006972916	0.297552283	0.21887759	0.282213116	0.333129997	0.183077242	0.309127425	0.257809993	0.229141952	0.262644126	0.190021166	0.008126113	0.482240615	0.202057003	0.008466455	0.39328466	0.009604685	0.236498614	0.009953981	0.460100615	0.007200774	0.220415334	0.008587756	0.009605797	0.009173413	0.008652626	0.167396823	0.51149621	0.227823562	0.006911812	0.008793581	0.262223818	0.009985982	0.199565366	0.595442315	0.633350927	0.009744545	0.248004076	0.34412383	0.170012218	0.279356014	0.278448	0.327923714	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Xanthomonadales;  f__Sinobacteraceae;  g__Steroidobacter;  s__
584771	0.447979989	0.229902312	0.006694313	0.175351584	0.224555513	0.503541508	0.161155931	0.128112803	0.280492167	0.255746235	0.559375044	0.197477721	0.635945521	0.006972916	0.615343685	0.275088213	0.495181375	0.169586678	0.417080901	0.197605971	0.00986807	0.229141952	0.585636909	0.190021166	0.008126113	0.331608989	0.007430396	0.008466455	0.005254002	0.009604685	0.009311241	0.009953981	0.006787766	0.007200774	0.140002089	0.008587756	0.009605797	0.009173413	0.008652626	0.328869019	0.202646449	0.574333034	0.006911812	0.008793581	0.167466398	0.239053656	0.007460149	0.203279184	0.445447315	0.009744545	0.009560465	0.007690316	0.170012218	0.36005321	0.006109158	0.007603537	k__Bacteria;  p__Actinobacteria;  c__Actinobacteria;  o__Rubrobacterales;  f__Rubrobacteraceae;  g__Rubrobacter;  s__
237267	0.25530106	0.229902312	0.292688677	0.569742019	0.142938721	0.221933281	0.410141218	0.329631649	0.280492167	0.32111295	0.006999336	0.007751946	0.008742851	0.204059568	0.190528831	0.139653166	0.180299489	0.00604336	0.006060307	0.499774611	0.00986807	0.519904466	0.38166141	0	0.203110454	0.21204594	0.202057003	0.348492049	0.39328466	0.395891611	0.009311241	0.378267534	0.460100615	0.218269183	0.002534738	0.008587756	0.009605797	0.21264119	0.008652626	0.328869019	0.554832154	0.446446698	0.321796827	0.453683697	0.329455277	0.009985982	0.007460149	0.317979547	0.009148639	0.009744545	0.248004076	0.34412383	0.170012218	0.003450478	0.177935836	0.327923714	k__Bacteria;  p__Actinobacteria;  c__Actinobacteria;  o__Solirubrobacterales;  f__;  g__;  s__
593304	0.005472222	0.359124284	0.367579021	0.399887304	0.46690534	0.008904882	0.318248157	0.202487413	0.178981647	0.448268062	0.191124572	0.007751946	0.340107088	0.319347869	0.432385886	0.454123606	0.180299489	0.265253387	0.183077242	0.197605971	0.00986807	0.009188602	0.262644126	0	0.008126113	0.21204594	0.007430396	0.008466455	0.17236971	0.009604685	0.009311241	0.009953981	0.006787766	0.007200774	0.277469439	0.008587756	0.009605797	0.009173413	0.008652626	0.423324198	0.007783945	0.009200426	0.006911812	0.008793581	0.005477518	0.468121331	0.007460149	0.203279184	0.197052251	0.009744545	0.248004076	0.712822419	0.007323419	0.323766886	0.177935836	0.209703067	k__Bacteria;  p__Acidobacteria;  c__Chloracidobacteria;  o__;  f__;  g__;  s__
526161	0.25530106	0.008995891	0.187136667	0.444564938	0.282463549	0.008904882	0.318248157	0.202487413	0.280492167	0.32111295	0.434524895	0.197477721	0.217810407	0.319347869	0.190528831	0.354312636	0.006076993	0.169586678	0.006060307	0.449627842	0.00986807	0.357806414	0.262644126	0	0.203110454	0.007651559	0.007430396	0.437530983	0.270126133	0.009604685	0.236498614	0.009953981	0.202018984	0.218269183	0.388454382	0.008587756	0.009605797	0.009173413	0.008652626	0.328869019	0.554832154	0.355709898	0.006911812	0.008793581	0.005477518	0.239053656	0.007460149	0.007197619	0.197052251	0.009744545	0.009560465	0.500556505	0.170012218	0.39073286	0.177935836	0.209703067	k__Bacteria;  p__Actinobacteria;  c__Actinobacteria;  o__Acidimicrobiales;  f__C111;  g__;  s__
586326	0.529089301	0.229902312	0.187136667	0.274710223	0.003413892	0.008904882	0.253048992	0.255257039	0.005448266	0.448268062	0.006999336	0.308460186	0.008742851	0.006972916	0.007571032	0.139653166	0.180299489	0.169586678	0.006060307	0.197605971	0.00986807	0.009188602	0.329671185	0.239780014	0.398094795	0.21204594	0.007430396	0.008466455	0.270126133	0.497044515	0.009311241	0.009953981	0.397250201	0.429337592	0.220415334	0.419578267	0.009605797	0.619576743	0.210892476	0.167396823	0.316633706	0.009200426	0.205582137	0.231238639	0.262223818	0.239053656	0.453514651	0.203279184	0.197052251	0.009744545	0.009560465	0.21995623	0.007323419	0.279356014	0.177935836	0.007603537	k__Bacteria;  p__Proteobacteria;  c__Alphaproteobacteria;  o__Rhodospirillales;  f__Rhodospirillaceae;  g__;  s__
